COL title VAL  "Free RN" "Nike Free RN - 831508 100 | everysize.com"	COL title VAL  "Nike Free Run - Blanco/Negro"@es " Nike Zapatillas para hombre-Blanco/Negro "@es	1
COL title VAL  "Puma King Pro SG - Black/White/Team Gold"@en " Puma Mens Boots Soft Ground Gold "@en	COL title VAL  "Puma King Pro SG - Blk/Wht/Gold"@en " Puma Rugby Boots Soft Ground Black-White-Gold "@en	1
COL title VAL  "Puma Speed 1000 S IGNITE -Azul/Rojo/Blanco"@es " Puma -Zapatillas para hombre-Azul/Rojo/Blanco "@es	COL title VAL  "Puma Speed 1000 S IGNITE - Quarry-Bleu Atomique-Blanc"@fr " Puma chaussures pour homme quarry-bleu atomique-blanc "@fr	1
COL title VAL  "NIKE TIEMPO LEGACY II FG"@en FG - MAN SOCCER SHOES Nike colour Black 819218 010 Athletic footwear apparel and sports equipment"@en	COL title VAL  "Nike Tiempo Legacy II FG - Noir/ Blanc/ Or"@fr " Nike chaussures pour homme terrain sec noir blanc or "@fr	1
COL title VAL  "NIKE JR TIEMPO LEGEND VI FG"@de FG - KIND FUßBALLSCHUHE NOCKEN Nike Farbe Grün 819186 307 Der Online-Shop für deine Sportbekleidung"@de	COL title VAL  "Nike Junior Tiempo Legend VI FG - Giada/Nero/Volt"@it " Nike Scarpe Terreni Compatti Giada/Nero/Volt "@it	1
COL title VAL  " Keen Alamosa Chocolate Brown / Bronze Green "@fr "Keen - ca_fr"@fr	COL title VAL  " Keen Alamosa Chocolate Brown / Bronze Green "@sv "Keen - se"@sv	1
COL title VAL  "Pantalon Imperméable Nike Foundation 12 - Noir/ Blanc"@fr " pantalon impermeable equipement pour hommes football -noir-blanc "@fr	COL title VAL  "Pantalones impermeables Nike Foundation 12 - Negro/Blanco"@es " Ropa para entrenamiento Nike- Pantalones -447433-010- Negro-Blanco "@es	1
COL title VAL  "Nike Sportswear Damen Air Huarache Run Ultra - Schwarz"@de " Damenschuhe Nike Schwarz Sneakers "@de	COL title VAL  "Nike Sportswear Womens Air Huarache Run Ultra - Black"@en " Shoes Nike Black/Black-Black-White 819151-008 "@en	1
COL title VAL  "Asics Fuze X - Azul/Naranja"@es " Asics Zapatillas de entrenamiento-Azul/Naranja "@es	COL title VAL  "Asics Fuze X - Blauw/Oranje"@nl " Asics Heren Hardloopschoenen Blauw-Oranje "@nl	1
COL title VAL  "Concave Halo 1.0 FG - Black/Gold"@en " Concave Mens Boots Firm Ground Black/Gold "@en	COL title VAL  "Concave Halo 1.0 FG - Czarny/Złoty"@pl " Concave Męskie buty piłkarskie Trawa naturalna Lanki Czarny/Złoty "@pl	1
COL title VAL  "Asics Womens GT-2000 5 - Black/Onyx/White"@en " Asics Black/Onyx/White Shoes T757N-9099 "@en	COL title VAL  "SCARPA DA CORSA STRADA GT-2000 5 DONNA"@it-it DONNA | Women Women's Road Running Shoes ASICS"@it-it	1
COL title VAL  "Nike Air Max 90 Essential"@de Essential Schwarz Weiss 537384-077 - Purchaze"@de	COL title VAL  "Nike Air Max 90 Essential - Zwart"@nl " Nike Heren Hardloopschoenen Sportschoenen Schoenen Trainers Zwart "@nl	1
COL title VAL  "GEL-LYTE III NS"@en-gb NS | Men Men's Sneakers ASICS Tiger"@en-gb	COL title VAL  "GEL-LYTE III NS"@en-ie "Sites-asics-eu-Site | ASICS Tiger"@en-ie	1
COL title VAL  "Nike Sportswear Roshe One - Wolf Grijs/Wit"@nl " Nike Heren schoenen Grijs Wit "@nl	COL title VAL  "Nike Sportswear Roshe Run - Grigio Lupo/Bianco"@it " Scarpe Uomo Nike Lupo/Bianco "@it	1
COL title VAL  "Damskie Nike Air Zoom Structure 19 - Hyper Fioletowy/Biały/Niebieski"@pl " Damskie buty Obuwie sportowe Fioletowy/Biały/Niebieski "@pl	COL title VAL  "Nike Air Zoom Structure 19 para mujer-Violeta/Azul"@es " Nike mujer-Zapatillas mujer-Violeta/Azul "@es	1
COL title VAL  "adidas Adipure 360.4 W" W acheter et offres sur Traininn"	COL title VAL  "adidas Adipure 360.4 W" W comprar y ofertas en Traininn"	1
COL title VAL  "GT-2000 5 LITE-SHOW"@it-it LITE-SHOW | Men Road Running ASICS"@it-it	COL title VAL  "GT-2000 5 LITE-SHOW"@en-gb LITE-SHOW | Men Men's Road Running Shoes ASICS"@en-gb	1
COL title VAL  " FjallRaven G-1000 Cap Dark Grey "@en "FjallRaven - ca"@en	COL title VAL  " FjallRaven G-1000 Cap Dark Grey "@de "FjallRaven - ch_de"@de	1
COL title VAL  "Nike Sportswear Womens Classic Cortez Leather - White / Black White"@en " Shoes Nike 807471-101 "@en	COL title VAL  "Nike Wmns Classic Cortez Leather white / black (807471-101)"@eu (807471-101) | Bludshop.com"@eu	1
COL title VAL  "Concave Quantum 1.0 SG - Nero/Bianco"@it " Concave Scarpe Uomo Terreni Morbidi Nero/Bianco "@it	COL title VAL  "Concave Quantum 1.0 SG - Zwart/Wit"@nl " Concave Heren Voetbalschoenen Zachte Grond Zwart-Wit "@nl	1
COL title VAL  "Nike Air Zoom Pegasus 33 Women's Training Shoes - White/Pink/Green"@en "Women's Athletic Footwear"@en	COL title VAL  "Nike Air Zoom Pegasus 33 Women's Training Shoes - White/Pink/Green"@en "Women's Footwear"@en	1
COL title VAL  "Asics Gel-Mai OG (asics blue, black)"@de-DE black) | Titelhelden Sneaker Store"@de-DE blue	COL title VAL  "GEL-MAI"@nl-nl "GEL-MAI | Men Men's Sneakers ASICS Tiger"@nl-nl	1
COL title VAL  "Nike Junior Magista Onda IC - Bianco/Nero/Rosa Blast/Volt"@it " Nike Scarpe Campi Coperti Blast/Volt "@it	COL title VAL  "Nike Youths Magista Onda IC - White/Black/Pink Blast/Volt"@en " Nike Soccer Cleats Indoor Blast/Volt "@en	1
COL title VAL  "Metallic Sandals" Boho Espadrilles at Crazy8 "	COL title VAL  "Metallic Sandals" Chelsea Boots at Crazy8 "	1
COL title VAL  "NIKE AIR COURTBALLISTEC 4.1"@en 4.1 - MAN TENNIS SHOES Nike colour White 488144 109 Athletic footwear apparel and sports equipment"@en	COL title VAL  "NIKE AIR COURTBALLISTEC 4.1"@es 4.1 - ZAPATILLAS TENIS HOMBRE Nike color Blanco 488144 109 Equipamiento deportivo y casual"@es	1
COL title VAL  "NIKE HYPERVENOM PHELON FG"@en FG - MAN SOCCER SHOES Nike colour White 749896 108 Athletic footwear apparel and sports equipment"@en	COL title VAL  "Nike Hypervenom Phelon II FG - Blanc/ Noir/ Orange Total/ Volt"@fr " Nike chaussures pour homme terrain sec blanc noir orange total volt "@fr	1
COL title VAL  "Giày đá bóng Nike MercurialX Finale II IC – 831974 589" - 589 tại Thế giới đá"	COL title VAL  "Nike MercurialX Finale II IN - Violet Dynastie/ Citrus"@fr " Chaussures de football pour homme Indoor Nike dynastie Citrus I Pro Direct Soccer "@fr	1
COL title VAL  "Chanclas Nike Sportswear Benassi Just Do It - Azul/Blanco"@es " Chanclas para la ducha-Azul/Blanco "@es	COL title VAL  "NIKE Benassi JDI (343880-403) Sneakers for Men @ upclassics"	1
COL title VAL  "adidas Adizero Malice FG" Goalinn" FG anfugen und sonderangebote	COL title VAL  "adidas Adizero Malice FG" FG buy and offers on Goalinn"	1
COL title VAL  "Nike Jr Mercurial Vapor X FG - Bright Crimson/Persian Violet/Black"@en " Junior Football Boots Nike Firm Ground Violet/Black "@en	COL title VAL  "Nike Junior Mercurial Vapor X FG - Rouge Vif/ Violet Persan/ Noir"@fr " chaussures de football junior Nike terrain sec enfant- rouge vif-violet persan-noir "@fr	1
COL title VAL  "NIKE Air Max Thea Ultra FK (881175-002) Sneakers for Women @ upclassics"	COL title VAL  "Nike Sportswear Womens Air Max Thea Ultra Flyknit - Pure Platinum"@en " Shoes Nike Platinum 881175-002 "@en	1
COL title VAL  "Nike Air Zoom Pegasus 33 Women's Training Shoes - White/Pink/Green"@en "Clearance Footwear"@en	COL title VAL  "Nike Air Zoom Pegasus 33 Women's Training Shoes - White/Pink/Green"@en "Running and Training"@en	1
COL title VAL  "Diadora B.Original - Czerwony"@pl " Diadora Buty męskie Czerwony "@pl	COL title VAL  "Diadora B.Original - Rosso Tibetano"@it " Diadora Scarpe Uomo Tibetano "@it	1
COL title VAL  "2017 All-Star Air Jordan 6 “Chameleon” Black/Metallic Silver"@en-US Silver | New Jordans 2015"@en-US	COL title VAL  "Air 6 Retro AS" "NIKE JORDAN Air AS - 907961-015 | everysize.com"	1
COL title VAL  "GEL-FORTITUDE 7"@fr-fr "GEL-FORTITUDE 7 | Women CHAUSSURES DE COURSE À PIED POUR FEMMES ASICS"@fr-fr	COL title VAL  "GEL-FORTITUDE 7"@es-es 7 | Women ZAPATILLAS DE RUNNING PARA MUJER ASICS"@es-es	1
COL title VAL  "Nike Air Presto black / black-white (848132-010)"@eu (848132-010) | Bludshop.com"@eu	COL title VAL  "Nike Sportswear Air Presto - Black"@en " Mens Shoes Nike Black 848132-010 "@en	1
COL title VAL  "Air Max 90 Leather"@en	COL title VAL  "Sneakers buty Nike Air Max 90 Leather black / (302519-001)"@pl (302519-001) | Bludshop.com"@pl	1
COL title VAL  "Puma evoSPEED SL FG - Eclipse Totale/Lave/Blanc"@fr " Puma chaussures homme terrain sec eclipse totale-lave-blanc "@fr	COL title VAL  "Puma evoSPEED SL FG / Total Eclipse/Lava Blast/White"@en " Puma Mens Boots Firm Ground Blast/White "@en	1
COL title VAL  " Keen Presidio Black "@nb "Keen - no"@nb	COL title VAL  " Keen Presidio Black "@sv "Keen - se"@sv	1
COL title VAL  "Under Armour ClutchFit Force 2.0 FG -Negro/Grafito/Amarillo Hi-Vis"@es " Under -Botas de futbol-Terrenos firmes-Negro/Grafito/Amarillo Hi-Vis "@es	COL title VAL  "Under Armour ClutchFit Force 2.0 FG - Noir/ Graphite/ Jaune"@fr " Under chaussures pour homme terrain sec noir graphite jaune "@fr	1
COL title VAL  "NIKE MAGISTA OLA II FG"@de FG - FUßBALLSCHUHE NOCKEN Nike Farbe Grün 844420 375 Der Online-Shop für deine Sportbekleidung"@de	COL title VAL  "Nike Magista Ola II FG - Turquoise Rio/ Volt/ Obsidienne/ Jade"@fr " Chaussures de football homme Terrain sec Nike rio Volt Obsidienne Jade I Pro Direct Soccer "@fr	1
