COL title VAL  " Mens Nixon The Crew Watch A1186-001 "New arrivals | Shop New Hut"	COL title VAL  " Mens Nixon The Crew Watch A1186-001 "Sale | Hut"	1
COL title VAL  "Daniel Wellington Classic Man Sheffield silver"@en-GB silver 10:35 Watch boutique"@en-GB	COL title VAL  "Sheffield Silver Reloj para hombre 40mm"@es 00 €"@es "Daniel Wellington Sheffield 40mm nur 149	1
COL title VAL  " MAURİCE LACROİX AI1018PVY11132-1 Erkek Kol Saati "@tr "Maurice Lacroix En Ucuz Fiyat"@tr	COL title VAL  "Mens Aikon Chronograph Watch "@de "Maurice Lacroix Schweizer hergestellt luxuriös Uhren - including Pontos Miros Fiaba und Les Classique ranges"@de	1
COL title VAL  "Daniel Wellington Classic Man Oxford rose gold"@en-GB gold 10:35 Watch boutique"@en-GB	COL title VAL  "Herren Daniel Wellington Oxford 40mm Uhr DW00100001"@de	1
COL title VAL  "Klokers KLOK-02 Watch KLOK-02-KLINK-02-380C6" "Shop Klokers KLOK-02-KLINK-01-MC7 Watches | Costello Jewelry Company"	COL title VAL  "Klokers KLOK-02 Watch KLOK-02-KLINK-02-380C6" "Shop Klokers KLOK-02-KLINK-02-380C8 Watches | Costello Jewelry Company"	1
COL title VAL  "Rolex Milgauss 116400 GV" GV Watch | Watchfinder & Co."	COL title VAL  "RolexNEW ROLEX MILGAUSS ANNIVERSARY EDITION MENS WATCH 116400GV", "Rolex"	1
COL title VAL  "ArtCarved Classic Engagement Ring 31-V734ERW-E" "Shop ArtCarved 31-V378FRW-E rings | Northeastern Fine Jewelry"	COL title VAL  "ArtCarved Classic Engagement Ring 31-V734ERW-E" "Shop ArtCarved 31-V405ERW-E rings | Northeastern Fine Jewelry"	1
COL title VAL  "Mens Red Arrows World Time Chronograph Eco-Drive Watch "@de "Citizen Uhren"@de	COL title VAL  "Mens Red Arrows World Time Chronograph Eco-Drive Watch "@de "Fathers Tag - Uhren und gift ideas"@de	1
COL title VAL  "Freja Zegarek damski"@pl "Skagen Freja damski 358SGGD nur 111 20 €"@pl	COL title VAL  "Ladies Freja Watch "@de "Skagen Uhren und Schmuck | Official SKAGEN Stockist"@de	1
COL title VAL  " Automatic small second Steel on leather strap "@en-US "Maestro - Silver Leather Black Watch Raymond Weil"@en-US	COL title VAL  "Raymond Weil Maestro Watch 2238-STC-00659" "Shop Raymond 2238-STC-00659 Watches | Costello Jewelry Company"	1
COL title VAL  "Rolex Submariner 116610LN" " Buy Rolex 116610 watches online at Albemarle Bond	COL title VAL  "Rolex Submariner 116610LN" " Pre-loved Rolex 116610LN watch at Albemarle Bond	1
COL title VAL  "Daniel Wellington Classic Lady Winchester rose gold"@nl-NL gold 10:35 Horloge boektiek"@nl-NL	COL title VAL  "Daniel Wellington Classic Lady Winchester rose gold"@en-GB gold 10:35 Watch boutique"@en-GB	1
COL title VAL  "Tortoise Watch"@en "Michael Kors Tortoise Watch | SHOPBOP"@en	COL title VAL  "Tortoise Watch"@en "Michael Kors Tortoise Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Bvlgari Bvlgari Watch BBL26WSSD" BBL33WSL 12 | Dejaun Jewelers"	COL title VAL  "Bvlgari Bvlgari Watch BBL26WSSD" BBL33WSS 12 | Dejaun Jewelers"	1
COL title VAL  "Cartier Santos 100 Watch W20107X7" "Shop Cartier W20073X8 Watches | Northeastern Fine Jewelry"	COL title VAL  "Cartier Santos 100 Watch W20107X7" "Shop Cartier W20106X8 Watches | Northeastern Fine Jewelry"	1
