,Truth,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title
0,1.0,sony-pictures-digital-entertainment,48.91 ,adobe premiere elements 3.0,,18.97 ,iris inc irispen express translator
1,1.0,mobi-technologies-inc .,29.99 ,street atlas usa 2007 plus dvd,,215.42 ,aspyr roller coaster tycoon 3 mac os x
2,1.0,sage software,549.99 ,solitaire antics deluxe,,188.97 ,onone software inc. gfn-42001 genuine fractals print pro v. 4.1 with nik sharpener pro 2.0 license standard license pc mac
3,1.0,yamaha,49.99 ,delorme topo usa mapping software 6.0 west region,,21.99 ,nova development corp business card factory deluxe 3.0
4,1.0,encore software,19.95 ,jumpstart advanced 1st grade v2 .0,,53.99 ,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc
5,1.0,adobe-education-box,299.0 ,safekeeper plus,,18.99 ,apple software m9372z/a final cut express 2.0 upgrade
6,1.0,nuance-communications-inc .,299.0 ,photoshop elements 4 edu mac 1u,,8.79 ,nova development ghw humorous greeting card factory
7,1.0,nuance-communications-inc .,149.0 ,mavis beacon 17 standard,,49.95 ,corel corporation dvd movie factory 6 plus retial ( english )
8,1.0,encore software, ,3d home architect home v. 8 by encore software,,889.99 ,merriam-webster 's dictionary ( win/mac ) ( jewel case ) ( 10462 )
9,1.0,adobe, ,my first bible stories,zend-technologies-inc .,99.99 ,microspot macdraft pe personal edition
10,1.0,magix entertainment,99.95 ,vocabulary puzzles grade 1,,26.14 ,allume spring cleaning 9.0
11,1.0,blizzard entertainment,109.95 ,steinberg sequel ( pc or mac ) music creation & performance software,sierrahome,18.97 ,sos aggregation company airline tycoon deluxe topware interactive
12,1.0,sony-creative-software,79.21 ,true crime streets of la ( mac ),red-orb-entertainment,85.07 ,abacus civil air patrol search & rescue
13,1.0,onone software,599.99 ,handmark oxford american desk dictionary and thesaurus,,7.93 ,adobe photoshop cs3 extended for mac
14,1.0,got game,19.99 ,the print shop 22 deluxe sb cs by the print shop,,9.99 ,epson s041886 story teller 8 x 10 20 pages
15,1.0,intuit,49.99 ,punch ! professional home design platinum v10,,26.97 ,diskeeper 2007 professional
16,1.0,microsoft software,149.0 ,leave the lights on ( mac ),,17.55 ,encore software 33027 hoyle texas holdem ( win 98 me 2000 xp )
17,1.0,encore software,9.99 ,sony sound effects series vol 1 through 10,,154.99 ,middle school math & science
18,1.0,power-on-software,69.0 ,quickbooks pro 2007 for mac ( mac ),,17.97 ,sonicwall gms 1000 upgrade
19,1.0,emedia, ,lavasoft ad-aware plus edition,,27.9 ,microsoft 059-03871 molpc word sa
20,1.0,fogware publishing,399.95 ,national geographic presents : redshift 5 planetarium software,,33.21 ,mavis beacon teaches typing 17 standard ( pc/mac ) encore
21,1.0,encore,599.99 ,adobe soundbooth cs3 [ mac ],,29.85 ,totally spies total swamp romp by brighter minds
22,1.0,global software,30.66 ,peachtree by sage complete accounting 2007,autodesk,29.99 ,encore inc printmaster gold v 17.0
23,1.0,mobi-technologies-inc .,19.99 ,sonic mega collection plus,,85.99 ,panda software panda internet security 2007
24,1.0,adobe,699.95 ,poetry fiction and drama ( win/mac ) ( jewel case ),,50.39 ,adobe acrobat v8 .0 professional for mac
25,1.0,topics entertainment, ,adobe creative suite cs3 design standard [ mac ],,348.95 ,findex.com inc sermon builder 4.0
26,1.0,apple-computer - ( direct ),29.99 ,the print shop 22 deluxe,,42.69 ,topics presents : ancient civilizations
27,1.0,adobe,30.66 ,quickbooks simple start 2007,,13.95 ,pc-cillin internet security 2007 3-user ( win me 2000 xp )
28,1.0,global-marketing-partners,19.99 ,land before time : kindergarten,,39.99 ,microspot x-rip large format print driver for os x
29,1.0,nuance-communications-inc .,494.99 ,adobe after effects 7.0 professional ( mac ),arc-media-inc .,27.99 ,abacus civil air patrol search & rescue
30,1.0,punch ! software,249.95 ,sound forge audio studio 9,,94.94 ,global software a7163jcw kakuro puzzle addict unlimited edition dvd movie
31,1.0,hewlett-packard - ( consumables ),59.99 ,3d home architect home v. 8 by encore software,,9.59 ,cyberlink power director 3
32,1.0,feral interactive,199.95 ,weekly reader mastering elementary/middle school math learning,,19.99 ,steinberg cubase studio 4 software competitive crossgrade music production software
33,1.0,abacus,101515.55 ,ae mappoint 2006 cd,arc-media-inc .,174.99 ,elementary school english literature basics ( pc/mac ) fogware
34,1.0,arc-media-inc .,19.99 ,kakuro puzzle addict unlimited edition,sony-creative-software,99.99 ,global marketing partners easy video editor 2.0 honest technology
35,1.0,red-orb-entertainment,49.95 ,microsoft windows vista business 32-bit for system builders,dorling-kindersley-multimedia - ( dk ),4.93 ,steinberg cubase studio 4 software competitive crossgrade music production software
36,1.0,emedia,24.95 ,audio success suite edition : sales success,palmspring software,44.95 ,allume spring cleaning 9.0
37,1.0,dorling-kindersley-multimedia - ( dk ),9.99 ,boomerang webshop platinum,global-marketing-partners,35.97 ,palmspring software 523 oxford american desk dictionary
38,1.0,red-orb-entertainment,149.0 ,sudoku puzzle addict : unlimited edition,,185.99 ,brighter minds backyard sports
39,1.0,adobe,499.0 ,jumpstart advanced 1st grade v2 .0,,189.95 ,sony online entertainment gods & heroes rome rising
40,1.0,adobe-education-box, ,adobe creative suite cs3 web standard [ mac ],,195.99 ,microsoft w87-02380 office sbe 2007 win32
41,1.0,feral interactive, ,spy sweeper with antivirus/child safe,,24.95 ,webroot software 65210 spy sweeper 3 pc
42,1.0,intego,29.99 ,weekly reader mastering elementary/middle school math learning,,24.91 ,punch software 35100 punch ! professional home design suite ( small box )
43,1.0,netmanage, ,home bartending 101 shooters,,29.85 ,encore software 10990 pc tools spyware doctor 2007 win 98 me 2000 xp
44,1.0,topics education,229.99 ,monopoly 3,dorling-kindersley-multimedia - ( dk ),699.0 ,microsoft mappoint 2006 with gps locator ( pc )
45,1.0,emedia,19.95 ,easy video editor 2.0 by honest technology,,99.99 ,zonealarm internet security suite 2007 ( pc ) zonelabs
46,1.0,adobe,79.99 ,microsoft excel 2004 ( mac ),adobe,24.99 ,mastercook deluxe low carb edition
47,1.0,warner-new-media,99.0 ,jumpstart advanced 1st grade v2 .0,,32.29 ,micromat tech tool pro 4.5
48,1.0,allume,39.99 ,total 3d home & landscape design suite version 9,,124.97 ,big tiny little big tiny little a tiny little christmas
49,1.0,microsoft licenses,19.99 ,mavis beacon teaches typing deluxe v17,webroot software,3.1 ,sony online entertainment inc 41032 everquest : titanium win 2000 xp
50,1.0,fogware publishing,9.99 ,punch ! master landscape & home design,,17.97 ,sudoku puzzle addict : unlimited edition ( win 98 me 2000 xp ) from global software publ na
51,1.0,adobe,69.59 ,istopmotion,,29.99 ,zend studio 5.1 php integrated development environment
52,1.0,sony-pictures-digital-entertainment,494.99 ,webroot desktop firewall,,27.57 ,netopia timbuktu pro for mac and windows 2 pack
53,1.0,dreamcatcher interactive,29.99 ,hoyle backgammon jc,,11.95 ,quicken 2007 deluxe win cd
54,1.0,netmanage,9.95 ,roxio easy media creator 9,,7.93 ,encore inc print shop 22 deluxe
55,1.0,blizzard entertainment,59.95 ,discrete drums : vol .1,,181.97 ,absolute software lfl-n2-12 computrace lojack for laptops 1 year license ( win 2000 xp )
56,1.0,aquaminds, ,vegas movie studiodvd +8 plat,,399.99 ,microsoft office 2004 standard
57,1.0,strategy first,49.95 ,sibelius 5 professional edition,,228.95 ,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 )
58,1.0,nova development,69.95 ,my maillist & addressbook,,320.97 ,star wars empire at war ( mac intel )
59,1.0,adobe,1999.0 ,backyard sports backyard basketball and backyard football,,45.97 ,enfocus software pp7.0-u1-001 pitstop pro 7.0 upgr 5.x or below
60,1.0,zend-technologies-inc .,69.0 ,webroot spysweeper antispyware 3 user,sibelius-software-ltd .,92.99 ,dramatica pro 4 for pc
61,1.0,autodesk psg,109.95 ,instant play electric guitar deluxe,,17.55 ,apple ilife '06 family pack
62,1.0,csdc,9.99 ,microsoft windows small business server cal 2003 license pack 20 client addpack device,,6.99 ,adobe cs3 after effects upgrade
63,1.0,adobe,399.99 ,boomerang webshop platinum,,725.99 ,adobe acrobat v8 .0 professional for mac upgrade
64,1.0,abacus,49.99 ,microsoft office & windows training professional,,73.95 ,global software a2649m2h rainbow fish & the whale win 95 98 me xp/mac 8.6-9.x ( classic ) x v10 .1 or higher
65,1.0,encore,19.99 ,command and conquer generals deluxe dvd-rom ( mac ),,12.9 ,allume anime studio pro
66,1.0,microsoft, ,stompsoft digital file shredder pro,,69.99 ,corel painter x academic
67,1.0,crystalgraphics,149.0 ,microsoft powerpoint 2004 ( mac ),,299.99 ,mariner calc spreadsheet software
68,1.0,palo-alto-software,99.0 ,punch ! home design architectural series 18,nova development,159.95 ,apple ilife '06 family pack
69,1.0,encore,349.99 ,smart steps 4th grade,,39.9 ,appleworks 6.2 for mac
70,1.0,neso usa,999.0 ,mobi recam camera monitoring and notification software,,9.9 ,phantom efx reel deal slots v 2.0
71,1.0,encore,49.99 ,adobe photoshop cs2 ( mac ) [ old version ],,25.97 ,epson s041886 story teller 8 x 10 20 pages
72,1.0,riverdeep,999.0 ,spongebob squarepants typing 2008 win/mac,,12.9 ,global marketing partners easy video editor 2.0 honest technology
73,1.0,global-software-publishing,49.95 ,microsoft onenote 2007 upgrade,,348.95 ,sony media software american idol extreme music creator software music production software
74,1.0,topics entertainment,1999.0 ,railroad tycoon 3 ( mac ),global software,3.1 ,microsoft u02-00024 open sa biztalk hipaa accltr nt 1p
