COL title VAL soho labels & envelopes chronos l.c. COL manufacturer VAL chronos COL price VAL 29.99 	COL title VAL chronos soho labels and envelopes COL manufacturer VAL  COL price VAL 29.99 	1
COL title VAL master server-upg COL manufacturer VAL novastor corporation COL price VAL  	COL title VAL master server-upg COL manufacturer VAL  COL price VAL 174.99 	1
COL title VAL apple aperture 1.5 COL manufacturer VAL apple COL price VAL 299.0 	COL title VAL apple aperture v 1.5 photo editing COL manufacturer VAL  COL price VAL 299.99 	1
COL title VAL creating keepsakes scrapbook platinum v. 3 sb cs by riverdeep COL manufacturer VAL encore software COL price VAL 39.99 	COL title VAL encore software 10610 encore creating keepsakes scrapbook designer platinum complete product creativity application 1 user complete product standard pc COL manufacturer VAL  COL price VAL 33.97 	1
COL title VAL topics presents : ancient civilizations ( 4 cd set ) COL manufacturer VAL topics entertainment COL price VAL 29.99 	COL title VAL topics presents : ancient civilizations COL manufacturer VAL  COL price VAL 12.9 	1
COL title VAL pop-up stopper professional COL manufacturer VAL panicware COL price VAL 29.99 	COL title VAL csdc pop-up stopper professional panicware COL manufacturer VAL  COL price VAL 26.14 	1
COL title VAL dk amazing animals 1.1 COL manufacturer VAL global-software-publishing COL price VAL 9.99 	COL title VAL global software a1826m2w dk amazing animals 1.1 win 95 98 2000 xp vista COL manufacturer VAL global-software-publishing COL price VAL 9.08 	1
COL title VAL adobe creative suite cs3 web standard upsell [ mac ] COL manufacturer VAL adobe COL price VAL 799.0 	COL title VAL adobe cs3 web standard upsell COL manufacturer VAL  COL price VAL 819.99 	1
COL title VAL adventure workshop 1st-3rd grade 8th edition COL manufacturer VAL encore COL price VAL 19.99 	COL title VAL adventure workshop 1st-3rd grade . 8th edition ( pc ) encore COL manufacturer VAL  COL price VAL 19.95 	1
COL title VAL apple remote desktop 3 unlim managed systems COL manufacturer VAL apple COL price VAL 499.0 	COL title VAL apple remote desktop 3 unlimited client edition mac apple & mac software COL manufacturer VAL  COL price VAL 498.95 	1
COL title VAL web radio recorder COL manufacturer VAL magix entertainment COL price VAL  	COL title VAL magix webradio recorder ( pc ) magix entertainment COL manufacturer VAL  COL price VAL 24.99 	1
COL title VAL finale 2007 academic ( win/mac ) COL manufacturer VAL emedia COL price VAL 350.0 	COL title VAL makemusic finale 2007 academic create edit and print sheet music COL manufacturer VAL  COL price VAL 269.0 	1
COL title VAL the print shop 22 deluxe sb cs by the print shop COL manufacturer VAL encore software COL price VAL 49.95 	COL title VAL encore software 10741 the print shop 22 deluxe sb cs by the print shop COL manufacturer VAL  COL price VAL 42.97 	1
COL title VAL poetry fiction and drama ( win/mac ) ( jewel case ) COL manufacturer VAL fogware publishing COL price VAL 9.99 	COL title VAL poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ) COL manufacturer VAL  COL price VAL 9.59 	1
COL title VAL apple shake 4.1 visual effects ( mac ) COL manufacturer VAL apple computer COL price VAL 499.0 	COL title VAL apple shake 4.1 mac os x COL manufacturer VAL  COL price VAL 499.99 	1
COL title VAL calendar creator platinum sb cs by riverdeep COL manufacturer VAL encore software COL price VAL 29.99 	COL title VAL encore software 11031 calendar creator platinum sb csby riverdeep COL manufacturer VAL  COL price VAL 25.97 	1
COL title VAL star wars battlefront ( mac ) COL manufacturer VAL aspyr media COL price VAL 39.99 	COL title VAL aspyr media 10900 star wars battlefront mac COL manufacturer VAL aspyr media COL price VAL 39.99 	1
COL title VAL hoyle puzzle & board games 2007 COL manufacturer VAL encore software COL price VAL 19.99 	COL title VAL encore software 10568 encore hoyle puzzle & board games 2005 complete product puzzle game 1 user complete product standard pc COL manufacturer VAL  COL price VAL 17.97 	1
COL title VAL computrace lojack for laptops 3 year license ( mac ) COL manufacturer VAL absolute software COL price VAL 99.95 	COL title VAL absolute software lfl-m2-36 computrace lojack for laptops 3 year license mac 10.2 or higher COL manufacturer VAL  COL price VAL 80.97 	1
COL title VAL equilibrium debabelizer pro 6.0 1 user COL manufacturer VAL equilibrium COL price VAL 599.99 	COL title VAL equilibrium debabelizer pro 6 0 win 1 u windows xp COL manufacturer VAL  COL price VAL 382.9 	1
COL title VAL learn to play chess with fritz and chesster ( mac ) COL manufacturer VAL viva media COL price VAL 29.99 	COL title VAL viva media llc learn to play chess with fritz & chesster COL manufacturer VAL  COL price VAL 26.14 	1
COL title VAL city of heroes good vs. evil edition COL manufacturer VAL nc soft COL price VAL 29.99 	COL title VAL nc interactive inc city of heroes : good vs. evil edition COL manufacturer VAL  COL price VAL 29.84 	1
COL title VAL close quarters conflict COL manufacturer VAL groove media COL price VAL 19.99 	COL title VAL groove media inc close quarters conflict COL manufacturer VAL  COL price VAL 16.37 	1
COL title VAL adobe illustrator cs3 [ mac ] COL manufacturer VAL adobe COL price VAL 599.0 	COL title VAL adobe illustrator cs3 for mac COL manufacturer VAL  COL price VAL 619.99 	1
COL title VAL anime studio 5 win 98/me 2000/xp mac os 10.4 & up COL manufacturer VAL aladdin systems COL price VAL 49.99 	COL title VAL allume anime studio 5 COL manufacturer VAL  COL price VAL 44.99 	1
COL title VAL crystal reports xi professional edition COL manufacturer VAL business objects COL price VAL 495.0 	COL title VAL business objects crystal reports xi COL manufacturer VAL  COL price VAL 459.99 	1
COL title VAL adobe after effects cs3 COL manufacturer VAL adobe COL price VAL 999.0 	COL title VAL adobe after effects cs3 professional software for mac effects software COL manufacturer VAL  COL price VAL 998.95 	1
COL title VAL art explosion 600 000 images COL manufacturer VAL nova development COL price VAL 79.99 	COL title VAL nova development corp art explosion 600000 images COL manufacturer VAL  COL price VAL 72.86 	1
COL title VAL elementary school success deluxe 2006 COL manufacturer VAL topics entertainment COL price VAL 49.99 	COL title VAL elementary school success deluxe 2006 COL manufacturer VAL  COL price VAL 15.9 	1
COL title VAL microsoft mappoint 2006 with gps COL manufacturer VAL microsoft COL price VAL 349.0 	COL title VAL microsoft mappoint 2006 with gps locator ( pc ) COL manufacturer VAL  COL price VAL 349.99 	1
COL title VAL ibm viavoice advanced v. 10 COL manufacturer VAL nuance-communications-inc . COL price VAL  	COL title VAL nuance communications inc. ibm viavoice advanced v. 10 COL manufacturer VAL nuance-communications-inc . COL price VAL 57.54 	1
COL title VAL kakuro puzzle addict unlimited edition COL manufacturer VAL global-software-publishing COL price VAL 9.99 	COL title VAL global software a7163jcw kakuro puzzle addict unlimited edition dvd movie COL manufacturer VAL global-software-publishing COL price VAL 8.79 	1
COL title VAL mozy 3.0 COL manufacturer VAL simply-put-software-llc COL price VAL  	COL title VAL simply put software llc mozy 3.0 COL manufacturer VAL simply-put-software-llc COL price VAL 43.3 	1
COL title VAL phonics success deluxe 2006 ( large box ) COL manufacturer VAL topics entertainment COL price VAL 49.99 	COL title VAL phonics success deluxe 2006 COL manufacturer VAL  COL price VAL 22.9 	1
COL title VAL the printshop business card maker ( jewel case ) COL manufacturer VAL riverdeep-learning-company COL price VAL 9.99 	COL title VAL encore software 2137421 printshop business card maker ( win 98 me 2000 xp ) COL manufacturer VAL  COL price VAL 8.64 	1
COL title VAL print shop 22 deluxe COL manufacturer VAL encore COL price VAL 49.99 	COL title VAL encore inc print shop 22 deluxe COL manufacturer VAL  COL price VAL 42.69 	1
COL title VAL adobe illustrator cs3 [ mac ] COL manufacturer VAL adobe COL price VAL 599.0 	COL title VAL adobe illustrator cs3 ( mac ) COL manufacturer VAL  COL price VAL 599.0 	1
COL title VAL adobe photoshop elements 5.0 / premier elements 3.0 [ lb ] COL manufacturer VAL adobe COL price VAL 149.99 	COL title VAL adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software COL manufacturer VAL  COL price VAL 149.95 	1
COL title VAL instant play guitar deluxe v2 . COL manufacturer VAL topics entertainment COL price VAL 39.48 	COL title VAL topics entertainment instant play guitar deluxe v2 .0 COL manufacturer VAL  COL price VAL 31.06 	1
COL title VAL backpack journalist COL manufacturer VAL honest technology COL price VAL 79.99 	COL title VAL global marketing partners backpack journalist honest technology COL manufacturer VAL  COL price VAL 83.27 	1
COL title VAL readiris pro 11 corporate edition COL manufacturer VAL iris inc. COL price VAL 399.99 	COL title VAL readiris pro 11 corporate edition for pc COL manufacturer VAL  COL price VAL 349.99 	1
COL title VAL math advantage 2008 COL manufacturer VAL encore COL price VAL 39.99 	COL title VAL encore software 12390 math advantage 2008 win 2000 xp vista COL manufacturer VAL  COL price VAL 34.97 	1
COL title VAL autocad 2007 courseware customizing the interface COL manufacturer VAL autodesk psg COL price VAL 47.95 	COL title VAL autocad 2007 coursewarecustomizing the interface COL manufacturer VAL  COL price VAL 39.69 	1
COL title VAL instant immersion japanese deluxe 2.0 COL manufacturer VAL topics entertainment COL price VAL 39.99 	COL title VAL instant immers japanese dlx 2 . COL manufacturer VAL  COL price VAL 36.11 	1
COL title VAL microsoft word 2004 ( mac ) COL manufacturer VAL microsoft COL price VAL 229.99 	COL title VAL microsoft word 2004 COL manufacturer VAL  COL price VAL 209.99 	1
COL title VAL business card composer ( mac ) COL manufacturer VAL belight software COL price VAL 39.99 	COL title VAL belight business card composer COL manufacturer VAL  COL price VAL 39.99 	1
COL title VAL monopoly 3 COL manufacturer VAL encore COL price VAL 9.99 	COL title VAL encore inc monopoly 3 COL manufacturer VAL  COL price VAL 7.17 	1
COL title VAL adobe production studio premium COL manufacturer VAL adobe COL price VAL 1699.0 	COL title VAL adobe production studio premium software suite video software bundles COL manufacturer VAL  COL price VAL 1698.95 	1
COL title VAL hoyle bridge club COL manufacturer VAL encore COL price VAL 29.95 	COL title VAL encore software 11230 hoyle bridge club win 2000 xp COL manufacturer VAL  COL price VAL 26.97 	1
COL title VAL calculation skills v1 add & sub basic core learning COL manufacturer VAL sos-aggregation-company COL price VAL  	COL title VAL sos aggregation company calculation skills v1 add & sub basic core learning COL manufacturer VAL sos-aggregation-company COL price VAL 15.91 	1
COL title VAL wheel of fortune deluxe COL manufacturer VAL encore COL price VAL 19.99 	COL title VAL encore software 14130 wheel of fortune deluxe win 98 me 2000 xp vista COL manufacturer VAL  COL price VAL 18.97 	1
COL title VAL emedia bass method win/mac COL manufacturer VAL emedia COL price VAL 59.99 	COL title VAL emedia eg03014 bass method os x COL manufacturer VAL emedia COL price VAL 53.99 	1
COL title VAL iview mediapro 2.5 COL manufacturer VAL global marketing COL price VAL 199.99 	COL title VAL iview mediapro 2.6 media management COL manufacturer VAL  COL price VAL 155.99 	1
COL title VAL total 3d home & landscape design suite version 9 COL manufacturer VAL individual software COL price VAL 39.99 	COL title VAL individual software inc total 3d home & landscape deluxe 9 COL manufacturer VAL  COL price VAL 33.5 	1
COL title VAL mavis beacon teaches typing deluxe v17 COL manufacturer VAL encore software COL price VAL 39.99 	COL title VAL mavis beacon teaches typing v17 deluxe pc/mac COL manufacturer VAL  COL price VAL 29.9 	1
COL title VAL listen for ipod magnetic time COL manufacturer VAL sos-aggregation-company COL price VAL 39.99 	COL title VAL listen for ipod magnetic time ( win 2000 xp ) COL manufacturer VAL sos-aggregation-company COL price VAL 39.99 	1
COL title VAL microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ) COL manufacturer VAL microsoft licenses COL price VAL 101515.55 	COL title VAL microsoft h32-00034 sps extrnlconnnonemplyengl & s c 805529073074 COL manufacturer VAL  COL price VAL 55420.56 	1
COL title VAL sea scene : living underwater worlds ( jewel case ) COL manufacturer VAL valusoft COL price VAL 9.99 	COL title VAL sea scene : living underwater worlds COL manufacturer VAL  COL price VAL 19.55 	1
COL title VAL cakewalk sonar 6 producer ed COL manufacturer VAL cakewalk COL price VAL 799.0 	COL title VAL cakewalk sonar 6 producers edition software music production software COL manufacturer VAL  COL price VAL 459.95 	1
COL title VAL star wars empire at war ( intel only macs ) COL manufacturer VAL aspyr media COL price VAL 49.99 	COL title VAL aspyr star wars empire at war COL manufacturer VAL  COL price VAL 47.99 	1
COL title VAL logic express 6 COL manufacturer VAL apple COL price VAL 299.99 	COL title VAL apple software t9164ll/a logic express 6 COL manufacturer VAL apple software COL price VAL 219.0 	1
COL title VAL acrobat professional 8 mac upsell standard-professional COL manufacturer VAL adobe COL price VAL 273.0 	COL title VAL adobe acrobat v8 .0 professional for mac upsell from std-pro COL manufacturer VAL  COL price VAL 145.99 	1
COL title VAL mavis beacon teaches typing 16 COL manufacturer VAL broderbund COL price VAL 19.99 	COL title VAL mavis beacon 16 COL manufacturer VAL  COL price VAL 17.9 	1
COL title VAL adobe creative suite cs3 design standard [ mac ] COL manufacturer VAL adobe COL price VAL 1199.0 	COL title VAL adobe cs3 design standard COL manufacturer VAL  COL price VAL 1243.99 	1
COL title VAL mavis beacon teaches typing 17 standard COL manufacturer VAL encore software COL price VAL 19.99 	COL title VAL broderbund mavis beacon teaches typing standard17 COL manufacturer VAL  COL price VAL 22.99 	1
