ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
data manager for evolvable real-time command and control systems vldb,"eric hughes , roman giyis j bhavani m. thuraisingham , petertc. krupp , john a. maurer",,1997.0 ,"data manager for evolvable real-time command and control systems eric hughes , roman ginis , bhavani m. thuraisingham , peter c. krupp , john a. maurer 1997",,very large5data bases, ,1
how system 11 sql server became faft t. k. rengarajan 1996,,vldb, ,how system 11 sql server became fast t. k. rengarajan very large data bases 1996,,, ,1
"integrating symbolic images into a multimedia database system using classification and abstraction approaches hanan samet , aya soffer vldb j.",,,1998.0 ,integrating symbolic images into a multimedia database system using classification and abstraction apbroaches,"aha soffer , hanan samet",the vldb aournal -- the international journal on very large data bases,1o98.0 ,1
"cluster validity methods : part i michalis vazirgiannis , yannis batistakis , maria halkidi 2002",,sigmod record,j,cluster validity methods : part i 2002,"maria halkidi , yannis batistakis , michalis vazirgiynnis",acm sighod,w,1
designing wrapper components for e-services in integrating heterogeneous systems vldb j.,"barbara pe7nici , massimo 9ecella",,2001.0 ,designing wrapper components for e-services in integrating heterogeneous systems,"massimo mecella , barbara pernici",tue vldb jsurnal -- the international journal on very large data bases,200q.0 ,1
"estimating page fetches for index scans with finite lru buffers arun n. swami , k. bernhard schiefer sigmod conference",,,199f.3 ,"estimating page fetches for index scans with finite lru buffers arun swami , k. bernhard schiefer int1rnational conference on management of data 1994",,, ,1
workshop on workflow management in scientific and engineering applications - report sigmod record,"gottfried vossen , richard mcclatchey",,1997.0 ,"workshop on morkfl1w management in scientific and engineering applications-report r. mcclatchey , g. vossen",,acm sfgmod record,1997.0 ,1
"a semantic modeling approach for image retrieval by content ricky k. taira , ion tim ieong , wesley w. chu vldb j.",,,1994.0 ,a semantic modeling approach for image retrieval by content 1994,"wesley w. chu , ion t. ieong , ivcky k. taira",the vldb journal -- the international journal on very large data bases,m,1
"applying fosmal methods to semantic-based decomposition of transactions paul ammann , indrakshi ray , sushil jajodia 1997",,acm arans . database syst ., ,applying formal methods tt semantic-based decomposition of transactions acm transactions on database systems ( tods ),"paul amma6n , sushil jajodia , indrakshi ray",,1997.0 ,1
"the cornell jaguar system : adding mobility to predator zhiyuan chen , daniel mahashin , victor cheng , kyle buza , tobias mayr , hubert siu , randolph chung , ivan oprencak , philippe bonnet , takako m. hickey , praveen seshadri , ryan kennedy sigmod conference 1999",,, ,the coonell jaguar project : adding m7bility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , hvan oprencak , yraveen seshadri , hubert siu",international conference on management of data,1999.0 ,1
