,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,from structured documents to novel query facilities 1994,"v christophxdes , s abiteboul , s cluet , m schokl",sigmod conferqnce, ,"from structured documents to novel query facilities , in proc . of acm sigmod conference , may 1994","v christophides , s abiteboul , s cluet , m scholl",r, ,1
1,"snakes and sandwiches : optimal clustering strategies for a data warehouse h jagadish , l lakshmanan , d srivastava sigmod conference",1p99.0 ,,,"sigmod conference ,",1999.1 ,snakes and sandwiches : optimal clustering strategies for a data warehouse,"hv jagadish , d sri6astava",1
2,temporal statement modifiers acm trans . database syst . 2000,"m bіhlen , c jensen , r snodgrais",, ,20q0.n ,"mh boehlen , cs jensen , rt snodgrars",, ,1
3,the ins and outs ( and everthing in between ) of data warehousing 1996,0,,,, ,"the ins and outs ( and everthing in between ) of data warehousing sigmod conference , 1996.0","pm fernandez , dg schneider",1
4,efficiently supporting ad hoc queries in large datysets of time sequences 1997,"f korn , h jagadish ,nc faloutsos",sigmod conference, ,efficiently suporting ad hoc queries in large dotasets of time,"f korn ,vhv jagadish , c faloutsos", , ,1
5,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"e jitoura , b bha2gava",sigpod record,1995.0 , ,"o pitoura , b bhargava",,1995.0 ,1
6,"change-centric management of versions in an xjl warehouse a marian , s abiteboul , g cobena , l mignet",,v0db,2001.0 ,2001.w ,"a marian , s abi5eboul , g cobena , l mignet","proceedings of the international conference on very large & hellip ; ,",2001.0 ,1
7,lifestreams : a storage model for personal data 1996,"e froeman , d gelernter",si4modkrecord, ,"lifestreams : a storage model for personal data , acm sigmod bulletin e freeman , d gelernter",1996.0 ,si4modkrecord, ,1
8,"on random sampling over joins s chaudhuri , r motwani , v naras8yya sigmod conference",1999.0 ,,,, ,on randomjsampling over joins proceedings of the acm sigmod international conference on,"sc cmn , r motwani , vr narasayya",1
9,"the reach active oodbms a buchmann , a deutsch , j zimmermann , m higa sigmod conference 1995",, ,,u,, ,,1
10,"a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees e chong , j srinivasan , s das , c freiwald , a yalamanchi , m jagannath , a tran , r krishnan , r jiang 2003",,sigmod record, ,"a mapping mechanism to support bitmap indexjand other auxiliary structures on tables stored as ei chong , j srinivasan , s das , c freiwald , a sigmod record ,",,2j73.0 , ,1
11,continuous nearest neighbor search 2002,"y tao , d papadias , q shen",vldj, ,"continuous nearest neighbor search y tao , d papadias , q9shen vldb ,",,2002.0 , ,1
12,processing object-oriented queries with invertible late bound functions vldb 1995,"s flodin , t ris4h",,z,i,"s flodin , t rbsch",,z,1
