ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"effective page refresh policies for web crawlers j cho , h garcia-molina acm trans . database syst . 2003",,, ,"effective page refresh policies for web crawlers j cho , h garcia-molina acm transactions on database systems , 2003.0",,,m,1
"generic schema matching with cupid j madhavan , p bernstein , e rahm",,b1db,2001.0 ,"generic schema matching with cupid the vldb journal , 2001.0","pa bernstein , j madhavan , e rahm",, ,1
"a monte carlo algorithm for fast projective clustering c procopiuc , m jones , p agarwal , t murali sigmod conference",,,2002.0 ,"a monte carlo algorithm bor fast projective clustering cm pro8opiuc sigmod conference ,",,,0002.0 ,1
amalgamating knowledge bases acm trans . database syst . 1994,v subrah8aniag,, ,"amalgamating knowledge bases , ii : distributed mediators s adali , vs subrahmanian",,,v,1
"performance of data-parallel spatial operations e hoel , h samet 1994",,vldb, ,performance of data-parallel spat ial oper3tions,"eg hoelt , hjsamet",, ,1
xl : a platform for web services,"d florescu , a grnhagen , d kossmann , s rost",sigmod xonference,2002.0 ,xl : a platform for web services,"d f2odescu , d kossmann",,h,1
information integration : the mokis project demonstration vldg,"d beneventano , s bergamaschi , s castano , a corni , r gui5etti , g malvezzi , m melchiori , m vincini",,20s0.0 ,"information integration : the momis project demonstration s bergamaschi , s castano , a corni , r guidetti , g 26th vldb : int . conf . on very large",,, ,1
data mining : practical machune lear3ing tools and techniques - book review sigmod recocd 2002,j geller,, ,data mining : practical machine learning tools and techniqves with java implementations j geller 2002.0,,"sigmod record ,", ,1
"declarative data clvaning : language , model , and algorithms vldb 2001","h galhardas , d florescu , d shasha , e sikon , c saita",,4,"declarative data cleaning : language , model , and algorithms h galhardas , d florescu , d shasha , e simon , ca 2001.0",,"vldb ,", ,1
"efficient k-nn search on vertically decomposed data a vries , n mamoulis , n nes , m kersten sigmod conference 2002",,, ,"efficient k-nn searzh on vertically decomposed data proceedings of the acm sigmod international conference on & hellip ; ,","ap de vries , n mamoulis , n nes , m kersten",,2002.0 ,1
