ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
extraction of object-oriented structures from existing relational databases,,sigmod record,2000.0 ,"translating update operations from relational to object-oriented databases pm reppert , fd morgan , mn toksoz , x zhang , j fong information and software technology ,",,sigmod conference, ,0
"the ccube constraint object-oriented database system a brodsky , v segal , j chen , p exarkhopoulo",,sigmod conference,1999.0 ,"odefs : a file system interface to an object-oriented database nh gehani , hv jagadish , wd roome proceedings of the 20th international conference on very & hellip ; ,",,vldb,1994.0 ,0
sampling large databases for association rules 1996,,vldb, ,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets c faloutsos , k lin","c faloutsos , ki lin",,1995.0 ,0
"toward autonomic computing with db2 universal database s lightstone , g lohman , d zilio",,"sigmod record ,",2002.0 ,"thmis : a database programming language handling integrity constraints v benzaken , a doucet vldb j.",,,1991.0 ,0
database management systems and the internet vldb,s malaika,,1996.0 ,grid data services ?? relational database management systems 2002.0,"b collins , a borley , n hardman , a knox , s laws , j",, ,0
an introduction to spatial database systems vldb j. 1994,"d papadias , y tao , g fu , b seeger",, ,constraint databases : a tutorial introduction sigmod record,,,2000.0 ,0
vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng",,2003.0 ,"timer-driven database triggers and alerters : semantics and a challenge e hanson , l noronha",,"proceedings of the international conference on very large & hellip ; ,",2001.0 ,0
"replication , consistency , and practicality : are these mutually exclusive ? sigmod conference 1998","t anderson , y breitbart , h korth , a wool",, ,the d-tree : an index structure for planar point queries in location-based wireless services dl lee 2004.0,,"proceedings of the acm-sigmod 1998 international conference & hellip ; ,", ,0
"why and how to benchmark xml databases sigmod record ,",,,2001.0 ,"research issues in spatial databases sigmod record ,","f waas , m kersten , d florescu , mj carey , i",,1999.0 ,0
"business models for electronic commerce electronic markets ,",p timmers,, ,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb, ,0
"advanced database technologies in a diabetic healthcare system w hsu , m lee , b ooi , p mohanty , k teo , c xia vldb 2002",,, ,"advanced database technologies in a diabetic healthcare system vldb , 2002.0","w hsu , ml lee , bc ooi , pk mohanty , kl teo , c xia",vldb j., ,0
composite object support in an object-oriented database system,,sigmod conference,1999.0 ,"xsb as a deductive database k sagonas , t swift , d warren sigmod conference 1994","w kim871 kim , j banejee , h chou , j garza , d woelk","proc . acm , oopsla , october ,", ,0
new tpc benchmarks for decision support and web commerce,gc introduction,sigmod record,2000.0 ,new tpc benchmarks for decision support and web commerce,"a schuster , r wolff",,2000.0 ,0
storage reclamation in object-oriented database systems,,vldb, ,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",mh butler,proceedings of the acm sigmod international conference on, ,0
"view management in multimedia databases k candan , e lemar , v subrahmanian 2000",,vldb j., ,version management of composite objects in cad databases,"r ahmed , sb navathe",, ,0
algorithms for mining distance-based outliers in large datasets vldb 1998,"k edwin , r ng",, ,"algorithms for mining distance-based outliers in large database new york : in proc . of the vldb conference ,","j chen , x zhang , s chen , a koeller , ea",, ,0
"answering complex sql queries using automatic summary tables proceedings of the 2000 acm sigmod international conference & hellip ; , 2000.0","m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",,2000.0 ,"editors ' notes r picciotto , rc rist 1995.0","m zaharioudakis , r cochrane , g lapis , h pirahesh ,",, ,0
a new sql-like operator for mining association rules vldb 1996,"r meo , g psaila , s ceri",, ,"scalable parallel data mining for association rules sigmod conference , 1997.0",eh han ? ,, ,0
"the ecrc multi database system w jonker , h schtz sigmod conference 1995",,, ,"a theory of types unpublished manuscript ,",,, ,0
a survey of logical models for olap databases sigmod record,"p vassiliadis , t sellis",,1999.0 ,normalizing incomplete databases l libkin,,vldb, ,0
broadcast disks : data management for asymmetric communications environments sigmod conference,,, ,"broadcast disks : data management for asymmetric communications environments sa vi , r alonso , m franklin , s zdonik proceedings of the acm sigmod conference on management of",,, ,0
"database research : achievements and opportunities into the 21st century a silberschatz , m stonebraker , j ullman 1996",,sigmod record, ,database research : achievements and opportunities into the 21st century . report of an nsf workshop 1995.0,"a silberschatz , m stonebreaker , j ullman",, ,0
template-based wrappers in the tsimmis system 1997,,, ,"vassalos . templatebasedwrappers in the tsimmis system j hammer , s nestorov , h garcia-molina , r yerneni , proc . acm sigmod conference ,",,"acm transactions on database systems ,", ,0
efficient algorithms for processing xpath queries 2002,"g georg , k christoph , p reinhard",vldb, ,efficient algorithms for processing xpath queries,,"proc . of the vldb ,", ,0
xpath processing in a nutshell 2003,,, ,"xpath processing in a nutshell g gottlob , c koch , r pichler 2003.0","m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu","sigmod record ,", ,0
stream cube : an architecture for multi-dimensional analysis of data streams 2005.0,,"distributed and parallel databases ,",2003.0 ,adam : a testbed for exploring the use of data mining in intrusion detection sigmod record 2001,,, ,0
an efficient cost-driven index selection tool for microsoft sql server 1997,"s chaudhuri , v narasayya",vldb, ,"automated selection of materialized views and indexes in microsoft sql server a sanjay , c surajit , vr narasayya",,"proceedings of the international conference on very large & hellip ; ,",2001.0 ,0
"a logical framework for scheduling workflows under resource allocation constraints p senkul , m kifer , i toroslu vldb",,,2002.0 ,a logical framework for scheduling workflows under resource allocation constraints,r finkelstein,"vldb ,",1995.0 ,0
"mobile computing and databases : an ything new ? , '' mh dunham , a helal sigmod",,sigmod record,1995.0 ,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) sigmod conference 1997, ? ,, ,0
comparing data streams using hamming norms ( how to zero in ) 2003.0,,vldb,2002.0 ,modular synchronization in multiversion databases,"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,", ,0
shoring up persistent applications 1994,"mj carey , dj dewitt , mj franklin",, ,", dt solomon , mh tan , ck tsatalos , og white , sj zwilling , mj : shoring up persistent applications sigmod ( siehe sig94 ] ) , s.","p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference, ,0
"c. , dewitt , d. , & naughton , j. ( 1999 ) relational databases for querying xml documents : limitations jt shanmugasundaram , k he , g zhang proceedings of the 25th vldb conference . http://www . cs .",,vldb, ,standard benchmarks for database systems,,,2003.0 ,0
minimization of tree pattern queries,,sigmod conference, ,spatial deductive database y zhang,"s amer-yahia , s cho , lvs lakshmanan , d srivastava",,1994.0 ,0
"counting , enumerating , and sampling of execution plans in a cost-based query optimizer 2000","f waas , c galindo-legaria",sigmod conference, ,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer f waas , c galindo-legaria",,, ,0
"change-centric management of versions in an xml warehouse , september 2001 a marian , s abiteboul , g cobena , l mignet",,vldb,2001.0 ,knowledge bassed query processing proceedings of the 6th vldb conference,"mm hanuner , sb zdonik",, ,0
"temporal fds on complex objects j wijsen acm transactions on database systems , 1999.0",,acm trans . database syst .,1999.0 ,andt . r. smith . efficient retrieval for browsing large image databases,"d wu , d agrawal , ae abbadi , a singh",sigmod conference, ,0
