,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000.0 ,"research and practice in federated information systems : report of the efisâ ?? 2000 international sigmod record ,","a jagatheesan , a rajasekar",sigmod record, ,0
1,"3xnf : redundancy eliminating xml storage in relations y chen , sb davidson , y zheng","y chen , s davidson , c hara , y zheng",,2003.0 ,"pajek-analysis and visualization of large networks v batagelj , a mrvar lecture notes in computer science , 2002.0",,submitted for,1997.0 ,0
2,"quasi-cubes : exploiting approximations in multidimensional databases d barbarс , m sullivan sigmod record 1997",,, ,"modeling multidimensional da [ abases r agrawal , a gupta , s sarawagi technical report , ibm almaden research center , 650 harry road ,",,, ,0
3,querying xml views of relational data vldb,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",,2001.0 ,"querying xml views of relational data - group of 2 & raquo ; j shanmugasundaram , j kiernan , e shekita , c fan , j proceedings of the 27th international conference on very & hellip ; ,",,,1996.0 ,0
4,caching multidimensional queries using chunks 1998,eas sawires,sigmod conference, ,strategies of multilevel chunking of multidimensional arrays,"j park , m chen , p yu",,2003.0 ,0
5,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j., ,spatial deductive database y zhang,,, ,0
6,"lore : a database management system for semistructured data j mchugh , s abiteboul , r goldman , d quass , j widom 1997.0",,sigmod record,1994.0 ,grid data management systems & services,,,2003.0 ,0
7,the aditi deductive database system,"g phipps , ma derr , ka ross",vldb j., ,on relational support for xml publishing : beyond sorting and tagging 2003.0,"s chaudhuri , r kaushik , jf naughton",sigmod conference, ,0
8,flexible support for multiple access control policies acm trans . database syst .,"s jajodia , p samarati , m sapino , v subrahmanian",,2001.0 ,"a unified framework for enforcing multiple access control policies e bertino , s jajodia , p samarati , vs subrahmanian proceedings of acm sigmod conference on management of data , & hellip ; ,",,submitted for,2003.0 ,0
9,"hd-eye : visual clustering of high dimensional data a hinneburg , d keim , m wawryniuk sigmod conference",,,2002.0 ,"hdeye : visual mining of highdimensional data ( demo ) a hinneburg , da keim , m wawryniuk",,, ,0
