,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,dreamgear charge and sync cable for ipod iphone ipad purple dreamgear,,,isound-1634,14.99 ,digipower charger and sync cable for ipod and iphone white chargers digipower ip-dc-w,mp3 players,,, ,0
1,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,,,35199,4612.99 ,da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal electronics - general da-lite,,,88285, ,0
2,buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1 buffalo technology lswx10tlr1,networking,,,192.63 ,buffalo technology linkstation mini 1 tb 2 x 500 gb compact network attached storage ls-wsx1 .0 tl r1 network attached storage buffalo technology 199.99,,,ls-wsx1 .0 tl/r1, ,0
3,los angeles dodgers pink iphone 4 hard case electronics - general tribeca fva4450 29.99,,,, ,los angeles lakers ipod touch 4g hard case tribeca,,sharp,,29.99 ,0
4,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format da-lite 20030 1600.0,,,, ,xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer printers 108r00676 151.54,,xerox,,5115.0 ,0
5,amzer super clear screen protector with cleaning cloth for blackberry playbook 6pk electronics - general amzer,,,amz90548,9.88 ,wintec filemate imagine series m2810 usb standard mouse - white with light blue 3fmnm2810ubl-r mice wintec 11.99,screen protector foils,,3fmnm2810ubl-r, ,0
6,brother tn360 black toner cartridge brother tn360,inkjet printer ink,,,45.54 ,wintec filemate 4gb swivel usb flash drive black usb drives wintec 3fmusb4gwb-r,,,,17.61 ,0
7,da-lite 93163 model b manual wall and ceiling projection screen 93163,electronics - general,da-lite,,149.88 ,da-lite deluxe model b manual wall and ceiling projection screen 60 x 60 85 diagonal high power surface projection screens 228.95,printers,brother,,202.87 ,0
8,nokia travel charger nokia,phone accessories,,279044,20.53 ,nokia ac-3u travel charger wall chargers 2.14,,,,4958.99 ,0
9,roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet electronics - general 222052,cases sleeves,,,35.99 ,3 button wireless optical wheel mouse red usb mp2200red,mice,,,24.96 ,0
10,smead folders front interior pocket straight end tab letter manila 50 box 45.94,,,24117, ,new-smead 24100 - shelf folders straight cut single-ply end tab letter manila 100 box - smd24100 laminating supplies,electronics - general,smead,,40.0 ,0
11,plantronics usb-to-headset adapter plantronics,electronics - general,,da-40,27.98 ,plantronics headset to usb adapter da40 accessories supplies plantronics da40,,,,27.98 ,0
12,msi ati radeon hd6670 1gb ddr5 pci-express video card msi r6670-md1gd5 107.0,electronics - general,,, ,xfx ati radeon hd5450 1 gb ddr3 vga dvi hdmi low profile pci-express video card hd545xzch2 xfx hd545xzch2,graphics cards,,,48.03 ,0
13,griffin ipod touch 4g formfit case black clear,mp3 accessories,arkon,gb01957,17.13 ,wilson jones 38644w - basic d-ring vinyl view binder 2 capacity white,,,, ,0
14,ifrogz ipod touch 4 luxe original case blue black,mp3 accessories,,it4lo-blu/blk,29.99 ,ifrogz it4lo-blu blk luxe original for ipod touch 4g - blue black ifrogz 20.73,cases,microsoft,, ,0
15,new-innovera b436a - b436a compatible remanufactured toner 2000 page-yield black - ivrb436a computer accessories,,innovera,m4640,24.99 ,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g r5450-md1g 83.56,computers accessories,diamond,, ,0
16,hp q6511a hp 11a toner 6000 page-yield black 191.03,printers,hp,q6511a, ,da-lite da-plex self trimming rear projection screen - 60 x 60 av format electronics - general 27575 2680.99,,da-lite,, ,0
17,xantech 282d designer emitter single 15.88,,xantech,282d, ,da-glas base rear projection screen - 43 1 4 x 57 3 4 video format 1519.99,projection screens,da-lite,, ,0
18,superspeed usb 3.0 to sata 3gb s 2.5 in drive enclosure 29.89,cables interconnects,siig,ju-sa0312-s1, ,casio exilim ex-zs10 14.1 mp digital camera black w 5x optical zoom 2.7 lcd display digital cameras casio ex-zs10bk,point shoot digital cameras,,, ,0
19,da-lite deluxe anti-sway brace for fast fold deluxe screens electronics - general 93605,,da-lite,,132.99 ,da-lite manual 72 x 96 diagonal square format office wall screen with mahogany veneer case and matte white fabric projection screens,electronics - general,,, ,0
20,3m fr530cb ergonomic adjustable footrest furniture fr530cb,,3m,,67.88 ,brother tz641 laminated tape cartridge brother,footrests,,fr530cb #, ,0
21,roocase executive portfolio leather case for asus eee pad transformer tf101 10.1-inch,electronics - general,roocase,222056,43.99 ,vipertek multi-angle leather folio case cover for asus eee pad transformer 10.1-inch tf101 android tablet wi-fi black cases sleeves vipertek 19.95,,,70gh012000003,59.99 ,0
22,targus akb04us slim internet media usb keyboard targus 29.0,computers,,akb04us, ,targus slim internet media usb keyboard akb04us targus akb04us,keyboards,,,78.88 ,0
23,sony handycam mini dvd rw for dvd camcorders 3-pack 12.0,camcorders,sony,3dpw30r2h, ,sony hdrcx130 handycam camcorder black 398.0,headphones,panasonic,hdrcx130/b, ,0
