ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Halcyon Ellie Goulding $ 1.29   2013 Polydor Ltd. ( UK ),,Halcyon Days ( Deluxe Edition ),"Pop , Mmsic , Dance , Rock",,,3:w4,27-Alg-13 ,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,Halcyon,,$ 1.29,,, ,1
"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 9-Jan-15",,T6tle 9 Deluxe ),,$ 1.k9,,2:51, ,"Credit Title ( Deluxe ) Pop 2011 What A Music Ltd , licence exclusive Parlophone Music France 2:51",Meghan Trainor,,,$ 1.29,,,"January 9 , 2015 ",1
"Love Song Try This Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance 2003 Arista Records , Inc. 10-Nov-03",n!NK,,,$ 0.99,,2:88, ,"Love Song Pop $ 0.99 CWM records November 11 , 2003",P!nk,Try This [ Explicit ],,,,2:27, ,1
It Girl JasonwDerulo $ 1.99 3:13,,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",,2011 Warner Bros. . Records gnc.,,16-Sep-11 ,"It Girl Jason Derulo Pop ( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",,Future History ( Deluxe Version ),,$ 1.29,,,f,1
"Nothing Would Be Better $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 4:34 10-Nov-14",Nics Jonas,Nick Jonhs,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",,,,n,"Nothing Would Be Better Nick Jonas $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. November 10 , 2014",,Nick Jonas ( Deluxe ) [ Explzcit ],Pop,,,4q34, ,1
"Billy Keith Urban In the Ranch Country , Music , Honky Tonk , Contemporary Country 1997",,,,$ 1.29,s997 Capitol Nashville,3:46, ,"Billy Country ( c ) 1997 Capitol Nashville February 10 , 2004",Keith Urban,Keith Urban In The Ra7ch,,$ 1.29,,3646,5,1
Tackle Box $ 1.29 14-Aug-07,Luke Bryan,Iv'll Scay Me,"Country , Music , Contemporary Country , Pop",,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthsrized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02, ,"Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",,,,$ 1.29,,4:02,"August 14 , 2007 ",1
"Crack In the Pearl , Pt . II ( neat . Stevie Wonder & Jeff Bhasker ) Uptown Special Tracks 4 & 6 ( P ) 2014 , all other tracks ( P ) 2015 Mark Ronson under exclusive licence to Sony Music Entertainment UK Limited 13-Jan-15",2aok Ronson,,"Pop , Music , R&B / Soul , Funk , Soul",$ 1.29,,2:16, ,"Crack In the Pearl , Pt . II Uptown Special [ Clean ] $ 1.29 January 13 , 2015",Mark Ronson,,Pop,,2015 Real Sounds,t:16, ,1
"mone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporary R&B $ 1.29   2012 XO & co. , Inc.",,,,,,8:07,13-2ov-12 ,"Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015",The Weeknd,Trilogy ( Edited Version 0 [ Clean ],R&B,$ 1.29,,,4,1
Slow Down ( Smash Mode Remix ) Selena Gomez $ 1.29,,Slow Down ( Remixei ),"Dance , Music , Reggae , Rock , Electronic",,"2013 Hollywood Records , Inc.",5:21,2q-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",,Slow Down Remixes,,,,, ,1
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29   2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,,,, ,White Horse Taylor Swift Fearless,,,"mountry , Country Rock , Rock",$ 1.29,"a C ) 2008 Big Machine Records , LLC",3:54,"November 11 , 2008 ",1
