ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
We 're All the Same Calvin Harris 2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited 3:56 18-Jun-07,,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,,, ,"I Wan na Go Crazy ( Feat . Will.I.Am ; Extended ; Continuous Mix Version ) 4:54 August 21 , 2009",David Guetta,One Love ( Deluxe Version ),,,2010 Gum Prod licence exclusive Parlophone Music France,, ,0
We Run $ 1.29,,,,,"( C ) 2008 Mercury Records , a Division of UMG Recordings , Inc.",,"July 29 , 2008 ","Initiation ( feat . Lola Monroe ) [ Explicit ] O.N.I.F.C. [ Explicit ] Rap & Hip-Hop $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States December 4 , 2012",Sugarland,Love On The Inside,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",,,3:56, ,0
Fly Solo [ Clean ] Wiz Khalifa $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,Wiz Khalifa,Rolling Papers ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,  2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:20, ,La La La [ feat . Sam Smith ] Naughty Boy Pop,,Rolling Papers ( Deluxe ) [ + Video ] [ + Digital Booklet ],,$ 1.29,,,"March 28 , 2011 ",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France,David Guetta,One Love ( Deluxe Version ),,$ 1.29,2015 If Moving Your Mine,2:51,"November 24 , 2014 ","Lift me up ( feat . Nico & Vinz , Ladysmith Black Mambazo ) Listen ( Deluxe ) Dance & Electronic",,,"Singer/Songwriter , Music , Rock",$ 0.99,,3:58,2-Jul-12 ,0
Slow Down ( Smash Mode Remix ) Selena Gomez $ 1.29,,Slow Down Remixes,,,"2013 Hollywood Records , Inc.",5:21, ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",David Guetta,,,,,, ,0
"So High ( feat . Ghost Loft ) [ Explicit ] Rap & Hip-Hop $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:09 August 19 , 2014",Wiz Khalifa,,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,, ,Whateva ( feat . Monty ) Fetty Wap Fetty Wap ( Deluxe ) Album Only 2015 300 Entertainment/RGF Productions 5:11,,Blacc Hollywood ( Deluxe ) [ Explicit ],,,,, ,0
"Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009",David Guetta,,,$ 1.29,,, ,"Carolina Rain ( Live in Cork ) Ryan Adams $ 0.99 2012 PAXAM RECORDS 5:41 August 9 , 2012",,Live After Deaf ( Cork ),,$ 1.29,,3:31, ,0
"Beautiful Now ( Scout Remix ) [ feat . Jon Bellion ] Beautiful Now ( Scout Remix ) $ 1.29 October 9 , 2015",Zedd,"NOW That 's What I Call Music , Vol . 49","Pop , Music",,"  2014 UMG Recordings , Inc. and Sony Music Entertainment",3:34,4-Feb-14 ,Boiling ( Medlar Remix ) Control,Disclosure,,Dance & Electronic,,( C ) 2015 Interscope Records,3:18, ,0
"Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country   2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",Luke Bryan,,,,,,"October 2 , 2009 ",Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,( C ) 2009 Capitol Records Nashville,,"December 4 , 2012 ",0
Clean Ryan Adams 4:23,,,Rock,,,, ,"Bounce ( Fly Eye Club Mix ) Dance & Electronic 6:06 February 5 , 2013",Calvin Harris Feat . Kelis,,,$ 1.29,,, ,0
My Way ( feat . Monty ) [ Explicit ] Fetty Wap Rap & Hip-Hop $ 1.29,Fetty Wap,,,Album Only,,, ,"Boiling ( Medlar Remix ) Disclosure $ 0.89 5:52 April 2 , 2013",,Control,,$ 1.29,2013 Greco-Roman Ltd,3:33,"September 25 , 2015 ",0
"Sweet Spot 2.0 ( feat . Jennifer Lopez ) Flo Rida Hip-Hop/Rap , Music , Rap , Electronic , World , Dance $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 22-Jun-12",,Wild Ones,"Dance & Electronic , Rap & Hip-Hop , House",,,3:52, ,"Carolina Rain ( Live in Cork ) Ryan Adams $ 0.99 2012 PAXAM RECORDS 5:41 August 9 , 2012",,,,,,, ,0
Halcyon Ellie Goulding $ 1.29   2013 Polydor Ltd. ( UK ),,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",,,3:24,27-Aug-13 ,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,Halcyon,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,,, ,0
"Lifted ( feat . Emeli Sand '  & Professor Green ) Naughty Boy Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 4:15",,,,,,, ,"Pluto [ feat . Wretch 32 ] Naughty Boy Hotel Cabana [ Explicit ] Pop $ 1.29 ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 3:58 May 6 , 2014",Nicky Jam,,,,,,"September 9 , 2014 ",0
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe ) 3:20 November 24 , 2014",,,Dance & Electronic,,2015 If Moving Your Mine,,21-Aug-09 ,Cameras Wiz Khalifa Rolling Papers 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4:29,,,,$ 1.29,,, ,0
Afire Love Ed Sheeran 5:14,,x,,,( C ) 2014 mau5trap Recordings Ltd,,20-Jun-14 ,Wowzerz ( Album Version ( Explicit ) ) [ feat . Trina ] [ Explicit ] I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ] 3:45,Lil Wayne & T Streets,,Pop,$ 1.29,2005 Secretly Canadian,,"June 20 , 2014 ",0
"On The Dancefloor ( Feat . Will.I.Am & Apl De Ap ) Dance & Electronic $ 1.29 ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd 3:46 August 21 , 2009",David Guetta,,"Dance , Music",,,2:51, ,"Phone Tap ( Album Version ( Explicit ) ) [ Explicit ] David Banner Mississippi-The Album ( Explicit Version ) May 20 , 2003",David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 0.69,,, ,0
"Titanium ( Cazzette 's Ant Seeking Hamster Mix ) [ feat . Sia ] David Guetta 2011 What A Music Ltd , licence exclusive Parlophone Music France",,Titanium ( Remixes ) [ feat . Sia ],,,,6:37, ,"Firefly ( Bravado Dubstep Remix ) $ 1.29 ( C ) 2007 Geffen Records/Mosley Music Group LLC 4:29 December 9 , 2011",David Guetta,,,,,3:23,9-Dec-11 ,0
"The Back Roads and the Back Row Cole Swindell Country , Music , Contemporary Country 3:41",,Cole Swindell,Country,$ 1.29,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,,18-Feb-14 ,The Back Roads & The Back Row Cole Swindell 3:44,,Cole Swindell,Dance & Electronic,$ 1.29,,,"February 18 , 2014 ",0
"Through The Ghost Amaryllis $ 1.29 Krankbrother March 23 , 2012",Shinedown,,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:01, ,"The Breath You Take George Strait Album Only 2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC. 14-Jun-11",Shinedown,"Now That 's What I Call Country , Vol . 4","Country , Music",,,3:34, ,0
Original Don ( feat . The Partysquad ) [ The Partysquad & Punish Smash Em Remix ] $ 1.29 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A. 3:38,,Original Don ( feat . The Partysquad ) [ Remixes ] - EP,"Electronic , Music , Dance",,,,1-Nov-11 ,Lean On ( Fono Remix ) [ feat . M  & DJ Snake ] Major Lazer $ 1.29 5:09,,Hotel Cabana [ Explicit ],Dance & Electronic,,2015 Mad Decent,,"May 6 , 2014 ",0
Epilogue ( feat . George the Poet ) Naughty Boy Hotel Cabana 1:28 6-May-14,,,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",$ 1.29,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,,"May 6 , 2014 ","We Dem Boyz Remix ( feat . Rick Ross , ScHoolboy Q & Nas ) [ Explicit ] Blacc Hollywood ( Deluxe ) [ Explicit ] Rap & Hip-Hop $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 5:19",Naughty Boy,Hotel Cabana ( Deluxe Version ) [ Explicit ],Pop,$ 1.99,,,19-Aug-14 ,0
Simple Man ( Live From Washington State ) Shinedown Somewhere In The Stratosphere Rock ( C ) 2005 MCA Nashville,Shinedown,,"Rock , Music , Metal , Alternative , Hard Rock",,,5:06, ,"Lean On ( Piano Karaoke Accompaniment ) [ Original Key ] [ feat . M  ] Major Lazer , DJ Snake Miscellaneous",,Lean On ( Piano Karaoke Accompaniment ) [ feat . M ],,$ 1.29,,7:35,"April 18 , 2011 ",0
Remember You ( feat . The Weeknd ) 4-Dec-12,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20, ,Times Like These ( Live Acoustic From Kansas City ) Shinedown Rock 4:07,,O.N.I.F.C. [ Explicit ],,$ 1.29,,,"April 18 , 2011 ",0
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,,"Alternative , Music , Rock , Adult Alternative , Punk",,,, ,"I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007",,Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.99,,5:20, ,0
