ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
adobe creative suite cs3 production premium,adobe,198.95 ,adobe soundbooth cs3 audio editing software windows music production software,,499.0 ,0
crystal reports xi professional edition,business objects,495.0 ,crystal reports xi professional edition complete package,,537.57 ,0
individual software pmm-bp6 business planmaker professional 2007 win 98 me 2000 xp,intuit,33.97 ,punch 5 in 1 home design,,35.97 ,0
alliance future combat,strategy first,19.99 ,strategy first inc. alliance future combat,,16.37 ,0
microsoft powerpoint 2004 ( mac ),microsoft,229.99 ,microsoft ( r ) money 2007 deluxe,,49.99 ,0
apple iwork '06 family pack ( mac dvd ) [ older version ],apple,99.0 ,apple . mac 4.0 1yr new or renewal internet service,apple,99.99 ,0
adobe creative suite cs3 production premium upsell,adobe,1199.0 ,apple/emagic logic express 7.2 software music production software,,279.95 ,0
the print shop 22 sb cs by the print shop,, ,middle school success essentials,topics entertainment,25.97 ,0
encore software 10393 network now ! pro by encore,encore software,33.97 ,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,,260.63 ,0
reel deal casino championship edition,phantom efx,19.99 ,reel deal casino championship edition ( win 98 me nt 2000 xp ),,19.95 ,0
cakewalk sonar home studio 6 xl,cakewalk,209.0 ,cakewalk sonar home studio 6 xl software music production software,,159.0 ,0
adobe after effects 7.0 professional ( mac ),adobe,999.0 ,adobe after effects professional 7.0 software effects software,dorling-kindersley-multimedia - ( dk ),9.99 ,0
pdf converter professional v4 english,nuance communications inc.,99.99 ,microsoft ( r ) access 2007,microsoft,17.95 ,0
microsoft visio standard 2007 version upgrade,,129.95 ,photo explosion deluxe 3.0,nova development,49.99 ,0
brain play preschool 1st grade,topics entertainment,19.99 ,the print shop 22 sb cs by the print shop,,25.99 ,0
final draft 7/syd field 's screenwriting workshop dvd bundle,final draft,249.99 ,susteen data pilot universal essentials,,247.95 ,0
adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,649.0 ,sp linux we 50 lic/cd 3.0 c,,69216.95 ,0
instant immersion japanese 2.0,,19.99 ,topics entertainment instant immersion italian 2.0,,17.55 ,0
adobe audition 2.0 audio production software music production software,m-audio,348.95 ,absolute software lfl-n2-48 computrace lojack for laptops 4 year license,lenovo, ,0
return to castle wolfenstein ( mac ),aspyr media,29.99 ,aspyr media inc return to castle wolfenstein,individual software,19.07 ,0
final cut express 2.0 upgrade,apple software,99.99 ,punch ! professional home design,punch ! software,79.99 ,0
h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software,,59.99 ,adobe dreamweaver cs3 upgrade windows,,54.95 ,0
punch ! professional home design,punch ! software,89.99 ,adobe creative suite cs3 design standard upgrade,punch software,135.99 ,0
bu24a600000 emc insignia retrospect desktop v. 6.1 upgrade package 2 clients cd,dantz,51.85 ,adobe flash cs3 professional ( mac ),,199.0 ,0
punch software 13100 punch ! ultimate deck & landscape complete product creativity application 1 user ( s ) complete product standard pc,punch ! software,29.0 ,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),,29.97 ,0
microsoft powerpoint 2004 software mac apple & mac software,microsoft,349.0 ,punch software master landscape professional & home design v 10.0,punch ! software,228.95 ,0
quickbooks pro 2007 small business financial software,intuit,199.95 ,mcafee total protection 2007 for small business adv. w/1yr gold maintenance 5 -,intuit,215.5 ,0
instant home cooking ( jewel case ),m-and-r-technologies,9.99 ,cross stitch design studio ( jewel case ) ( 8006 ),topics entertainment,9.59 ,0
my guitar,emedia,29.95 ,emedia music corp my guitar,,735.33 ,0
apple shake 4.1 visual effects ( mac ),apple computer,499.0 ,apple shake 4.1 mac os x,,499.99 ,0
10517940 symantec client security with groupware protection business pack v. 3.1 -,,3732.0 ,palmspring software 523 oxford american desk dictionary,palmspring software,3323.92 ,0
middle school math & science,global-software-publishing,29.99 ,microsoft office excel 2007,global-software-publishing,12.9 ,0
adobe creative suite cs3 master collection [ mac ],,279.95 ,total training for adobe creative suite 3 design premium,,2499.0 ,0
omnioutliner professional 3.0,csdc,46.95 ,diskeeper 2007 professional,,45.99 ,0
appleworks 6.2 for mac,apple,79.0 ,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,75.99 ,0
adobe creative suite cs3 production premium,adobe,1699.0 ,sony vegas 7 + dvd production suite software full version video editing and dvd creation,microsoft,299.99 ,0
ae mappoint 2006 cd,microsoft corp,49.95 ,microsoft b21-00806 ae mappoint 2006 cd,,50.39 ,0
logic express 6,apple software,299.99 ,topics entertainment instant immersion italian 2.0,topics entertainment,219.0 ,0
microsoft office 2004 standard upgrade ( mac ),,239.99 ,microsoft microsoft office 2004 software suite mac education apple & mac software,,798.95 ,0
norton internet security 2008 10 user,ca oem, ,mavis beacon teaches typing deluxe v17,,199.99 ,0
punch ! super home suite,punch software,49.99 ,punch software 17100 punch ! super home suite,sony media,45.99 ,0
instant immersion spanish deluxe 2.0 topics,,29.99 ,adobe creative suite cs3 production premium upsell,,39.99 ,0
jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99 ,jumpstart advanced 2nd grade ( pc/mac ) knowledge adventure,,19.99 ,0
word mac 2004 upgrade microsoft d48-00488,microsoft,97.36 ,jumpstart ( r ) advanced 1st grade,,19.99 ,0
corel dvd moviefactory 6.0 plus,corel,79.95 ,corel ulead dvd moviefactory plus 6 software for windows authoring software,microsoft,809.0 ,0
omniweb 5.0,,29.99 ,omni web 5.0,,99.99 ,0
microsoft office small business 2007 full version,,449.95 ,microsoft windows vista business upgrade license 1 pc english,topics entertainment,168.99 ,0
encore software 10675 hoyle casino 2007 win 98 me 2000 xp,encore,19.99 ,office mac 2004 microsoft 731-01002,,18.97 ,0
station access collection,,29.99 ,rayman 10th anniversary collection,csdc,8.95 ,0
smart-sound sonicfire pro 4 mega bundle windows xp audio software for video,,798.95 ,production prem cs3 mac upgrad,adobe,1199.0 ,0
webroot desktop firewall,webroot software,29.99 ,webroot software inc 54210 webroot desktop firewall firewall pc,,25.97 ,0
quickstart photo montage studio,selectsoft publishing,19.95 ,quickstart pc cleaner xp,,8.95 ,0
encore the big box of art 410000460001 ),encore software,17.97 ,encore software 460001 the big box of art 410000 95/98/me / nt4/w2k/xp ( win 95 98 me nt 2000 xp ),adobe,1599.0 ,0
microsoft office frontpage 2003 academic version windows ),,159.98 ,microsoft office 2004 software suite oem mac apple & mac software,,19.99 ,0
webroot spysweeper antispyware 3 user,webroot software,29.99 ,webroot spy sweeper spanish edition ( pc ),,709.0 ,0
procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hewlett packard, ,land before time : preschool,,9.99 ,0
mavis beacon teaches typing deluxe v17,encore software,39.99 ,mavis beacon teaches typing v17 deluxe pc/mac,,79.99 ,0
perfect attorney premium,,39.99 ,perfect attorney premium ( pc ) cosmi,,29.99 ,0
apple remote desktop 3 10 managed systems,apple,299.0 ,adobe dreamweaver cs3 upgrade,,299.99 ,0
3d home architect landscape designer v8,encore software,25.49 ,encore inc 3d home architect home design deluxe version 9,,413.99 ,0
quickbooks pro 2007 small business financial software,intuit,39.99 ,individual software business planmaker pro 2008 ( pc ),,795.0 ,0
microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0 ,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0 ,0
adobe illustrator cs3 for mac,adobe,619.99 ,adobe cs3 web standard upgrade,,413.99 ,0
mcafee inc total protection 2007 3-user,mcafee,99.99 ,jumpstart 1st grade ( jc ),,92.51 ,0
gods & heroes : rome rising,sony-online-entertainment,49.99 ,adobe creative suite 3 ( cs3 ) design premium upgrade mac,adobe,49.5 ,0
instant immersion translator deluxe 2.0,topics entertainment,49.99 ,instant immersion 33 languages,encore software,43.99 ,0
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99 ,adobe after effects ( v7 .0 ) pro mac up pro-pro adobe 12070227,,185.32 ,0
punch super home suite 3.0,punch software,49.99 ,punch software 17100 punch ! super home suite,avanquest,27.9 ,0
turbocad mac 3d for mac,imsi,204.67 ,adobe indesign cs3 for mac upgrade from pagemaker,adobe,499.0 ,0
