,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
0,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Coronado Brewing Company,American Amber / Red Ale,- ,Summer Session Ale,Cigar City Brewing,Irish Ale,5 % ,0
1,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 % ,Arthur 's Imperial Red Ale,Two Brothers Brewing Company,Barley Wine,6.90 % ,0
2,Aqula Summer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4.20 % ,De Koninck TSTBRW 01 Imperial Red Ale,Aqula,English Pale Ale,4.50 % ,0
3,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Strong Ale,9.99 % ,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Strong Ale,8.60 % ,0
4,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 % ,Eruption Imperial Red Ale,Custom Brewcrafters,American Amber / Red Ale,9.20 % ,0
5,Hurricane Alley Amber Ale,Florida Beer Company,American Amber / Red Ale,- ,Charleville Tornado Alley Amber Ale,Breckenridge Brewery,Amber Ale,- ,0
6,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Amber / Red Ale,9.00 % ,Strada S. Felice,Grado Plato,American Strong Ale,8 % ,0
7,Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,9.00 % ,Imperial Oak Barrel Aged Odin_s Beard,Imperial Oak Brewing,Amber Ale,6.90 % ,0
8,Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),Nighthawk Brewery,Amber Ale,6.70 % ,Nighthawk 16-Hour Dry Hopped Amber,Kern River Brewing Company,American Strong Ale,8.00 % ,0
9,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Amber / Red Ale,8.00 % ,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Strong Ale,7.80 % ,0
10,Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 % ,Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,Barley Wine,9.50 % ,0
11,Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 % ,Flat 12 Barrel Aged Moustache Ride Red,Fuller_s,Bitter,4.50 % ,0
12,Dream Of The 90 's,Prohibition Pig,Amber Ale,6.10 % ,Prohibition Pig Dream of the 90s,Prohibition Pig,American Amber / Red Ale,7.80 % ,0
13,Ballast Point Tongue Buckler Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 % ,Blarney Rock Irish Ale,Rockyard Brewing Company,American Strong Ale,- ,0
14,Rip Saw Red,Pints Brewing Company,Amber Ale,6.50 % ,Pints Rip Saw Red,Wig And Pen,American Amber / Red Ale,4.80 % ,0
15,Barley_s Barrel Aged Ulysses Imperial Red Ale,Wolf Hills Brewing Company,American Amber / Red Ale,- ,Saint Gleason Imperial Red Ale,Mission Brewery,American Strong Ale,8.60 % ,0
16,Kalamazoo Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 % ,Kinetic Infrared Imperial Red Ale,Bells Brewery,American Amber / Red Ale,- ,0
17,Pizza Port Acacia Amber Ale,Devil 's Canyon Brewing Company,American Amber / Red Ale,- ,Stupiphany Imperial Red Ale,Pizza Port &#40; Solana Beach &#41;,Belgian Ale,8.00 % ,0
18,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 % ,Morrisons American Red Ale,Crooked Eye Brewery,Amber Ale,4.70 % ,0
19,Destihl Barrel Aged Deadhead Double Red Ale,Short 's Brewing Company,American Amber / Red Ale,- ,Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Strong Ale,8.50 % ,0
20,Pioneer American Red Ale,Pioneer Beer Company,American Amber / Red Ale,5.70 % ,Fat Bottom Ruby Red American Ale,Fat Bottom Brewery,Amber Ale,4.60 % ,0
21,Central Coast Old Mission Amber Ale,Roosterfish Brewing Co. .,American Amber / Red Ale,5.50 % ,Summer Session Ale,Central Coast Brewing,Amber Ale,5.50 % ,0
22,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 % ,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,5.50 % ,0
