ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 % ,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 % ,0
Destihl Barrel Aged Deadhead Double Red Ale,Short 's Brewing Company,American Amber / Red Ale,8.30 % ,Laurelwood Organic Deranger Imperial Red Ale,Destihl Brewery,American Strong Ale,- ,0
Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,5.00 % ,Eruption Imperial Red Ale,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;,American Amber / Red Ale,5.20 % ,0
River Otter Ale,Sacramento Brewing Company,American Amber / Red Ale,5.10 % ,Sacramento River Otter Ale,Hammond River Brewing,American Amber / Red Ale,6.60 % ,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Sick N Twisted Brewing Company,American Amber / Red Ale,- ,Sick N Twisted Naughty Redhead Imperial Red Ale,Dry Dock Brewing Co. .,Amber Ale,8 % ,0
Red Emperor Amber Ale,Fish Rock Brewery,American Amber / Red Ale,4.50 % ,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Anheuser-Busch InBev,American Barleywine,5.10 % ,0
Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 % ,Hop Around Imperial Red Ale,Crazy Mountain Brewing Company,Amber Ale,6 % ,0
Two Brothers Revelry Imperial Red Ale,Lavery Brewing Company,American Strong Ale,8.20 % ,Freedom Soho Red,Two Brothers Brewing Company,American Amber / Red Ale,4.70 % ,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 % ,Revolution Barrel Aged Institutionalized Barley Wine,Revolution Brewing Company,Barley Wine,13 % ,0
Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 % ,Kniksen India Red Ale,Rockyard Brewing Company,Irish Ale,- ,0
