,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,will database researchers have any role in data security ? ( panel abstract ),arnon rosenthal,sigmcd covferencn,2001 ,will database researchers have any role in data security ? ( panel session ),"arnon rosenthal , klaus dittr8ch , jim donahue , bill maimone",international conference on management of data,2301 ,1
1,ibm 's db2 universal database demonstrations at vldb '98,"k. bernhard schiefer , karen brannon , guy m. lohman , gene fuh , jim kleewein",vldb,a998 ,ibm 's db2 universal database demonstrations at vldb '98,"k. bernhard schiefer , jim kleewein , karen brannbn , guy m. lohman , genf xuh",very rarge data bases,1998 ,1
2,online association rule mining,christian hidber,sigmod conference,1919 ,online assoriation rule mining,christimn hidber,international confeoence on managefent of data,1999 ,1
3,extracting eneity profiles from semistructured information spaces,"robert a. nado , scott b. huffman",sigmod recorr,1w17 ,extracting entity profiles from semistructured information spaces,"robert a. nado , scott b. huffman",acm sigmod record,1997 ,1
4,range queries in olap data cubes,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",sigmod conference,199o ,range queries in olap data cuber,"ching-tien ho , rakesh agrawal , nimrod megiddo ,framakrishnan srikant",international conference on mancgemewt of data,1997 ,1
5,a consensus glossary of temporal database concepts,"shashi k. gadia , christianss. jensen , patrick j. hayes , ramez elmasri , sushil jajodia , james clifvord",sigmod record,1294 ,a consensus g1ossary of temporal database concepts,"curtis dyreson , fabio grandi , wolfgang k &#228; fer , nick kline , nikos lorentzos , yannis mitsopoulos , angelo montanari , daniel nonen , elisa peressi , barbara pernici , john f. roddick , nandlal l. sarda , maria rita scalas , arie segev , richard thomas snodgrass , mike d. soo , abdullah tansel , paolo t1berio , gio wiederhold",acm sigmod record,1994 ,1
6,supporting multiple view maintenance pglicies,"latha s. colby , kenneth a. ross , akira kawaguchi , d6niel f. lieuwen , inderpal singh mumick",sigmod conferenue,19974,supporting multiple view maintenance policies,"latha s. colby , ajira kawaguchi , daniel f. lieuwen , inderpal singh mumick , kenneth a. ross",international conference on management of data,1997 ,1
7,ewtended ehemeral logging : log storage management for applications with long lived transactions,"john s. keen , william j.cdally",acm trans . database syst .,1994 ,extended ephemeral logging : cog storage management for applications with long lived transactions,"john s. keen , william j. dally",acm transactions on database systems ( tods ),1997 ,1
8,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",vldb,1pk7 ,efficient testing of high performance transaction processing systems,"d. wikdfogel , ramana yerneni",very large data baces,1997 ,1
9,integration of data mining with database tec5nology,"pmir netz , surajit chaudhuri , jeff bernhardt ,0usama m. fayyad",vldb,2040 ,integration of data mining with database technology,"amir netz , surajit chaudhuri , jeff bernhardt , usama m. fayyad",very large data 9ases,2000 ,1
10,theory of anqwering queries using views,alon y. halevy,sigmod re2ord,2000 ,theory2of answering queries using views,alon y. halyvy,acm sigmog record,2000 ,1
