,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,improving index performance through prefetching,"shimin chen , todd c. mowry , phillip b. gibbons",international conference on management of data,2001 ,book review column,"shimin chen , phillip b. gibbons , todd c. mowry",acm sigmod record,2002 ,0
1,an architecture to support scalable online personalization on the web,"kaushik dutta , debra e. vandermeer , krithi ramamritham , anindya datta , shamkant b. navathe",vldb j.,2001 ,an architecture to support scalable online personalization on the web,"anindya datta , kaushik dutta , debra vandermeer , krithi ramamritham , shamkant b. navathe",the vldb journal -- the international journal on very large data bases,2001 ,0
2,transaction chopping : algorithms and performance studies,"shaul dar , raghu ramakrishnan",international conference on management of data,1994 ,a performance study of transitive closure algorithms,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,1998 ,0
3,semantics for update rule programs and implementation in a relational database management system,"louiqa raschid , jorge lobo",acm trans . database syst .,1996 ,book review column,"louiqa raschid , jorge lobo",acm transactions on database systems ( tods ),2002 ,0
4,concurrency control in hierarchical multidatabase systems,"kaushik chakrabarti , sharad mehrotra",vldb j.,1997 ,efficient concurrency control in multidimensional access methods,"r. mcclatchey , g. vossen",international conference on management of data,1999 ,0
5,an extensible notation for spatiotemporal index queries,"richard t. snodgrass , vassilis j. tsotras , christian s. jensen",acm sigmod record,1998 ,an extensible notation for spatiotemporal index queries,"vassilis j. tsotras , christian s. jensen , richard thomas snodgrass",sigmod conference,1998 ,0
6,odefs : a file system interface to an object-oriented database,"narain h. gehani , william d. roome , h. v. jagadish",vldb,1994 ,query unnesting in object-oriented databases,"gerti kappel , werner retschitzegger",international conference on management of data,1998 ,0
7,report on the 18th british national conference on databases ( bncod ),"carole a. goble , brian j. read",acm sigmod record,2002 ,report on the 18th british national conference on databases ( bncod ),"carole goble , brian read",vldb j.,1999 ,0
8,efficient view maintenance at data warehouses,"tolga yurek , divyakant agrawal , amr el abbadi , ambuj k. singh",acm sigmod record,1997 ,materialized views and data warehouses,nick roussopoulos,acm transactions on database systems ( tods ),1998 ,0
9,aggregate maintenance for data warehousing in informix red brick vista,"latha s. colby , gopal mulagund , richard l. cole , craig j. bunker , william j. mckenna , david wilhite",international conference on management of data,2001 ,view maintenance in a warehousing environment,"michael stonebraker , sunita sarawagi",very large data bases,1995 ,0
10,management of multidimensional discrete data,peter baumann,the vldb journal -- the international journal on very large data bases,1994 ,view maintenance in a warehousing environment,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",international conference on management of data,2000 ,0
11,open object database management systems,josé a. blakeley,sigmod conference,1994 ,orthogonally persistent object systems,"&#216; ystein gr &#248; vlen , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",the vldb journal -- the international journal on very large data bases,1995 ,0
12,archiving scientific data,"sanjeev khanna , peter buneman , wang chiew tan , keishi tajima",acm sigmod record,2002 ,winnowing : local algorithms for document fingerprinting,"mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole",sigmod conference,2003 ,0
13,exploratory mining and pruning optimizations of constrained association rules,"alex pang , jiawei han , raymond t. ng , laks v. s. lakshmanan",sigmod conference,1998 ,mining generalized association rules,"goetz graefe , richard l. cole",acm trans . database syst .,1995 ,0
14,active storage for large-scale data mining and multimedia,"garth a. gibson , erik riedel , christos faloutsos",vldb,1998 ,active storage for large-scale data mining and multimedia,"erik riedel , garth a. gibson , christos faloutsos",very large data bases,2001 ,0
15,delivering presentations from multimedia servers,"nevzat hurkan balkir , gultekin ozsoyoglu",vldb j.,1998 ,delivering presentations from multimedia servers,"y &#252; cel saygin , vassilios s. verykios , chris clifton",the vldb journal -- the international journal on very large data bases,1998 ,0
16,sql open heterogeneous data access,"berthold reinwald , hamid pirahesh",vldb,2001 ,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),"mikael berndtsson , jörgen hansson",acm sigmod record,1998 ,0
17,a database approach to quality of service specification in video databases,"mohand-said hacid , elisa bertino , ahmed k. elmagarmid",acm sigmod record,2003 ,an introduction to spatial database systems,"elisa bertino , ahmed k. elmagarmid , mohand-sa &#239; d hacid",the vldb journal -- the international journal on very large data bases,2003 ,0
18,data modelling in the large,martin bertram,sigmod record,1994 ,data modelling in the large,martin bertram,acm sigmod record,1994 ,0
19,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998 ,sonar : system for optimized numeric associationrules,"takeshi fukuda , yasuhiko morimoto , shimichi morishita , takeshi tokuyama",acm sigmod record,1998 ,0
20,internet traffic warehouse,"claudio petrone , marco mesiti , munir cochinwala , patrizia santa , chung-min chen , sunil samtani , marc pucci",sigmod conference,2000 ,the oracle warehouse,"peter a. boncz , martin l. kersten , stefan manegold",very large data bases,1996 ,0
21,integration approaches for cim,"maurizio panti , alberto giretti , luca spalazzi",vldb,2000 ,performance issues in incremental warehouse maintenance,"hector garcia-molina , wilburt labio , yingwei cui , jennifer widom , jun yang",international conference on management of data,2000 ,0
22,logical and physical versioning in main memory databases,"s. seshadri , rajeev rastogi , abraham silberschatz , philip bohannon , dennis w. leinbaugh , s. sudarshan",vldb,1997 ,integrating reliable memory in databases,"wee teck ng , peter m. chen",the vldb journal -- the international journal on very large data bases,1998 ,0
23,florida international university high performance database research center,"leonard loureiro , yi deng , carlos ordonez 0002 , mario sanchez , cyril u. orji , wei sun , artyom shaposhnikov , naphtali rishe , michael alexopoulos , david barton",acm sigmod record,1995 ,research activities in database management and information retrieval at university of illinois at chicago,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",very large data bases,1999 ,0
24,query optimization in compressed database systems,ralf hartmut g &#252; ting,sigmod conference,2001 ,an introduction to spatial database systems,"abraham silberschatz , sumit ganguly , yossi matias , phillip b. gibbons",the vldb journal -- the international journal on very large data bases,1996 ,0
25,"very large databases : how large , how different ?",david vaskevitch,vldb,1995 ,automation in information extraction and data integration,david vaskevitch,very large data bases,2002 ,0
26,inferring structure in semistructured data,"svetlozer nestorov , serge abiteboul , rajeev motwani",sigmod record,1997 ,multi-dimensional resource scheduling for parallel queries,"minos n. garofalakis , yannis e. ioannidis",acm sigmod record,1996 ,0
27,the hcc-tree : an efficient index structure for object oriented databases,"mengchi liu , tok wang ling , gillian dobbie",very large data bases,1994 ,video anywhere : a system for searching and managing distributed heterogeneous video assets,"b. sreenath , s. seshadri",acm sigmod record,1999 ,0
28,aggregate-query processing in data warehousing environments,"venky harinarayan , dallan quass , ashish gupta",vldb,2000 ,approximate query processing using wavelets,"manuel rodr &#237; guez-mart &#237; nez , nick roussopoulos , john m. mcgann , stephen kelley , vadim katz , zhexuan song , joseph j &#225; j &#225;",very large data bases,2000 ,0
29,similarity search in high dimensions via hashing,"rajeev motwani , aristides gionis , piotr indyk",vldb,1999 ,similarity search in high dimensions via hashing,"dan suciu , ioana manolescu , daniela florescu , alon y. levy",very large data bases,2003 ,0
30,a semantic modeling approach for image retrieval by content,"wesley w. chu , ion t. ieong , ricky k. taira",vldb j.,1994 ,view maintenance in a warehousing environment,"craig j. bunker , latha s. colby , richard l. cole , william j. mckenna , gopal mulagund , david wilhite",sigmod conference,1995 ,0
31,an efficient method for checking object-oriented database schema correctness,"michele missikoff , anna formica , hans dietmar gröger",acm trans . database syst .,1998 ,cost-driven vertical class partitioning for methods in object oriented databases,"chi-wai fung , kamalakar karlapalem , qing li",acm sigmod record,2003 ,0
32,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"ling liu , robert meersman",acm trans . database syst .,1996 ,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"chengwen liu , a. prasad sistla , clement t. yu , king liu",acm transactions on database systems ( tods ),1996 ,0
33,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002 .",alexander a. anisimov,acm sigmod record,2003 ,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,alexander a. anisimov,sigmod record,1995 ,0
34,a framework for expressing and combining preferences,"edward l. wimmers , rakesh agrawal",sigmod conference,2000 ,agora : living with xml and relational,"rakesh agrawal , edward l. wimmers",international conference on management of data,2000 ,0
35,efficient k-nn search on vertically decomposed data,"niels nes , martin l. kersten , nikos mamoulis , arjen p. de vries",sigmod conference,2002 ,the ores temporal database management system,"julio c. navas , michael wynblatt",sigmod conference,2001 ,0
36,cq : a personalized update monitoring toolkit,"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , paul benninghoff , wei han , fenghua yu",sigmod conference,1998 ,cq : a personalized update monitoring toolkit,"yirong xu , ramakrishnan srikant , rakesh agrawal",acm sigmod record,1998 ,0
37,an ultra highly available dbms,"svein-olaf hvasshovd , svein erik bratsberg , øystein torbjørnsen",very large data bases,2000 ,data and knowledge base research at hong kong university of science and technology,"svein-olaf hvasshovd , svein erik bratsberg , &#216; ystein torbj &#248; rnsen",acm sigmod record,2000 ,0
38,automated resolution of semantic heterogeneity in multidatabases,"a. r. hurson , simin h. pakzad , m. w. bright",acm transactions on database systems ( tods ),1994 ,automated resolution of semantic heterogeneity in multidatabases,"m. w. bright , a. r. hurson , s. pakzad",acm sigmod record,1998 ,0
39,managing business processes via workflow technology,frank leymann,very large data bases,2001 ,managing business processes via workflow technology,ron sacks-davis,vldb,2001 ,0
40,wave-indices : indexing evolving databases,"narayanan shivakumar , h &#233; ctor garc &#237; a-molina",sigmod conference,1997 ,efficient maintenance of materialized mediated views,"d. agrawal , a. el abbadi , a. singh , t. yurek",international conference on management of data,1997 ,0
41,guest editor 's introduction,asuman dogac,sigmod record,2002 ,adaptive selectivity estimation using query feedback,alon y. halevy,the vldb journal -- the international journal on very large data bases,1999 ,0
42,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"christos faloutsos , alberto belussi",vldb,1995 ,one-dimensional and multi-dimensional substring selectivity estimation,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",sigmod record,2000 ,0
43,engineering federated information systems : report of efis '99 workshop,"wynne hsu , mong li lee , kheng guan goh",sigmod record,1999 ,image mining in iris : integrated retinal information system,"a. prasad sistla , ouri wolfson , yelena yesha , robert sloan",international conference on management of data,2000 ,0
44,semantic assumptions and query evaluation in temporal databases,"dimitris papadias , yufei tao",international conference on management of data,2002 ,query optimization for selections using bitmaps,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",sigmod conference,1995 ,0
45,a case for dynamic view management,"yannis kotidis , nick roussopoulos",acm trans . database syst .,2001 ,dynamat : a dynamic view management system for data warehouses,"alin dobra , johannes gehrke , rajeev rastogi , minos n. garofalakis",international conference on management of data,1999 ,0
