ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
minicon : a scalable algorithm for answering queries using views,"rachel pottinger , alon y. halevy",vldb j.,2001 ,generating efficient plans for queries using views,brad adelberg,international conference on management of data,2001 ,0
cost-based selection of path expression processing algorithms in object-oriented databases,"zhao-hui tang , georges gardarin , jean-robert gruser",vldb,1995 ,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",very large data bases,2001 ,0
communication-efficient distributed mining of association rules,"assaf schuster , ran wolff",vldb,1995 ,the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",very large data bases,2001 ,0
generic schema matching with cupid,"philip a. bernstein , erhard rahm , jayant madhavan",vldb,2001 ,discovery of multiple-level association rules from large databases,"wei wang , krzysztof koperski , yongjian fu , osmar r. zaane , jenny chiang , jiawei han",very large data bases,2001 ,0
why decision support fails and how to fix it,"kevin strehlo , ralph kimball",sigmod record,1995 ,implementation of magic-sets in a relational database system,"ralph kimball , kevin strehlo",acm trans . database syst .,1994 ,0
processing object-oriented queries with invertible late bound functions,"kazimierz subieta , yahiko kambayashi , jacek leszczylowski",vldb,1995 ,procedures in object-oriented query languages,"leonard brown , le gruenwald",very large data bases,1995 ,0
garbage collection in object-oriented databases using transactional cyclic reference counting,"s. sudarshan , prasan roy , abraham silberschatz , srinivas ashwin , s. seshadri",vldb j.,1998 ,cost-based selection of path expression processing algorithms in object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",very large data bases,2003 ,0
guest editorial,"kyu-young whang , gunter schlageter , amr el abbadi",vldb j.,2001 ,editorial,"b. medjahed , b. benatallah , a. bouguettaya , a. h. h. ngu , a. k. elmagarmid",the vldb journal -- the international journal on very large data bases,2002 ,0
querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",vldb,1996 ,querying multiple features of groups in relational databases,"matthias jarke , thomas list , j &#246; rg k &#246; ller",very large data bases,2000 ,0
idea : interactive data exploration and analysis,"lynn o. wilson , peter g. selfridge , divesh srivastava",sigmod conference,1996 ,implementation and analysis of a parallel collection query language,"peter g. selfridge , divesh srivastava , lynn o. wilson",vldb,1996 ,0
fast algorithms for mining association rules in large databases,"ramakrishnan srikant , rakesh agrawal",very large data bases,1999 ,aggregation algorithms for very large compressed data warehouses,"jianzhong li , doron rotem , jaideep srivastava",sigmod conference,1995 ,0
panel : is generic metadata management feasible ?,"gio wiederhold , erhard rahm , matthias jarke , laura m. haas , philip a. bernstein",vldb,2000 ,panel : is generic metadata management feasible ?,"g &#237; sli r. hjaltason , hanan samet",very large data bases,2000 ,0
psoup : a system for streaming queries over streaming data,"sirish chandrasekaran , michael j. franklin",vldb j.,2003 ,psoup : a system for streaming queries over streaming data,"sirish chandrasekaran , michael j. franklin",acm sigmod record,2003 ,0
opt + + : an object-oriented implementation for extensible database query optimization,"david j. dewitt , navin kabra",vldb j.,1994 ,on the semantics of now in databases,elisa bertino,the vldb journal -- the international journal on very large data bases,1997 ,0
reminiscences on influential papers,"mitch cherniack , kenneth a. ross , gottfried vossen",acm sigmod record,2003 ,reminiscences on influential papers,"michel schneider , jrme darmont",very large data bases,2002 ,0
