ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
eliminating fuzzy duplicates in data warehouses,"r ananthakrishna , s chaudhuri , v ganti",vldb,2002 ,a data model and data structures for moving objects,"m papazoglou , b krmer","vldb ,",1997 ,0
an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995 ,mining association rules between sets of items in large databases,"ra pi , t imielinski , a swami","proc . acm sigmod int ?? l conj : management of data ,", ,0
data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,2001 ,open issues in parallel query optimization,"r avnur , j hellerstien","algorithms , and visualization , acm ,",1996 ,0
processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003 ,dynamic multi-resource load balancing in parallel database systems,"a das , j gehrke , m riedewald",,1995 ,0
xmill : an efficient compressor for xml data,"h liefke , d suciu","proceedings of the 2000 acm sigmod conference on management & hellip ; ,",2000 ,the a-tree : an index structure for high-dimensional spaces using relative approximation,"h liefke , ds xmill",vldb j., ,0
hd-eye : visual clustering of high dimensional data,"a hinneburg , d keim , m wawryniuk",sigmod conference,2002 ,hdeye : visual mining of highdimensional data ( demo ),"a hinneburg , da keim , m wawryniuk",,2002.0 ,0
an algebraic approach to rule analysis in expert database systems,"p lyngbaek , d mcleod",vldb,1994 ,an approach to object sharing in distributed datbase systems,"c procopiuc , m jones , p agarwal , t murali",sigmod conference,1983.0 ,0
infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997 ,the sift information dissemination system,"tw yan , h garcia-molina","acm transactions on database systems ,", ,0
on the comparison of association rule hiding techniques,"s ramaswamy , s mahajan , a silberschatz",vldb,1998 ,scientific databases - state of the art and future directions,"ed pontikakis , vs verykios , y theodoridis","sigmod record ,", ,0
a. levy d. suciu . catching the boat with strudel : experiences with a web-site management system (,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997 ,"vs , and srivastava , d. what can hierarchies do for data warehouses","hv jagadish , l lakshmanan","proc of acm-sigmod international conference on management of & hellip ; ,",1999 ,0
designing relational database systems,m bhlen,,1995 ,e-services - guest editorial,r riordan,"bt technology journal ,",1999.0 ,0
processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi","proc . of the 2002 acm sigmod intl. conf . on management of & hellip ; ,",2003 ,processing complex aggregate queries over data streams,"d alin , g minos , g johannes , r rajeev",,1996.0 ,0
using sets of feature vectors for similarity search on voxelized cad objects,"hp kriegel , s brecheisen , m pfeifle , m schubert","sigmod conference ,",2003 ,dwms : data warehouse management system,"y cui , j widom",vldb,2003.0 ,0
"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","m roth , p schwarz",proceedings of the 23rd vldb,1997 ,the information integration system k2,"mt roth , p schwarz","bioinformatics : managing scientific data , t. critchlow and z", ,0
dynamic resource brokering for multi-user query execution,"d davison , g graefe",,1995 ,an efficient algorithm for mining association rules in large databases,dl davison,,1995.0 ,0
bulk-loading techniques for object databases and an application to relational data,a behm,vldb,1998 ,migrating relational databases to object technology,"h jagadish , l lakshmanan , d srivastava",, ,0
irisnet : an architecture for internet-scale sensing services,"a adams , j mahdavi , m mathis",vldb,2003 ,data analysis and mining in the life sciences,n huyn,, ,0
schema mapping as query discovery,"r miller , l haas , m hernndez","proc vldb ,",2000 ,m. hern andez . schema mapping as query discovery,"r miller , l haas",, ,0
beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997 ,beyond market basket : generaliing association rules to correlations,j fong,proceedings of the acm sigmod international conference on,1997 ,0
concurrency and recovery for index trees,"d lomet , b salzberg",vldb j.,1997 ,concurrency and recovery in generalized search trees,"hv jagadish , d lieuwen , r rastogi",sigmod conference,1994.0 ,0
reminiscences on influential papers,,,1976.0 ,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,", ,0
