,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,deeds towards a distributed and active real-time database system,"h kosch , c hanin , c hofbauer , m lang , c riedler , r",sigmod record,1996 ,efficient search of multi-dimensional b-trees,"e kushilevitz , r ostrovsky , y rabani","vldb ,",2001.0 ,0
1,"poosalav. , ramaswamy s. join synopses for approximate query answering","s acharya , pb gibbons",sigmod conference, ,near neighbor search in large metric spaces,s brin,"proc . conf . very large databases ,", ,0
2,parametric query optimization,tk sellis,vldb j.,1997 ,global query optimization,"a sheth , r meersman","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0 ,0
3,specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,1999 ,state of the art in workflow management system research and products,"h lu , bc ooi , kl tan",& hellip ; : nato advanced study institute ( asi ) on workflow management, ,0
4,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),,,2001.0 ,agent-oriented software engineering : the state of the art,"m wooldridge , p ciancarini","lecture notes in computer science ,", ,0
5,beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997 ,beyond market : generalizing association rules to correlations,"s brin , r motwani , c silverstein","proceedings of the 1993 acm sigmod international conference & hellip ; ,", ,0
6,gea : a toolkit for gene expression analysis,"j phan , r ng",sigmod conference,2002 ,gea : a toolkit for gene expression analysis,"jm phan , rt ng",, ,0
7,netcube : a scalable tool for fast data mining and compression,"d margaritis , c faloutsos , s thrun",vldb,2001 ,the mariposa distributed database management system,j sidell,sigmod record, ,0
8,improving database design through the analysis of relationships,"d dey , v storey , t barron",acm trans . database syst .,1999 ,improving database design through the analysis of relationships,"d dey , vc storey , tm barron","acm transactions on database systems ,",2001 ,0
9,an xml-based wrapper generator for web information extraction,"l liu , w han , d buttler , c pu , w tang",sigmod conference,1999 ,wrapper generation for semi-structured information sources,"r sommer , t gulledge , d bailey",acm sigmod,2002 ,0
10,a query language and processor for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997 ,the wasa2 object-oriented workflow management system,"g vossen , m weske","proc . vldb ,",1999 ,0
11,a query language for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997 ,coalescing in temporal databases,"a levy , d suciu","sigmod record ,",1987.0 ,0
12,infomaster : an information integration system,"mr genesereth , am keller , om duschka",sigmod conference, ,description logics for semantic query optimization in object-oriented database systems,"o diaz , nw paton , pmd gray",acm trans . database syst ., ,0
