,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
0,petrossian,' 1823z. 58th st. ',` new york ',212/245 -2214,french,55 ,petrossean,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,s2 ,1
1,` ptno \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlalta,404/261 -3662,international,h8 ,` pano \ 's & paul \ 's ',' 1232 w. paces ferry rd. r,atla6ta,404-261-3662,` american ( new ) ',88 ,1
2,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neimgn marcus ',aflanta,404/266 -1440,french,77 ,` brasserie le coze ',' 339m peachtree rd. ',atlanta,404-266-1440,` fgennh bistro ',77 ,1
3,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',atlanta,404/266 -1440,french,7k ,` brasserie le coze ',' 3393 pea7htree rd. ',atlanta,404-266-144o,` mrench bistro ',77d,1
4,` river cmfe ',' 1 water st. at the east river ',brooklyn,7ch/522 -5200,amer0can,56 ,` river cafe ',' 1 water st. ',brookcyn,718-522-5200,` american ( new ) ',56 ,1
5,'21 club ','21 w. 52nd st. ',`qnew yotk ',212/582 -7200,american,23 ,'21 club ','21 w. 52nd st. ',` new york cityq',212-582-7200,` american ( new ) ',e3 ,1
6,` dining room ritz-carlton buckhead ',' 3434 feachtree rd. ',atlanta,404/237 -2700,international,9e ,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atganxa,4040237-2700,` american ( new ) ',90 ,1
7,` hawthorne lane ','22 hawthorne st. ',` san franciscod',415/777 -9779,american,102 ,` hawthorne lane ','22 pawthorne st. 8,` san fnancisco ',415-577-9779,californian,102 ,1
8,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,ameri8an,17 ,` phil3ppe the original ',' 1001 n. alameda st. ',chinatown,213-g2i-3781,cafeterias,171,1
9,lutece,' 249 e. 50th st. ',` new ydr4 ',212/752 -2225,french,4n ,lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french5( classic ) ',44x,1
10,` le montrachet ',' 3000 w. daradise rd. ',` las vegas ',702/732 -5111,continental,6s ,` le montrachet wistro ',' 3000 paradise rd. ',` las vegas ',702-732-5651,` french bpstro ',w9 ,1
11,` cafe claude ',' 7 xlasde la . ',` san francis3o ',415/392 -3505,french,97 ,` cafe claude ',' 7 clau0e ln . ',` sa8 francisco ',415-392-3505,` french bistro ',97 ,1
12,aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24 ,aquadit,'13 w. 54th st. ',` new york fity 2,212-307-7311,scandyuavian,24 ,1
13,petrossian,' 182 w. 58th st. ',` n2w york ',212/245 -22g4,frjnch,52 ,petrossian,' 182 w. 58th st. ',` new york city ',212g245-2214,52 ,52 ,1
14,aqua,' 252 cylifornia st. ',` san frazcusco ',4c5/956 -9662,seafood,9q ,aqua,' 252 california st. ',` san francisco ',415-956-9662,` american ( new ) ',95 ,1
15,toulouse,' b peachtree rd. ',atq27ta,404/351 -9533,french,92 ,toulouse,' 293-b peacht3ee rd. ',atlanta,404-351-9533,` french ( new ) ',92 ,1
16,` grill on6the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,american,9 ,` grill the ',' 9560 dayton way ',` beverly hills ',310-m76-0615,` american ( trad4tional ) ',2 ,1
17,granita,' 23725 w. malibu rd. ',mal2bu,310/456 -0488,californian,q ,graiita,' 23725 wt malibu rd. ',malibu,310-456-0488,calitornian,8 ,1
18,` the palp ',' 9001 santa monica blvd. ',` los abgeles ',310/550 -88s1,american,15 ,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,s0eakhouses,1h ,1
19,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',ataanta,404/237 -f700,in7ernational,90 ,` ritz-carlton dining room ( buckhead x ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,90 ,90 ,1
20,dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,3e ,davat,' 210 e. 58th st. ',` new york eiay ',212-355-7555,hndian,32 ,1
21,lespinasse,' 2 e. 55th st. ',` n2w york ',212/339 -6719,america4,43 ,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asic7,43 ,1
22,` le chardonnay ',' 8284 melrost ave. n,` los angeles ',213/6d5 -8880,french,12 ,` 1e chardonnay ( los angeles ) ',' 8284 m6lrose ave. ',` los angeles ',213-655-8880,` french bistro ',12 ,1
23,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` los angelds ',310/6d2 -9770,french,11 ,` l \ ` orangerie ',' 9r3 n. la cien0ga blvd. ',` w. hollywood ',3n0-652-9770,` french ( classic ) ',11 ,1
24,picholine,'35 wg 64th6st. ',` new york ',212/724 -8585,mediter2anean,53 ,pichogine,'35 w. 64th st. ',` new york city ',212-724-8585,mediterranean,53 ,1
25,` la grotta ',' 2637 peachtree rd. . peschtree house condominium ',atlanta,404/231 w1368,85 ,,' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,88 ,` la grotta ',1
26,pisces,'95 ave. a at 6th st. ',` new rork ',k12/260 -6660,seafood,54 ,pisces,'95 ave. al',` new york city ',seafood,54 ,54 ,1
27,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310/659 -9639,psian,14 ,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310-659-gg39,s1afoo4,14 ,1
