ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
bizou,' 598 fourth st. ',` san francisco ',212-260-6800,french,459 ,` cucina di pesce ',' 816 folsom st. ',` new york city ',415/495 -5775,seafood,105 ,0
` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,french,12 ,petrossian,' 243 e. 58th st. ',` new york city ',212/245 -2214,` french bistro ',12 ,0
` ruth \ 's chris ',' 155 w. 51st st. ',` new york city ',212/245 -9600,american,338 ,` le bernardin ',' 252 california st. ',` san francisco ',415-956-9662,seafood,41 ,0
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,` coffee shops ',76 ,moongate,' 8909 sunset blvd. ',` w. hollywood ',702-791-7352,chinese,551 ,0
` le montrachet ',' 3000 w. paradise rd. ',` las vegas ',702-732-5651,` french bistro ',69 ,` le montrachet bistro ',' 3000 paradise rd. ',` las vegas ',702/794 -8200,` french ( new ) ',69 ,0
tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,90 ,` carnegie deli ',' 854 seventh ave. ',atlanta,212-757-2245,delicatessen,29 ,0
` cafe bizou ',' 12224 ventura blvd. ',` sherman oaks ',818/788 -3536,delis,3 ,montrachet,' 239 w. broadway between walker and white sts . ',` studio city ',818-762-1221,` french bistro ',49 ,0
mikado,' 3799 las vegas blvd. s. ',` las vegas ',702/791 -7111,asian,446 ,` philippe the original ',' 1001 n. alameda st. ',` las vegas ',702-891-7349,southwestern,68 ,0
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,italian,28 ,` carmine \ 's ',' 2450 broadway ',` new york city ',212-362-2200,indian,32 ,0
` locanda veneta ',' 3rd st. ',` los angeles ',310-274-1893,italian,13 ,` ernie \ 's ',' 8638 w. third st. ',` santa monica ',212/496 -1588,diners,234 ,0
` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,southern/soul,86 ,` bally \ 's big kitchen ',' 3400 las vegas blvd. s. ',` las vegas ',404-876-1800,buffets,86 ,0
