ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
2223,' 2223 market st. ',` san francisco ',415/431 -0692,californian,453 ,` le chardonnay ( los angeles ) ',' 2298 market st. ',` los angeles ',415-621-8579,` french bistro ',722 ,0
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92 ,mikado,' 293-b peachtree rd. ',` las vegas ',702/791 -7111,` french ( new ) ',446 ,0
` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,italian,19 ,` chin \ 's ',' 2880 las vegas blvd. s ',` las vegas ',702-733-8899,` nuova cucina italian ',19 ,0
valentino,' 3115 pico blvd. ',` santa monica ',310/829 -4313,italian,21 ,` la caridad ',' 430 broadway ',` santa monica ',212-874-2780,italian,622 ,0
` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ne ',atlanta,404/237 -2700,international,90 ,` ritz-carlton cafe ( buckhead ) ','22 hawthorne st. ',atlanta,404-237-2700,californian,89 ,0
` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,seafood,659 ,` morton \ 's of chicago ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702/891 -7349,southwestern,667 ,0
` sterling brunch ',' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429 ,` original pancake house ( at ) ',' 3645 las vegas blvd. s. ',` las vegas ',404-237-4116,eclectic,708 ,0
petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52 ,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',` new york city ',404/875 -2489,russian,52 ,0
` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,seafood,659 ,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,` french bistro ',49 ,0
` uncle nick \ 's ',' 747 ninth ave. ',` new york city ',212/315 -1726,mediterranean,64 ,` duke \ 's ',' 8909 sunset blvd. ',atlanta,212-245-7992,greek,76 ,0
` ruth \ 's chris ',' 155 w. 51st st. ',` new york ',212/245 -9600,american,338 ,` le bernardin ',' 2411 w. sahara ave. ',` new york city ',702/367 -2411,seafood,41 ,0
pisces,'95 ave. a at 6th st. ',` new york ',212/260 -6660,seafood,54 ,` bertolini \ 's ','95 ave. a ',` new york city ',702-894-7111,seafood,427 ,0
` jack \ 's ',' 615 sacramento st. ',` san francisco ',415/986 -9854,` old san francisco ',485 ,` coyote cafe ( las vegas ) ',' 1023 abbot kinney blvd. ',venice,310-399-5811,asian,68 ,0
` the palm ',' 9001 santa monica blvd. ',` w. hollywood ',310/550 -8811,steakhouses,15 ,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` las vegas ',310-550-8811,southwestern,15 ,0
` le montrachet ',' 3000 w. paradise rd. ',` las vegas ',702-732-5651,continental,69 ,` tommy tang \ 's ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',69 ,0
matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310/659 -9639,asian,14 ,matsuhisa,' 240 e. 58th st. ',` new york ',212-484-5113,` french ( classic ) ',14 ,0
` bertolini \ 's ',' 3400 las vegas blvd. s. ',` las vegas ',702/735 -4663,chinese,427 ,moongate,' 492 broome st. near w. broadway ',` new york ',702-791-7352,southwestern,666 ,0
moongate,' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,chinese,68 ,' 9 jones street ',' 522 jones st. ',` las vegas ',702-791-7352,american,666 ,0
` le colonial ',' 155 e. 55th st. ',` new york ',' 212 / 752-0808 ',chinese,286 ,` la folie ',' 2316 polk st. ',` san francisco ',212-371-8844,` french ( new ) ',60 ,0
petrossian,' 182 w. 58th st. ',` new york ',212-245-2214,french,52 ,` mavalli palace ','46 e. 29th st. ',` new york city ',212-477-0777,russian,52 ,0
citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6 ,citrus,' 777 sutter st. ',` los angeles ',213-857-0034,` coffee bar ',100 ,0
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,664 ,montrachet,' 239 w. broadway ',` new york ',702-737-7111,` french bistro ',49 ,0
