,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,thermaltake tt esports challenger ultimate gaming keyboard,controllers,thermaltake,kb-chu003us,86.0 ,hp laserjet 646x black cartridge in retail packaging ce264x,printers,hp,kb-chu003us,167.25 ,0
1,targus red tg-6660tr tripod with 3-way panhead,photography - general,targus,tg-6660tr,31.0 ,new-targus red tg-6660tr tripod with 3-way panhead 66 - meytg6660tr,tripods,,421013bla,20.94 ,0
2,bell o high-speed hdmi cable with ethernet 1-meter,tv accessories,accell,hd7101,59.99 ,v7 cat5e snagless molded network patch cable rj45 male to male blue 1-foot v7n3c5e-01f-blus,hdmi cables,v7,b116c-007b-40,20.66 ,0
3,dell switch by design studio lids fire red 17r,electronics - general,dell,8cmcy,24.0 ,belkin f3u138v03-rtc usb 2.0 retractable cable,usb cables,dell,f3u138v03-rtc,24.0 ,0
4,cables unlimited 15 usb 2.0 a to b cable clear,electronics - general,cables unlimited,usb-5010-05m,8.88 ,cables unlimited usb-5020-03m 3-meter usb 2.0 black a to b cable,electronics - general,roocase,usb-5020-3m,1.89 ,0
5,imation 32gb pocket flash drive,usb drives,imation,27860,44.02 ,usb 32gb pocket flash drive,memory,corsair,kvr400x64c3a1g,50.92 ,0
6,sennheiser pc 36 usb binaural headset with microphone,electronics - general,sennheiser,sh350ip,59.95 ,brother tc20 laminated tape cartridge,headsets microphones,brother,pc 36 usb,29.88 ,0
7,griffin aerosport armband case for ipod black,cases,belkin,8270-naerob,4.5 ,adobe software photoshop premiere element bd version 8,photo video design,adobe,65045677,105.22 ,0
8,logitech m305 wireless mouse black,mice,logitech,910-001752,21.18 ,logitech wireless mouse m310 peacock blue,mice,logitech,910-001923,199.88 ,0
9,tp-link tl-sc3171g wireless day night surveillance camera,garden - general,tp link,tl-sc3171g,172.0 ,san37101 - marker permanent ultra fine point black,stationery & office machinery,sharpie,tl-sc3171g,139.99 ,0
10,lexmark c9202 toner 14000 page-yield,printers,lexmark,c9202kh,288.86 ,canon cli-226 cyan ink tank,computers accessories,lexmark,4547b001,11.99 ,0
11,smead recycled end tab fastener folders straight cut 11pt legal manila 50 box,laminating supplies,,37160,41.18 ,new-smead 37160 - recycled end tab fastener folders straight cut 11 point legal manila 50 box - smd37160,printers,epson,t078320,71.0 ,0
12,endust lcd and plasma screen cleaner for small screens,electronics - general,endust,11575,17.84 ,screendr 60107 01 lcd plasma screen cleaner,cleaning repair,digital innovations,60107,12.26 ,0
13,lyoto machida mouse pad,mice,wincraft,86210010,16.99 ,sony mdr-xd200 stereo headphones,mouse pads,sony,mdrxd200,16.99 ,0
14,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,electronics - general,da-lite,27562,2544.99 ,da-plex base rear projection screen - 43 1 4 x 57 3 4 video format,projection screens,western digital,,89.99 ,0
15,black toner cartridge 15k yld,printers,brother,tn360,45.54 ,edge tech proshot 4gb sdhc class 6 memory card,,edge tech,,10.88 ,0
