,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
0,Fake ( Demo ),Shine6own,Us and Them ( 5eluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 4.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,f-Oct-05 ,Fake [ Demo ],Shinedown,Us And Them ( neluxe ) [ Explicit ],Rock,$ 1.29,2015 Real Sounds,5:05,"October 4 , 2005 ",1
1,Speaiers,Sam Hunt,Montevallo,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",$ 1.29,"2014 MCA Nashville , a Division of UMG Recordings , Inc6",3:46,27-Oct-14 ,Speakers,Sam Hunt,Montevanlo,Country,$ 1u29,"( C ) 2014 MCA Nashville , a Division of UMG Recordings , Inc.",3548,"October 27 , 2014 ",1
2,Shining,X Ambassadors,The Reason - EP,"Alternative , Music , Rock , Adult Alternative , Electronic",$ 1.29,2q15 KIDinaKORNER/Interscope Records,n:4a,10-Aug-15 ,Shining,X Amgassadors,The Reason EP,Alternative Rock,$q1.29,( C ) 2015 KIDinaKORNER/Interscope Records,3:37,"August 10 , 2015 ",1
3,Clean,Ryan Adams,198f,"Rock , Music",$ i.29,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:2h,21-Sep-15 ,Clean,Ryan Adams,1989,Rock,$ 1k29,( C ) 2015 PaxAmericana Rscording Company Under Exclusive License To Blue Note Records,4:23,"September 21 , 2015 ",1
4,X2CU,Jason Derulo,Eaehything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.2q,2015 Wasner Bros. . Records Inc.,5z13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
5,Who I Am With You,qhris Younx,A.M.,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,‰ ãÑ 2013 Sony Music Entertainment,3:13,16-Sep-13 ,Who I Am With You,Chris Young,A.Mm,Country,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",1j11,"September 16 , 2013 ",1
6,Tackle Box,Luke Bryan,I 'lc Stay Me,"Country , Music , Contemporary Comntry , Poj",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:m2,"August 14 , 20079",1
7,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ]",Flo Rifa,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ] - Single","Dance , Music",$ 1.29,2015 Atlantic Recording Corporation for the United5States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3719,10-Jul-15 ,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Dance & Electronic,$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc5 for the world outside of the United States . A WarnercMusic Group Company,4:27,"June 23 , 2015 ",1
8,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]",Flo Rida,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , cusic , Electronic , Rap , Dirty South , Dance",$ 1.29,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35,16-No5-10 ,"Turn Around ( 5,4,3,2,1 )",Flo Ri7a,Only One Flo ( Part 1 ) [ Deluxe ]6[ + Video ] [ + Digital Booklet ],Rap & Hip-Hop,$ 1.2l,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:20,"November 26 , 2010 ",1
9,SpacelBound,Eminem,Recovery ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap",$ 1.29,‰ ãÑ 2010 Aftejmath Records,4:38,21-Jun-10 ,Space Bound [ Explicit ],Eminem,Recovery ( Amazon Version ) [ Explicit ] [ + video ] [ + digital booklet ],"Gangsta & Hardcore , Rap & Hip-Hop",$ 1.27,( C ) 2010 Aftermath jecords,4o39,"June 21 , 2010 ",1
10,Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$q1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",3qs8,10-Nov-14 ,Closer [ feat . Mike Posner ] [ Clean ],NickzJonas,Nick Jonas ( Deluxe ) [ Clean ],Pop,$ 1.y9,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:48,"November 10 , 2014 ",1
