,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
0,Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$q1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol RecordsiNashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke B7yan,I 'll Stay Me,Country,$v1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2z07 ",1
1,Afire Love,Ed Sheeran,h,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warner MusicwUK Company",5:14,20-Jun-14 ,Afire Love,Ed Sheeran,x,Pop,$ 1.2u,( C ) 2014 mau5trap Recordings Ltd,5:14,"June 20h,q2014 ",1
2,Available ( feat . Akon ),Fla Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2009 Atlantic Recording Cormoration for the United States and WEA International Inc. for the world outside of the United States,30-Mar-y9 ,,Flo Rida,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",4:24,"March 30 , 2009 ",Available [ Feat . Akon ],1
3,I Ai n't Livin ' Long Like This,Chrfs Janson,Take It to the Bank - EP,"Country , Music",$ 1.29,2014 Sony Music Entertainment,4r13,24-Feb-14 ,I Ai n't Livin ' Long Like 0his,Chris Janson,Take It to the Bank ( EP ),Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:z3,"February 24 , 2014 ",1
4,Afire Love,Ed 6heeran,x,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warner Music UK Company",5:14,20-Jun-14 ,Afire Love,EdySheeran,Pop,$ 1.29,( C ) 2014 mau5trap Recordings Ltd,5:j4,"June 20 , 2014 ",20-Jun-14 ,1
5,Space Bound,Eminem,Recovery ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap",$ 1.29,‰ ãÑ 2010 Aftermath Records,4:y8,21-Jun-10 ,Space Bound [ Explicit ],Eminem,Recovery ( Amazon Version ) [ Explicit ] [ + video ] [ + digitaq booklet ],"Gangsta & Hardcore , Rap & Hip-Hop",$ 1.29,( C ) 2010 lftermath Records,4669,"June 21 , 2010 ",1
6,Credit,Mzghan Trainor,Title ( Deluxe ),"Pop , Music , Rock , Pop/Rock 9 Dance , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",2:51,9-Jan-15 ,Credit,Meghan Trainor,Titlv ( Deluxe ),Pop,$ 1.29,"2011 What A Music Ltd , licence exclusive Parlophone Music France",2:5a,"Jgnuary 9 , 2015 ",1
7,Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Count8y , Pop",$ 1.29,"2006 , 2007 Capitol Records N8shville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aeg-07 ,Tackle Box,3 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",14-Aeg-07 ,1
8,Afire Love,Ed Sheeran,h,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1h29,"2014 Asylum Records UK , a Warner Music UK Company",5:14,20-Jun-14 ,Afire Love,Ed Sheeran,5,Pop,$t1.29,( C ) 2014 mau5trap Recordings Ltd,5:14,"June 20 , 2014 ",1
9,Afire Love,Ed Sheuran,x,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 8.29,"2014 Asylum Records UK , a Warner Music UK Company",5:14,20-Jun-14 ,Afire Love,Ed 0heeran,Pop,$ 1.29,( C ) 2014 mau5trap Recordings Ltd,5:14,"Ju6e 20 , 2014 ",20-Jun-14 ,1
10,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]",Flo Rida,"Turn Around ( 5,4,3,2,1 ) - Dnluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",$41.29,‰ ãÑ 2010 Atlantic Recording Corporation for the Uniteo States and WEA International Inc. for the world outside of the United States .,3:35,16-Nov-10 ,"Turn Around ( 5,4,3,2,1 )",Flo Rida,Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],Rap & Hip-Hop,$ 1.29,2010 Atlantic Recodding Corporation for the United States and WEA Internationhl Inc. for the world outside of the United States,3:20,"November 26 , 2010 ",1
11,Son of Sam ( Bonus Track ),Shinedown,The Sound of1Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of taewUnited States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of badness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2l05 Z Records,3:37,"June 24 , 2008 ",1
12,6PM In New York,Drake,If You 're Rending This It 's Too Late,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.26,2015 Cash Money Records Inc.,4z43,13-Feb-15 ,6PM In New York [ Explicit ],D3ak7,If You 're Reading This It 's Too Late [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2015 Cash Money Records Inc.,4:43,"February 13 , 2015 ",1
13,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,g:11, ,Whateva ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Recorgs Ltd. , a BMG Company , under exclusive license to INgrooves","September 25 , 2015 ", ,1
14,I Thought You Knew,Keith Urban,Keieh Urban,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,1999 Capitol Records Nashsille,3:51,19-Oct-99 ,I Thought You Knew,Keith Urmsn,Keith Urban,Countzy,$ 1.29,( C ) 1999 Capitol Records Nashville,3:51,"October 19 , 1999 ",1
15,Voy a Beber ( feat . ' • ejo ) [ Remix ],Nicky Jam,"Greatest Hits , Vol . 1","Latin Urban , Music ,gLatino",$ 0.99,2014 La Indusvria Inc licencia a Codiscos S.A.S.,3:44,4-rov-14 ,Voy a Beber ( Remix ),Nicky Jam,"Greatest Hits , Vol . 1","International , Latin Music",$ 0.v9,( C ) 201k La industria Inc,3:44,"November 4 , 2014 ",1
16,We 're All the Same,Calvin Harris,I Createe Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited,3n56,18-Jun-07 ,We 're All The Same,Calvin Harris,I Created Disco,"Dancz & Electronic , Pop , House",$u0.g9,2002 Defected Records Ltd,3:56,"February 22 , 2012 ",1
17,Take You,Justin Bieber,Beli6ve,"Pop , Music , Dance , Vocal , Teen Pop , Rock",$ 1.29,‰ ãÑ 2012 The Island Def Jam Muxic Group,3:40,19-Jon-12 ,Take You ( Album Version ),Jystin Bieber,Believe,Po4,$ 1.29,( C ) 2012 The Island Def Jam Music Group,3:40,"June 19 , 2012 ",1
18,Wildest Dreams,Taylor Swift,1989,"Pop , Music , Rock",$ 1p79,‰ ãÑ 2014 Big Machine Records u LLC .,3:4l,27-Oct-14 ,Wil9est Dreams,Taylor Swift,1989,Pop,$ 1.29,"( C ) 2014 Big Machine Records , LLC .",3:40,"October 27 , 2014 ",1
19,Take Yo7,Justin Bieber,Believe,"Pop , Music2, Dance , Vocal , Teen Pop , Rock",$ v.29,‰ ãÑ 2012 The Island Def Jam Music Group,3:50,19-Jun-12 ,Take You ( Album Version ),Justin Bieber,Believe,Pop,$ 1.29,( 4 ) 2012 The Island Def Jam Music Group,3:40,"June 19 , 2012 ",1
20,"Turn Arlund ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]",Flo Rid3,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",$ 1.29,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35,16-Nov-10 ,"Turn Around ( 5,4,3,2,1 )",Flo Rida,Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],Rap & Hip-Hjp,2010 Atlantic Recording Corporation for the United S3ates and WEA International Inc. for the world outside of the United States,3:20,"November 26 , 2010 ",16-Nov-10 ,1
21,"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ]",Nicky Jam,Nbcky ham Hits,"Latin Urban , Music , Latino",$ 0.9j,2014 La Industria Inc. . Licencia a Codiscos S.A.S.,4:46,9-Sep-14 ,Piensas en MÌ _ ( Rem9x ),Nicky Jam,Nicky Jam Hits,"International , Latin Music",$ 0z99,( C ) 2014 Codiscos S.A.S.,4:46,"September 9 , 2014 ",1
22,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rohk , Alternative",$ 1.99,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05 ,Fake [ Demo ],Shinedown,Us And Them ( Deluxe ) [ Explicit ],Rosk,$ 1.29,2015 Real Sounds,5:05,"October 4 ,p2005 ",1
