ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09 ,Missing You ( Feat . Novel ; Continuous Mix Version ),Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,"( P ) 2008 Blue Chair Records , LLC",4:16,2008 ,0
Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Pray to God ( feat . HAIM ) [ Calvin Harris vs Mike Pickering Hacienda Remix ],Calvin Harris,How Deep Is Your Love ( Remixes ),"Dance , Music",$ 1.29,2015 Sony Music Entertainment UK Limited,3:43,"August 14 , 2007 ",0
Lifted ( feat . Emeli Sand '  & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3:26,6-May-14 ,"We Dem Boyz Remix ( feat . Rick Ross , ScHoolboy Q & Nas ) [ Explicit ]",Naughty Boy,Hotel Cabana ( Deluxe Version ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:19,"May 6 , 2014 ",0
"Ruby , Do n't Take Your Love To Town",Kenny Chesney,49 All Time Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],"Country , Traditional Country , Cowboy",$ 1.29,2011 Because Music,2:55,"August 1 , 2008 ",0
The Breath You Take,George Strait,Strait Country,"Country , Music",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",3:34,14-Jun-11 ,If You 're Thinking You Want A Stranger ( There 's One Coming Home ),Ellie Goulding,Halcyon ( Deluxe ),"Pop , Music , Dance , Rock",$ 1.29,( C ) 1981 MCA Records Inc.,3:25,"September 23 , 1987 ",0
Clarity ( feat . Foxes ) [ Brillz Remix ],Zedd,Spectrum EP,"Dance , Music , Electronic , House",$ 1.29,2013 Interscope Records,5:57,12-Feb-13 ,Chevy Van,Eric Church,Caldwell County EP,Dance & Electronic,$ 1.29,"2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",6:05,14-Jan-11 ,0
Electro Man,Calvin Harris,I Created Disco,"Electronic , Music , Pop , Dance , Rock",$ 0.99,2002 Defected Records Ltd,4:58,11-Jun-07 ,Electro Man,Wiz Khalifa,I Created Disco,"Dance & Electronic , Pop , House",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:56,19-Aug-14 ,0
Take  There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ],Skrillex & Diplo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2012 Knight Skreams,3:30,24-Feb-15 ,El Perd_n ( Gregor Salto Remix ),"Skrillex , Diplo",El Perd ' _ n ( Forgiveness ) - Single,Dance & Electronic,$ 1.29,2015 Sony Music Entertainment US Latin LLC,3:30,"February 24 , 2015 ",0
That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney,Lucky Old Sun,Country,$ 0.99,"2008 Blue Chair Records , LLC",4:16,"April 24 , 2012 ",That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),Wiz Khalifa,Lucky Old Sun [ + video ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,"( P ) 2008 Blue Chair Records , LLC and BMG Music",5:20,"December 4 , 2012 ",0
Wake Up,Wiz Khalifa,Rolling Papers ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,  2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:47,"March 28 , 2011 ",Roll Up [ Clean ],Wiz Khalifa,Rolling Papers [ Clean ],Rap & Hip-Hop,$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,17-Apr-09 ,0
