,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
0,panasonic dect 6.0 silver expandable digital cordless phone system kxtg9332s,"1 x phone line ( s ) black , metallic", ,panasonic kx-tg9342t cordless phone,", 5.1 speakers progressive scan 600w rms black",319.96 ,0
1,panasonic all-in-one flatbed laser fax kxflb801,panasonic all-in-one all-in-one flatbed laser fax, ,panasonic kx-flb801 multifunction printer kx-flb801,sony 7 ' digital photo frame dpfd70 7 ' lcd with 800 x 480 resolution 15:9 aspect ratio 256mb internal memory supports most memory cards variety of display modes auto image rotation feature view mode button fast digital picture decoding handles large data files usb b-type connection remote control black finish,139.0 ,0
2,canon psc-85 soft camera case 2595b002,canon deluxe black digital camera case 2595b002 soft nylon case flip-down cover belt loop attachment for hands-free convenience compatible with canon powershot a series black finish,8.77 ,toshiba 19 ' black lcd hdtv with built in dvd player 19lv505,,710.42 ,0
3,panasonic viera tc-37lz85 37 ' lcd tv,panasonic viera 37 ' 1080p lcd hdtv in black tc37lz85 ips alpha 1080p high-definition lcd panel 10000:1 contrast ratio 178 ° wide viewing angle 6.7 ms response intelligent scene controller built-in sd card slot 3 hdmi inputs and viera link hdavi control surround sound black finish, ,panasonic lumix dmc-fz28 digital camera black,"37 ' atsc , ntsc 16:9 1920 x 1080 hdtv",799.11 ,0
4,panasonic silver 8.1 megapixel digital camera dmcfs3s,panasonic silver 8.1 megapixel digital camera dmcfs3s 8.1-megapixel 33mm lens 3x optical zoom intelligent auto mode 2.5 ' diagonal intelligent lcd mega optical image stabilization intelligent iso control face detection hi-speed burst mode silver finish,106.42 ,sony alpha digital slr black camera body dslra350,16:9 2x digital zoom 2.5 ' active matrix tft color lcd,594.73 ,0
5,sony vaio aw series titanium grey notebook computer vgnaw110jh,sony vaio aw series titanium grey notebook computer vgnaw110jh 2.26 ghz intel core 2 duo processor p8400 18.4 ' ( 1680 x 945 ) xbrite-eco widescreen display 320gb serial ata 5400rpm hard drive built-in 1.3 megapixel motion eye camera and microphone with face-tracking technology 4gb pc2-6400 ( 2gbx2 ) installed memory integrated stereo a2dp bluetooth blu-ray drive ( read only ) titanium grey finish, ,sony vaio aw110j/h notebook vgnaw110j/h,panasonic black hi-definition camcorder starter kit vbgvbb1strkit case has internal compartments and a shoulder strap 1320mah rechargeable lithium-ion battery black finish,69.95 ,0
6,panasonic palmcorder sdr-h40 digital camcorder,panasonic silver 8.1 megapixel digital camera dmcfs3s 8.1-megapixel 33mm lens 3x optical zoom intelligent auto mode 2.5 ' diagonal intelligent lcd mega optical image stabilization intelligent iso control face detection hi-speed burst mode silver finish, ,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk 10.0 megapixels 4x zoom-nikkor lens 3.0 ' high-resolution wide-viewing angle lcd monitor scene auto selector active child mode smile and food mode face-priority af in-camera red-eye fix d-lighting midnight black finish,249.0 ,0
7,apple 120gb black 7th generation ipod classic mb565lla,, ,apple 8gb ipod nano purple ( 4th generation ) mb739ll/a,"46 ' atsc , ntsc 16:9 1920 x 1080 dolby hdtv 1080i , 1080p",146.75 ,0
8,panasonic kx-tg6702b 5.8 ghz fhss gigarange expandable black cordless phone system kxtg6702b,1 x phone line ( s ) black,78.33 ,panasonic kx-tg4324b 5.8 ghz expandable digital cordless phone,"sony 16gb memory stick pro duo mark 2 media card msmt16g 160 mbps transfer speed captures approximately 5 hours of hd recording holds up to approximately 4,500 8 megapixel images 14.9 gb actual capacity", ,0
9,nikon d90 black digital slr camera d90body,nikon d90 black digital slr camera d90body 12.3 megapixel 3 ' tft lcd display d-movie shooting function expeed image processing scene recognition system in-camera retouch menu low-noise performance active d-lighting viewfinder compatible with hdmi output body only lens sold separately black finish, ,samsung black 8.1 megapixel digital camera ecnv30zbba,samsung nv30 black 8.1 megapixel digital camera ecnv30zbba 3x optical zoom lens 2.5 ' lcd display high resolution ccd sensor 20mb internal memory dual image stabilization face detection auto focus sd memory card slot black finish,849.95 ,0
