ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"efficient similarity search and classification via rank aggregation ravi kumar , d. sivakumar , ronald fagin 2003","dennis shasha , philippe bonnet",vldb,1996.0 ,"relational data sharing in peer-based data management systems beng chin ooi , yanfeng shu , kian-lee tan acm sigmod record","swarup acharya , phillip b. gibbons , viswanath poosala",international conference on management of data, ,0
density biased sampling : an improved method for data mining and clustering sigmod conference,"lars arge , jeffrey scott vitter , torsten suel , sridhar ramaswamy , octavian procopiuc",vldb,2003.0 ,"estimating the selectivity of spatial queries using the ` correlation ' fractal dimension alberto belussi , christos faloutsos very large data bases","shih-fu chang , luis gravano , gail e. kaiser , kenneth a. ross , salvatore j. stolfo",the vldb journal -- the international journal on very large data bases, ,0
commercial use of database technology vldb,"rakesh agrawal , jerry kiernan",vldb,2002.0 ,designing wrapper components for e-services in integrating heterogeneous systems,"ashraf aboulnaga , alaa r. alameldeen , jeffrey f. naughton",acm transactions on database systems ( tods ), ,0
sap r/3 : a database application system ( tutorial ),ling liu,sigmod conference,1995.0 ,continuously adaptive continuous queries over streams,sunita sarawagi,acm transactions on database systems ( tods ),2001.0 ,0
"dynamic service matchmaking among agents in open information environments matthias klusch , katia p. sycara , seth widoff , jianguo lu","rachel pottinger , alon y. levy",vldb, ,guest editor 's introduction acm sigmod record 2003,"kaladhar voruganti , m. tamer &#214; zsu , ronald c. unrau",international conference on management of data,1994.0 ,0
editor 's notes sigmod record 1995,"inderpal singh mumick , hamid pirahesh",vldb,2003.0 ,datamine-interactive rule discovery system international conference on management of data,felicity george,international conference on management of data, ,0
special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction sigmod record,"philip s. yu , kun-lung wu",sigmod conference,1997.0 ,"acm multimedia '94 conference workshop on multimedia database management systems bruce berra , kingsley nwosu , bhavani thuraisingham 1995","christian s. jensen , david b. lomet",international conference on management of data, ,0
"semantic web workshop : models , architectures and management sigmod record 2001","sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers",vldb,2003.0 ,a database model for object dynamics the vldb journal -- the international journal on very large data bases,"tolga bozkaya , meral ozsoyoglu",international conference on management of data, ,0
"data-driven , one-to-one web site generation for data-intensive applications 1999","dimitris papadias , jimeng sun , yufei tao",vldb,2003.0 ,"pattern matching and pattern discovery in scientific , program , and document databases international conference on management of data 1995","alex borgida , vinay k. chaudhri , martin staudt",the vldb journal -- the international journal on very large data bases,1998.0 ,0
"integrating temporal , real-time , and active databases john a. stankovic , krithi ramamritham , ming xiong , rajendran m. sivasankaran , donald f. towsley sigmod record 1996","ran wolff , assaf schuster",sigmod conference,1995.0 ,a query language for a web-site management system 1997,"surajit chaudhuri , luis gravano",international conference on management of data, ,0
query processing in tertiary memory databases sunita sarawagi vldb,luca cardelli,sigmod conference,2002.0 ,scalable sweeping-based spatial join very large data bases,"rakesh agrawal , peter j. haas , jerry kiernan",international conference on management of data, ,0
"the design and implementation of a sequence database system raghu ramakrishnan , miron livny , praveen seshadri 1996","christian s. jensen , david b. lomet",vldb, ,java and relational databases ( tutorial ) : sqlj international conference on management of data,"rakesh agrawal , johannes gehrke , dimitrios gunopulos , prabhakar raghavan",very large data bases,1996.0 ,0
"efficient retrieval of similar shapes davood rafiei , alberto o. mendelzon vldb j.","vasilis vassalos , yannis papakonstantinou",vldb, ,editorial,"thomas seidl , hans-peter kriegel",the vldb journal -- the international journal on very large data bases,2001.0 ,0
"heuristic and randomized optimization for the join ordering problem guido moerkotte , michael steinbrunn , alfons kemper 1997","jeanine weißenfels , dirk wodtke , angelika kotz dittrich , gerhard weikum , peter muth",vldb j.,1997.0 ,temporal aggregation in active database rules,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data, ,0
"efficiently publishing relational data as xml documents bruce g. lindsay , hamid pirahesh , berthold reinwald , michael j. carey , rimon barr , jayavel shanmugasundaram , eugene j. shekita 2001","wenfei fan , peter buneman , scott weinstein , jérôme siméon",sigmod conference,2003.0 ,query optimization by predicate move-around,leonid libkin,international conference on management of data, ,0
intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases sigmod record 1997,"heum-geun kang , chin-wan chung",sigmod record, ,view maintenance in a warehousing environment international conference on management of data,"nikos mamoulis , dimitris papadias",acm transactions on database systems ( tods ),2000.0 ,0
applying database technology in the adsm mass storage system vldb 1995,"christian böhm , bernhard braunmüller , hans-peter kriegel , daniel a. keim , stefan berchtold",sigmod conference,1994.0 ,"making b + - trees cache conscious in main memory jun rao , kenneth a. ross international conference on management of data","albrecht schmidt , florian waas , martin kersten , daniela florescu , michael j. carey , ioana manolescu , ralph busse",very large data bases, ,0
mpeg-7 and multimedia database systems harald kosch 2002,"anil kumar , vassilis j. tsotras",sigmod conference,2000.0 ,selectivity estimation in spatial databases,"munindar p. singh , christine tomlinson , darrell woelk",international conference on management of data,1999.0 ,0
chair 's message 1998,"christian böhm , hans-peter kriegel , stefan berchtold",vldb,1995.0 ,wavecluster : a multi-resolution clustering approach for very large spatial databases,"qiong luo , jeffrey f. naughton",international conference on management of data, ,0
sideway value algebra for object-relational databases 2002,azer bestavros,vldb,1995.0 ,"processing complex aggregate queries over data streams alin dobra , minos garofalakis , johannes gehrke , rajeev rastogi international conference on management of data","qiong luo , jeffrey f. naughton",very large data bases, ,0
plan selection based on query clustering vldb 2002,"rajeev motwani , sergey brin , craig silverstein",vldb,2000.0 ,data grid management systems 2003,len seligman,international conference on management of data, ,0
quickstore : a high performance mapped object store 1995,"rakesh agrawal , jerry kiernan",vldb,2002.0 ,meaningful change detection in structured data 1997,"alex borgida , vinay k. chaudhri , martin staudt",international conference on management of data,1997.0 ,0
a data warehousing architecture for enabling service provisioning process 2001,"eileen oi-yan mak , quan z. sheng , boualem benatallah , marlon dumas",sigmod conference,2002.0 ,semistructured and structured data in the web : going back and forth,dirk d &#252; llmann,acm transactions on database systems ( tods ), ,0
analysis of existing databases at the logical level : the dba companion project,"roger s. barga , david b. lomet , per-åke larson , surajit chaudhuri , vivek r. narasayya",vldb, ,"building knowledge base management systems john mylopoulos , vinay chaudhri , dimitris plexousakis , adel shrufi , thodoros topologlou the vldb journal -- the international journal on very large data bases 1996",daniel a. keim,acm transactions on database systems ( tods ),1996.0 ,0
functional-join processing,"roger s. barga , david b. lomet , per-åke larson , surajit chaudhuri , vivek r. narasayya",vldb,2003.0 ,"constructing the next 100 database management systems : like the handyman or like the engineer ? andreas geppert , klaus r. dittrich acm sigmod record","foto n. afrati , chen li , jeffrey d. ullman",very large data bases, ,0
special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction sigmod record,"holger märtens , erhard rahm , thomas stöhr",sigmod conference,2003.0 ,incremental updates of inverted lists for text document retrieval,"ramakrishnan srikant , rakesh agrawal",international conference on management of data,1996.0 ,0
"the garlic project manish arya , mary tork roth , laura m. haas , joachim thomas ii , michael j. carey , edward l. wimmers , peter m. schwarz , william f. cody , ronald fagin 1996","johann christoph freytag , felix naumann , ulf leser",sigmod conference,1995.0 ,"design , implementation , and performance of the lham log-structured history data access method very large data bases 1998","per - &#197; ke larson , jonathan goldstein , jingren zhou",acm sigmod record, ,0
