ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
apple aperture 1.5,apple,299.0 ,apple aperture v 1.5 photo editing,,299.99 ,1
city of heroes good vs. evil edition,nc soft,29.99 ,nc interactive inc city of heroes : good vs. evil edition,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
star wars battlefront ( mac ),aspyr media,39.99 ,aspyr media 10900 star wars battlefront mac,aspyr media,39.99 ,1
calendar creator platinum sb cs by riverdeep,encore software,29.99 ,encore software 11031 calendar creator platinum sb csby riverdeep,,25.97 ,1
adventure workshop 1st-3rd grade 8th edition,encore,19.99 ,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore,,19.95 ,1
home bartending 101 shooters,arc-media-inc .,19.95 ,home bartending 101 shooters,arc-media-inc .,9.75 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
star wars battlefront ( mac ),aspyr media,39.99 ,aspyr media 10900 star wars battlefront mac,aspyr media,39.99 ,1
the print shop 22 deluxe sb cs by the print shop,encore software,49.95 ,encore software 10741 the print shop 22 deluxe sb cs by the print shop,,42.97 ,1
apple remote desktop 3 unlim managed systems,apple,499.0 ,apple remote desktop 3 unlimited client edition mac apple & mac software,,498.95 ,1
mavis beacon teaches typing 16,broderbund,19.99 ,mavis beacon 16,,17.9 ,1
emedia bass method win/mac,emedia,59.99 ,emedia eg03014 bass method os x,emedia,53.99 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
readiris pro 11 corporate edition,iris inc.,399.99 ,readiris pro 11 corporate edition for pc,,349.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
apple remote desktop 3 unlim managed systems,apple,499.0 ,apple remote desktop 3 unlimited client edition mac apple & mac software,,498.95 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
emedia bass method win/mac,emedia,59.99 ,emedia eg03014 bass method os x,emedia,53.99 ,1
adobe illustrator cs3 [ mac ],adobe,599.0 ,adobe illustrator cs3 ( mac ),,599.0 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
calendar creator platinum sb cs by riverdeep,encore software,29.99 ,encore software 11031 calendar creator platinum sb csby riverdeep,,25.97 ,1
business card composer ( mac ),individual software,39.99 ,belight business card composer,,39.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
the print shop 22 deluxe sb cs by the print shop,encore software,49.95 ,encore software 10741 the print shop 22 deluxe sb cs by the print shop,,42.97 ,1
mavis beacon teaches typing deluxe v17,encore software,39.99 ,mavis beacon teaches typing v17 deluxe pc/mac,,29.9 ,1
adobe illustrator cs3 [ mac ],adobe,599.0 ,adobe illustrator cs3 ( mac ),,969.0 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
apple aperture 1.5,apple,299.0 ,apple aperture v 1.5 photo editing,,299.99 ,1
adventure workshop 1st-3rd grade 8th edition,encore,19.99 ,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore,,19.95 ,1
home bartending 101 shooters,arc-media-inc .,19.95 ,home bartending 101 shooters,arc-media-inc .,9.75 ,1
apple remote desktop 3 unlim managed systems,apple,499.0 ,apple remote desktop 3 unlimited client edition mac apple & mac software,,498.95 ,1
microsoft mappoint 2006 with gps,microsoft,349.0 ,microsoft mappoint 2006 with gps locator ( pc ),,349.99 ,1
microsoft mappoint 2006 with gps,microsoft,349.0 ,microsoft mappoint 2006 with gps locator ( pc ),,349.99 ,1
print shop 22 deluxe,encore,49.99 ,encore inc print shop 22 deluxe,,42.69 ,1
star wars battlefront ( mac ),aspyr media,39.99 ,aspyr media 10900 star wars battlefront mac,aspyr media,39.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
readiris pro 11 corporate edition,iris inc.,399.99 ,readiris pro 11 corporate edition for pc,,349.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
mavis beacon teaches typing 17 standard,encore software,19.99 ,broderbund mavis beacon teaches typing standard17,,22.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
learn to play chess with fritz and chesster ( mac ),topics entertainment,29.99 ,viva media llc learn to play chess with fritz & chesster,,12.9 ,1
apple shake 4.1 visual effects ( mac ),apple computer,499.0 ,apple shake 4.1 mac os x,,498.95 ,1
sony acid music studio,sony-pictures-digital-entertainment,69.99 ,acid music studio 6,sony-pictures-digital-entertainment,59.95 ,1
home bartending 101 shooters,arc-media-inc .,19.95 ,home bartending 101 shooters,arc-media-inc .,9.75 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
readiris pro 11 corporate edition,iris inc.,399.99 ,readiris pro 11 corporate edition for pc,,349.99 ,1
soho labels & envelopes chronos l.c.,chronos,29.99 ,chronos soho labels and envelopes,,29.99 ,1
listen for ipod magnetic time,sos-aggregation-company,39.99 ,listen for ipod magnetic time ( win 2000 xp ),sos-aggregation-company,39.99 ,1
