ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
including group-by in query optimization,"bruce g. lindsay , hamid pirahesh , berthold reinwald , michael j. carey , rimon barr , jayavel shanmugasundaram , eugene j. shekita",vldb j.,1996 ,relational data sharing in peer-based data management systems,"jayavel shanmugasundaram , eugene shekita , jerry kiernan , rajasekar krishnamurthy , efstratios viglas , jeffrey naughton , igor tatarinov",international conference on management of data,2001 ,0
carnot and infosleuth : database technology and the world wide web,"surajit chaudhuri , kyuseok shim",vldb,1997 ,java and relational databases ( tutorial ) : sqlj,christian b &#246; hm,international conference on management of data,2001 ,0
database management systems and the internet,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",vldb,1997 ,algorithms for mining distance-based outliers in large datasets,"bin li , dennis shasha",international conference on management of data,2003 ,0
searching and mining fine-grained semi-structured data,paul brown,sigmod conference,2001 ,cure : an efficient clustering algorithm for large databases,"thomas st &#246; hr , holger m &#228; rtens , erhard rahm",international conference on management of data,1994 ,0
a performance evaluation of oid mapping techniques,"rachel pottinger , alon y. halevy",sigmod record,2000 ,the cubetree storage organization,"jason mchugh , serge abiteboul , roy goldman , dallas quass , jennifer widom",international conference on management of data,1997 ,0
association rules over interval data,"manuel rodriguez-martinez , nick roussopoulos",acm trans . database syst .,2002 ,optimizing queries with universal quantification in object-oriented and object-relational databases,"roy goldman , jennifer widom",very large data bases,1997 ,0
the p operator : discovering and ranking associations on the semantic web,"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",sigmod conference,1996 ,medical information systems : characterization and challenges,"guozhu dong , jiawei han , joyce m. w. lam , jian pei , ke wang",very large data bases,2003 ,0
processing complex aggregate queries over data streams,"jack a. orenstein , d. n. kamber",sigmod conference,2003 ,the trigs active object-oriented database system - an overview,narendra mohan,very large data bases,1996 ,0
report from the nsf workshop on workflow and process automation in information systems,"mike p. papazoglou , bernd j. krämer",acm trans . database syst .,2002 ,a foundation for multi-dimensional databases,fr &#233; d &#233; ric cuppens,very large data bases,1997 ,0
the hcc-tree : an efficient index structure for object oriented databases,"michael j. wynblatt , julio c. navas",vldb j.,2000 ,an efficient algorithm for mining association rules in large databases,"steven berson , shahram ghandeharizadeh , richard muntz , xiangyu ju",very large data bases,1996 ,0
editor 's notes,ling liu,sigmod record,1995 ,editorial,richard snodgrass,acm transactions on database systems ( tods ),2001 ,0
a new sql-like operator for mining association rules,"sihem amer-yahia , mary f. fernandez , yu xu , divesh srivastava",vldb,1996 ,optimizing queries on files,"m. p. papazoglou , b. j. kr &#228; mer",the vldb journal -- the international journal on very large data bases,2000 ,0
optimizing multi-feature queries for image databases,"jeffrey f. naughton , stratis viglas",sigmod record,2001 ,dataguides : enabling query formulation and optimization in semistructured databases,"steven berson , shahram ghandeharizadeh , richard muntz , xiangyu ju",very large data bases,1997 ,0
association rules over interval data,"flip korn , s. muthukrishnan , divesh srivastava",vldb,1996 ,fault-tolerant architectures for continuous media servers,"yingwei cui , jennifer widom , janet l. wiener",international conference on management of data,2002 ,0
transaction timestamping in ( temporal ) databases,"jan van den bussche , surajit chaudhuri , moshe y. vardi , kenneth a. ross , gösta grahne , h. v. jagadish",vldb,2000 ,xmill : an efficient compressor for xml data,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",very large data bases,1998 ,0
a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,"surajit chaudhuri , kyuseok shim",vldb,1997 ,the sr-tree : an index structure for high-dimensional nearest neighbor queries,dale a. stirling,international conference on management of data,2000 ,0
stream processing of xpath queries with predicates,"alberto o. mendelzon , paolo atzeni",sigmod conference,1994 ,sap r/3 ( tutorial ) : a database application system,"daniela florescu , alon y. levy , dan suciu",acm sigmod record,2001 ,0
an efficient method for checking object-oriented database schema correctness,"michael j. franklin , sirish chandrasekaran",vldb j.,2002 ,research in database engineering at the university of namur,"s. bergamaschi , s. castano , m. vincini",acm sigmod record,1997 ,0
query unnesting in object-oriented databases,"gerti kappel , werner retschitzegger",sigmod record,1998 ,improved histograms for selectivity estimation of range predicates,"roy goldman , jennifer widom",very large data bases,2001 ,0
efficiently publishing relational data as xml documents,"edward l. wimmers , donald kossmann , jun yang , laura m. haas",sigmod record,1995 ,index configuration in object-oriented databases,"peter apers , stefano ceri , richard snodgrass",the vldb journal -- the international journal on very large data bases,2000 ,0
time-parameterized queries in spatio-temporal databases,"shiby thomas , rakesh agrawal , sunita sarawagi",vldb j.,2001 ,a foundation for multi-dimensional databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",acm sigmod record,1997 ,0
using schematically heterogeneous structures,"christos faloutsos , alberto belussi",sigmod record,2000 ,generating efficient plans for queries using views,"elena baralis , jennifer widom",international conference on management of data,1996 ,0
data grid management systems,"ramakrishnan srikant , rakesh agrawal",sigmod conference,2000 ,the onion technique : indexing for linear optimization queries,"leonidas fegaras , david maier",international conference on management of data,1999 ,0
the coral deductive system,"kimberly m. james , isabel f. cruz",vldb,1998 ,data integration in the large : the challenge of reuse,"jason mchugh , jennifer widom",acm transactions on database systems ( tods ),2000 ,0
xperanto : middleware for publishing object-relational data as xml documents,dan suciu,acm trans . database syst .,2003 ,a database system for real-time event aggregation in telecommunication,"avi silberschatz , stan zdonik",very large data bases,1997 ,0
integrating reliable memory in databases,"sang kyun cha , keunjoo kwon , kihong kim",vldb,2002 ,an efficient algorithm for mining association rules in large databases,"jayen vaghani , kotagiri ramamohanarao , david b. kemp , zoltan somogyi , peter j. stuckey , tim s. leask , james harland",international conference on management of data,1994 ,0
searching and mining fine-grained semi-structured data,"jan chomicki , david toman , michael h. böhlen",vldb j.,2001 ,algorithms for materialized view design in data warehousing environment,"svetlozer nestorov , serge abiteboul , rajeev motwani",very large data bases,1997 ,0
cost-driven vertical class partitioning for methods in object oriented databases,frédéric cuppens,sigmod conference,2000 ,the multidimensional database system rasdaman,"jerry baulier , philip bohannon , s. gogate , s. joshi , c. gupta , a. khivesera , henry f. korth , peter mcilroy , j. miller , p. p. s. narayan , m. nemeth , rajeev rastogi , abraham silberschatz , s. sudarshan",international conference on management of data,1998 ,0
stholes : a multidimensional workload-aware histogram,"leo mark , lars bækgaard",sigmod record,2003 ,processing complex aggregate queries over data streams,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,1994 ,0
applying update streams in a soft real-time database system,"ravishankar subramanya , christos faloutsos , yoshiharu ishikawa",vldb,2002 ,agflow : agent-based cross-enterprise workflow management system,"roy goldman , jennifer widom",very large data bases,1997 ,0
managing intra-operator parallelism in parallel database systems,"ramakrishnan srikant , rakesh agrawal",vldb,1997 ,sap r/3 ( tutorial ) : a database application system,"s. adali , k. s. candan , y. papakonstantinou , v. s. subrahmanian",international conference on management of data,2000 ,0
the p operator : discovering and ranking associations on the semantic web,"michael l. brodie , surajit chaudhuri",acm trans . database syst .,2002 ,optimizing queries with universal quantification in object-oriented and object-relational databases,"domenico beneventano , sonia bergamaschi , claudio sartori",international conference on management of data,1997 ,0
storing and querying ordered xml using a relational database system,marc h. scholl,sigmod conference,2001 ,xpath queries on streaming data,"aidong zhang , marian nodine , bharat bhargava , omran bukhres",acm sigmod record,1999 ,0
transactional information systems - book review,"henry f. korth , abraham silberschatz , sharad mehrotra",vldb,1996 ,an extensible compressor for xml data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",international conference on management of data,2000 ,0
managing intervals efficiently in object-relational databases,"leana golubchik , kelvin kwok-wai law , john c. s. lui",vldb,1997 ,semantic integration of semistructured and structured data sources,sunita sarawagi,international conference on management of data,2003 ,0
searching in metric spaces with user-defined and approximate distances,marc h. scholl,sigmod conference,2002 ,database systems-breaking out of the box,"roy goldman , jennifer widom",very large data bases,1997 ,0
research in database engineering at the university of namur,"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",vldb j.,1996 ,mpeg-7 and multimedia database systems,"daniel j. abadi , don carney , ugur &#199; etintemel , mitch cherniack , christian convey , sangdon lee , michael stonebraker , nesime tatbul , stan zdonik",acm sigmod record,2000 ,0
parallel algorithms for high-dimensional similarity joins for data mining applications,"goetz graefe , richard l. cole",vldb,1996 ,unisql/x unified relational and object-oriented database system,"r. j. miller , y. yang",international conference on management of data,2002 ,0
integrating mining with relational database systems : alternatives and implications,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",vldb,1996 ,"database research at the indian institute of technology , bombay","chan man kuok , ada fu , man hon wong",international conference on management of data,2000 ,0
odmg-93 : a standard for object-oriented dbmss,"shivakumar venkataraman , tian zhang",vldb,1997 ,the need for distributed asynchronous transactions,"sushil jajodia , daniel barbar &#225; , alex brodsky , larry kerschberg , ami motro , edgar sibley , x. sean wang",international conference on management of data,2000 ,0
structures for manipulating proposed updates in object-oriented databases,"binto george , jayant r. haritsa",sigmod conference,1994 ,selectivity estimation in spatial databases,peter z. revesz,international conference on management of data,2002 ,0
the ecrc multi database system,j. d. tygar,sigmod conference,2001 ,query processing in tertiary memory databases,r. camps,very large data bases,1996 ,0
the hcc-tree : an efficient index structure for object oriented databases,"julia e. hodges , shekar ramanathan",sigmod conference,2000 ,on computing correlated aggregates over continual data streams,narendra mohan,very large data bases,1996 ,0
constraints for semi-structured data and xml,richard t. snodgrass,sigmod conference,2003 ,dblearn : a system prototype for knowledge discovery in relational databases,"elena baralis , jennifer widom",international conference on management of data,1999 ,0
maintenance of data cubes and summary tables in a warehouse,"shamkant b. navathe , kiran j. achyutuni , edward omiecinski",acm trans . database syst .,2002 ,a foundation for multi-dimensional databases,"arunprasad p. marathe , kenneth salem",very large data bases,1997 ,0
the p operator : discovering and ranking associations on the semantic web,"michele missikoff , anna formica , hans dietmar gröger",vldb,2003 ,the aqua approximate query answering system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",international conference on management of data,1999 ,0
closest pair queries in spatial databases,hannu toivonen,vldb,1997 ,instance-based attribute identification in database integration,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim",the vldb journal -- the international journal on very large data bases,2003 ,0
the ores temporal database management system,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",sigmod conference,2001 ,probabilistic optimization of top n queries,"jeffrey scott vitter , min wang",very large data bases,1996 ,0
a cost model for clustered object-oriented databases,"jaewoo kang , jeffrey f. naughton",acm trans . database syst .,2003 ,online dynamic reordering,"massimo mecella , barbara pernici",acm sigmod record,1997 ,0
querying a multilevel database : a logical analysis,"k. ong , christine tomlinson , darrell woelk , c. unnikrishnan , william bohrer , nigel jacobs",sigmod conference,2001 ,semantic integration of semistructured and structured data sources,"steven berson , leana golubchik , richard r. muntz",acm sigmod record,1999 ,0
automatic discovery of language models for text databases,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng",sigmod record,2001 ,using schema matching to simplify heterogeneous data translation,"christoph bussler , dieter fensel , alexander maedche",international conference on management of data,1996 ,0
dynamic multi-resource load balancing in parallel database systems,"raghu ramakrishnan , s. sudarshan , divesh srivastava , praveen seshadri",vldb,2000 ,cost-driven vertical class partitioning for methods in object oriented databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",the vldb journal -- the international journal on very large data bases,1997 ,0
the hcc-tree : an efficient index structure for object oriented databases,"zhao-hui tang , jean-robert gruser , georges gardarin",sigmod conference,2000 ,secure transaction processing in firm real-time database systems,"r. j. miller , y. yang",acm sigmod record,1994 ,0
query processing over object views of relational data,"felipe cariño , william o'connell",vldb j.,2002 ,association rules over interval data,"rakesh agrawal , king-ip lin , harpreet s. sawhney , kyuseok shim",acm sigmod record,1997 ,0
storage and retrieval of xml data using relational databases,"kenneth a. ross , gail e. kaiser , luis gravano , salvatore j. stolfo , shih-fu chang",vldb j.,2002 ,data partitioning and load balancing in parallel disk systems,"carole goble , brian read",international conference on management of data,1997 ,0
parallel evaluation of multi-join queries,"fabrizio ferrandina , thorsten meyer , roberto zicari",vldb,1996 ,capturing and querying multiple aspects of semistructured data,"andr &#233; eickler , carsten andreas gerlhof , donald kossmann",acm sigmod record,2001 ,0
an almost-serial protocol for transaction execution in main-memory database systems,david campbell,vldb,1997 ,the network is the database : data management for highly distributed systems,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,2001 ,0
integrating heterogenous overlapping databases through object-oriented transformations,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram",vldb,1994 ,a language based multidatabase system,"thomas seidl , hans-peter kriegel",the vldb journal -- the international journal on very large data bases,2000 ,0
semantic assumptions and query evaluation in temporal databases,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng",vldb,2002 ,lopix : a system for xml data integration and manipulation,"m. p. papazoglou , b. j. kr &#228; mer",acm sigmod record,1997 ,0
opt + + : an object-oriented implementation for extensible database query optimization,"m. ranganathan , christos faloutsos , yannis manolopoulos",vldb,1996 ,the wasa2 object-oriented workflow management system,hannu toivonen,the vldb journal -- the international journal on very large data bases,2001 ,0
converting relational to object-oriented databases,"vagelis hristidis , yannis papakonstantinou",vldb,1995 ,report on first international workshop on real-time database systems,asuman dogac,acm sigmod record,2002 ,0
on the costs of multilingualism in database systems,"goetz graefe , richard l. cole",vldb,2002 ,disima : a distributed and interoperable image database system,"sang h. son , rasikan david , bhavani thuraisingham",the vldb journal -- the international journal on very large data bases,1997 ,0
database systems management and oracle8,"sushil jajodia , xiaoyang sean wang , elisa bertino , claudio bettini",sigmod conference,2002 ,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"g. kappel , w. retschitzegger",international conference on management of data,1998 ,0
automatic discovery of language models for text databases,george colliat,vldb,1997 ,research and practice in federated information systems,"beng chin ooi , yanfeng shu , kian-lee tan",very large data bases,2003 ,0
an annotated bibliography on real-time database systems,"peter j. haas , rakesh agrawal , jerry kiernan",sigmod conference,1999 ,the database and information system research group at the university of ulm,"yannis e. ioannidis , raymond t. ng , kyuseok shim , timos k. sellis",international conference on management of data,2002 ,0
extraction of object-oriented structures from existing relational databases,michael j. franklin,vldb j.,1997 ,florida international university high performance database research center,"michael h. b &#246; hlen , richard thomas snodgrass , michael d. soo",acm transactions on database systems ( tods ),2001 ,0
efficient query processing for multi-dimensionally clustered tables in db2,"wenfei fan , peter buneman , scott weinstein , jérôme siméon",sigmod record,2003 ,query by diagram : a graphical environment for querying databases,"shridhar shukla , anand deshpande",international conference on management of data,1995 ,0
the active multisync controller of the cubetree storage organization,"jennifer widom , chris olston , jing jiang",vldb j.,2002 ,database research at nthu and itri,"minos n. garofalakis , phillip b. gibbon",acm transactions on database systems ( tods ),1999 ,0
efficient filtering of xml documents with xpath expressions,michael j. carey,vldb,2000 ,sql query optimization : reordering for a general class of queries,"tiziana catarci , giuseppe santucci",international conference on management of data,1999 ,0
an introduction to deductive database languages and systems,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",vldb,1996 ,implementation of two semantic query optimization techniques in db2 universal database,"bin cui , beng chin ooi , jianwen su , kian-lee tan",international conference on management of data,2000 ,0
reminiscences on influential papers,"alin dobra , johannes gehrke , rajeev rastogi , minos n. garofalakis",sigmod conference,2002 ,database indexing for large dna and protein sequence collections,oliver g &#252; nther,the vldb journal -- the international journal on very large data bases,1997 ,0
an adaptive query execution system for data integration,"kyu-young whang , gio wiederhold , sang-wook kim",vldb j.,1997 ,semantic integration in heterogeneous databases using neural networks,"sirish chandrasekaran , michael j. franklin",acm sigmod record,2003 ,0
temporal conditions and integrity constraints in active database systems,"gerti kappel , werner retschitzegger",sigmod record,1997 ,the hcc-tree : an efficient index structure for object oriented databases,azer bestavros,very large data bases,2001 ,0
on the issue of valid time ( s ) in temporal databases,"werner dreyer , angelika kotz dittrich , duri schmidt",vldb,1998 ,secure transaction processing in firm real-time database systems,asuman dogac,international conference on management of data,2001 ,0
database management systems and the internet,"matthew huras , leslie cranston , bishwaranjan bhattacharjee , sriram padmanabhan , timothy malkemus , tony lai",vldb,1994 ,an efficient algorithm for mining association rules in large databases,"dimitris papadias , yufei tao , greg fu , bernhard seeger",international conference on management of data,2003 ,0
communication efficient distributed mining of association rules,"wen-syan li , chris clifton",sigmod record,1994 ,view management in multimedia databases,"a. prasad sistla , ouri wolfson",very large data bases,2002 ,0
optimizing queries on compressed bitmaps,m. tamer özsu,vldb,2000 ,the ccube constraint object-oriented database system,"sudipto guha , rajeev rastogi , kyuseok shim",international conference on management of data,1999 ,0
a survey of logical models for olap databases,"sushil jajodia , xiaoyang sean wang , elisa bertino , claudio bettini",vldb j.,1994 ,influential papers,george colliat,acm sigmod record,2002 ,0
distributed query evaluation on semistructured data,"kaushik chakrabarti , eamonn j. keogh , michael j. pazzani , sharad mehrotra",acm trans . database syst .,2001 ,optimizing queries with universal quantification in object-oriented and object-relational databases,"marc gyssens , laks v. s. lakshmanan",very large data bases,1997 ,0
