ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
querying multiple features of groups in relational databases,s sarawagi,vldb,1995 ,the r * - tree : an efficient and robust access method,"c zhang , j naughton , d dewitt","hoe . vldb ,", ,0
advances in real-time database systems research,j fong,sigmod conference,2002 ,towards a general theory of the digital library,"y papakonstantinou , a gupta , l haas","proc . of acm sigmod international conference on management & hellip ; ,", ,0
acm multimedia '94 conference workshop on multimedia database management systems,"a ailamaki , d dewitt , m hill",acm trans . database syst .,1995 ,semantics and implementation of schema evolution in object-oriented databases,o ulusoy,"proc . acm sigmod , portland ,", ,0
a system for watermarking relational databases,"n gehani , h jagadish , w roome",vldb j.,1994 ,semantic heterogeneity in distributed geographic databases,"a sheth , r meersman","proceedings of the 1985 acm sigmod international conference & hellip ; ,", ,0
fintime - a financial time series benchmark,"r peters , m жzsu",sigmod conference,1995 ,foundations of statistical natural language processing,r agrawal,"proceedings of the third international symposium on advances & hellip ; ,",1978.0 ,0
"agents , turst , and information access on the semantic web","b lee , g wiederhold",sigmod conference,1996 ,load shedding in a data stream manager,"ye lien , pj weinberger","& hellip ; , 2001 . proceedings . 17th international conference on ,", ,0
relational data sharing in peer-based data management systems,"s agrawal , s chaudhuri , v narasayya",acm trans . database syst .,1998 ,mining frequent itemsets without support threshold : with and without item constraints,hm jamil,"acm press frontier series ,", ,0
improving adaptable similarity query processing by using approximations,"o wolfson , a sistla , b xu , j zhou , s chamberlain",sigmod conference,1997 ,redundancy m spatial databases,"k torp , cs jensen , rt snodgrass","acm transactions on database systems ,", ,0
temporal aggregation in active database rules,"b reinwald , h pirahesh",vldb,1995 ,mining association rules between sets of items in large databases,"k naidoo , r searle","intelligent data analysis ,", ,0
an ontological analysis of the relationship construct in conceptual modeling,s malaika,sigmod record,1995 ,an approximate search engine for structural databases,"ad ` atri , m moscarini , n spyratos","vldb ,", ,0
parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,2002 ,current status of r & d in trusted database management systems,"n kabra , d dewitt","bioinformatics : managing scientific data , t. critchlow and z",1994.0 ,0
