ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` the palm ',' 311 w. 17th st. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',310-888-0108,` pacific new wave ',546 ,0
` pinot bistro ',' 889 w. peachtree st. ',` los angeles ',818/990 -0500,french,18 ,` sushi nozawa ',' 1582 folsom st. ',` studio city ',818-508-7017,` american ( new ) ',595 ,0
` indigo coastal grill ',' 3380 peachtree rd. ',atlanta,404/876 -0676,caribbean,84 ,` la cote basque ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599 ,0
` morton \ 's ',' 8800 melrose ave. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',213-857-0034,californian,546 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,american,18 ,` sushi nozawa ',' 6703 melrose ave. ',` beverly hills ',818-508-7017,japanese,6 ,0
` morton \ 's ',' 1397 n. highland ave. ',atlanta,404/876 -1800,caribbean,84 ,` uncle bill \ 's pancake house ',' 3799 las vegas blvd. s. ',` los angeles ',404-262-7112,italian,599 ,0
` the palm ',' 8800 melrose ave. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',310-888-0108,` pacific new wave ',546 ,0
` le marais ',' 150 w. 46th st. ',` new york ',212/869 -0900,american,290 ,` sparks steak house ',' 9777 little santa monica blvd. ',` beverly hills ',212-687-4855,steakhouses,641 ,0
` le marais ',' 150 w. 46th st. ',` new york ',212/869 -0900,american,290 ,` sparks steak house ',' 9777 little santa monica blvd. ',` beverly hills ',212-687-4855,` pacific new wave ',641 ,0
` le marais ',' 150 w. 46th st. ',` new york ',212/869 -0900,american,290 ,` sparks steak house ',' 9777 little santa monica blvd. ',` beverly hills ',212-687-4855,steakhouses,641 ,0
` indigo coastal grill ',' 3380 peachtree rd. ',atlanta,404/876 -0676,caribbean,84 ,` uncle bill \ 's pancake house ',' 600 ponce de leon ave. ',` manhattan beach ',310-545-5177,mediterranean,599 ,0
` indigo coastal grill ',' 3200 las vegas blvd. s ',atlanta,404/876 -0676,caribbean,84 ,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599 ,0
` pinot bistro ',' 405 e. 52nd st. ',` los angeles ',818/990 -0500,french,18 ,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595 ,0
` indigo coastal grill ',' 3380 peachtree rd. ',atlanta,404/876 -0676,caribbean,84 ,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,steakhouses,599 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18 ,` sushi nozawa ',' 6703 melrose ave. ',` studio city ',818-508-7017,japanese,595 ,0
` the palm ',' 8800 melrose ave. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',213-857-0034,` pacific new wave ',546 ,0
` the palm ',' 8800 melrose ave. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',213-857-0034,` pacific new wave ',546 ,0
` indigo coastal grill ',' 3380 peachtree rd. ',atlanta,404/876 -0676,caribbean,84 ,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599 ,0
` the palm ',' 8800 melrose ave. ',` los angeles ',310/550 -8811,american,15 ,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',213-857-0034,californian,546 ,0
` le marais ',' 150 w. 46th st. ',` new york ',212/869 -0900,american,290 ,` sparks steak house ',' 9777 little santa monica blvd. ',` beverly hills ',212-687-4855,steakhouses,641 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,southern,18 ,` sushi nozawa ',' 6703 melrose ave. ',` studio city ',818-508-7017,californian,595 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,mediterranean,18 ,` sushi nozawa ',' 1582 folsom st. ',` studio city ',818-508-7017,japanese,595 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18 ,` sushi nozawa ',' 1582 folsom st. ',` studio city ',818-508-7017,japanese,595 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,californian,18 ,` sushi nozawa ',' 6703 melrose ave. ',` studio city ',818-508-7017,japanese,595 ,0
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18 ,` sushi nozawa ',' 1582 folsom st. ',` studio city ',818-508-7017,japanese,595 ,0
` indigo coastal grill ',' 3380 peachtree rd. ',atlanta,404/876 -0676,caribbean,84 ,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599 ,0
