ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
data mining with optimized two-dimensional association rules,,, ,data mining with optimized two-dimensional association rules 2001,,very large data bases, ,1
minicon : a scalable algorithm for answering queries using views vldb j.,,,1995.0 ,a scalable algorithm for answering queries using views,"r. l. grossman , d. hanley , x. qin",,1995.0 ,1
"winnowing : local algorithms for document fingerprinting alexander aiken , daniel shawcross wilkerson , saul schleimer 2003",,,1999.0 ,"winnowing : local algorithms for document fingerprinting saul schleimer , daniel s. wilkerson , alex aiken","g. kappel , w. retschitzegger",the vldb journal -- the international journal on very large data bases,1994.0 ,1
searching in metric spaces with user-defined and approximate distances,,sigmod record,2000.0 ,"searching in metric spaces with user-defined and approximate distances paolo ciaccia , marco patella","laura m. haas , donald kossmann , edward l. wimmers , jun yang",acm sigmod record,2001.0 ,1
a top-down approach for two level serializability vldb,,, ,a top-down approach for two level serializability,"b. liskov , a. adya , m. castro , s. ghemawat , r. gruber , u. maheshwari , a. c. myers , m. day , l. shrira",, ,1
"lineage tracing for general data warehouse transformations jennifer widom , yingwei cui vldb j.",,, ,lineage tracing for general data warehouse transformations the vldb journal -- the international journal on very large data bases,,, ,1
managing large systems with db2 udb sigmod conference,"h. stephen au-yeung , c. p. chou , yuh-ming shyy",,1996.0 ,managing large systems with db2 udb international conference on management of data,,very large data bases,1995.0 ,1
fast algorithms for universal quantification in large databases,,,1995.0 ,"fast algorithms for universal quantification in large databases goetz graefe , richard l. cole",,very large data bases,1995.0 ,1
cache coherency in oracle parallel server,,,2000.0 ,cache coherency in oracle parallel server boris klots,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",,2000.0 ,1
dbxplorer : enabling keyword search over relational databases sigmod conference 2002,"kyu-young whang , yang-sae moon , il-yeol song , sang ho lee",sigmod conference,1995.0 ,dbxplorer : enabling keyword search over relational databases 2002,,,1995.0 ,1
declarative updates of relational databases,,vldb, ,formal query languages for secure relational databases 1994,"odysseas g. tsatalos , marvin h. solomon , yannis e. ioannidis",, ,1
cost estimation of user-defined methods in object-relational database systems 1999,,, ,cost estimation of user-defined methods in object-relational database systems 1999,,, ,1
"improving oltp data quality using data warehouse mechanisms matthias jarke , dirk lehmann , gunter michalk , guido blees , stefan striel , christoph quix 1999",,vldb j., ,improving oltp data quality using data warehouse mechanisms international conference on management of data 1999,"yueh-min huang , jen-wen ding , shiao-li tsao",, ,1
neurorule : a connectionist approach to data mining,"swarup acharya , phillip b. gibbons , viswanath poosala",sigmod record, ,neurorule : a connectionist approach to data mining very large data bases 1995,,acm sigmod record, ,1
implementation aspects of an object-oriented dbms 1995,"atul adya , liuba shrira , miguel castro , robert gruber , andrew c. myers , barbara liskov , umesh maheshwari , sanjay ghemawat , mark day",,1995.0 ,implementation aspects of an object-oriented dbms 1995,,,1994.0 ,1
improving timeliness in real-time secure database systems,,, ,generalized search trees for database systems,"denis rinfret , patrick o'neil , elizabeth o'neil",very large data bases, ,1
"context-based prefetch - an optimization for implementing objects on relations david shutt , philip a. bernstein , shankar pal vldb j.","divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",,1998.0 ,"context-based prefetch - an optimization for implementing objects on relations philip a. bernstein , shankar pal , david shutt",,the vldb journal -- the international journal on very large data bases,1999.0 ,1
generalised hash teams for join and group-by 1999,,, ,generalised hash teams for join and group-by very large data bases,,, ,1
incremental computation of nested relational query expressions acm trans . database syst . 1995,,,1996.0 ,incremental computation of nested relational query expressions acm transactions on database systems ( tods ),,very large data bases,1996.0 ,1
containment of conjunctive queries : beyond relations as sets,"kenneth a. ross , gail e. kaiser , luis gravano , salvatore j. stolfo , shih-fu chang",,1995.0 ,containment of conjunctive queries : beyond relations as sets,,,1995.0 ,1
