ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
actiview : adaptive data presentation using supersql vldb 2001,,,1997.0 ,"actiview : adaptive data presentation using supersql y maeda , m toyama","or zaiane , j hanâ ? ¦",,1997.0 ,1
"cure : an efficient clustering algorithm for large databases s guha , r rastogi , k shim",,, ,"cure : an efficient clustering algorithm for large databases proceedings of acm sigmod international conference on & hellip ; ,",,"proceedings of the 2002 acm sigmod international conference & hellip ; ,", ,1
automated selection of materialized views and indexes in sql databases vldb,,,1997.0 ,automated selection of materialized views and indexes for sql databases,"b medjahed , a bouguettaya , ak elmagarmid",,1997.0 ,1
"optimization of queries with user-defined predicates s chaudhuri , k shim acm trans . database syst .",,, ,"optimization of queries with user-defined predicates s chaudhuri , k shim","s lakshaman , s subramanian","proceedings of the 2002 acm sigmod international conference & hellip ; ,", ,1
online query processing 2001,,sigmod conference, ,continuously adaptive query processing,c ordonez,, ,1
formal query languages for secure relational databases acm trans . database syst .,,,1996.0 ,"formal query languages for secure relational databases acm transactions on database systems ,","t zhang , r ramakrishnan , m livny",,1997.0 ,1
fast algorithms for mining association rules in large databases 1994,,sigmod conference, ,mining quantitative association rules from large databases,,, ,1
"prospector : a content-based multimedia server for massively parallel architectures s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader sigmod conference 1996",,sigmod conference, ,"prospector : a content-based multimedia server for massively parallel architectures sigmod record , 1996.0","d barbarã ¡ , t imielinski",, ,1
fact : a learning based web query processing system,,sigmod record, ,rainbow : mapping-driven xquery processing system,"d wildfogel , r yerneni",, ,1
online query processing 2001,,, ,continuously adaptive query processing,j blakeley,, ,1
"efficient structural joins on indexed xml documents s chien , z vagena , d zhang , v tsotras , c zaniolo 2002","x zhang , m mulchandani , s christ , b murphy , e rundensteiner",, ,"efficient structural joins on indexed xml documents vldb , 2002.0",,, ,1
"a scalable algorithm for answering queries using views r pottinger , a levy 2000",,sigmod conference, ,a scalable algorithm for answering queries using views,"p triantallou , t papadakis",, ,1
guest editorial,f leymann,vldb, ,guest editorial 2002.0,,, ,1
a consensus glossary of temporal database concepts sigmod record,,sigmod conference, ,sj et al. the consensus glossary of temporal database concepts temporal databases-research and,"w hthnmer , w lehner , h wedekind",, ,1
