ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu","a helal , h li","sigmod record ,",2000.0 ,1
an extended entity-relationship model for geographic applications sigmod record 1997,,, ,"an extended entity-relationship model for geographic applications sigmod record ,",,, ,1
"similarity-based queries for time series data d rafiei , a mendelzon",,sigmod conference,1997.0 ,similarity-based queries for time series data,"pl altick , d rafiei , a mendelzon","sigmod rec ,",1997.0 ,1
"efficient optimistic concurrency control using loosely synchronized clocks a adya , r gruber , b liskov , u maheshwari",,sigmod conference,1999.0 ,"efficient optimistic concurrency control using loosely synchronized clocks , sigmod , san jose , ca","hv jagadish , lvs lakshmanan , d srivastava",,1995.0 ,1
locally adaptive dimensionality reduction for indexing large time series databases 2002,"r miller , m hernсndez , l haas , l yan , c ho , r fagin , l popa",vldb, ,"s. and pazzani mj : locally adaptive dimensionality reduction for indexing large time series e keogh , km chakrabarti proceedings of the 2001 acm sigmod international conference",,, ,1
research in information managment at dublin city university,,,2002.0 ,research in information managment at dublin city university mraf smeaton,sm databases,,2002.0 ,1
"managing multiple and distributed ontologies on the semantic web a maedche , b motik , l stojanovic",,sigmod record,1999.0 ,"managing multiple and distributed ontologies on the semantic web the vldb journal the international journal on very large & hellip ; , 2003.0",,,1996.0 ,1
mapping data in peer-to-peer systems : semantics and algorithmic issues,"g manku , s rajagopalan , b lindsay",sigmod conference, ,data mapping in peer-to-peer systems : semantics and algorithmic issues,"gs manku , s rajagopalan , bg lindsay",, ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu","a helal , h li","sigmod record ,",2000.0 ,1
a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0 ,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0 ,1
efficiently publishing relational data as xml documents vldb j.,"y matias , j vitter , m wang",, ,efficiently publishing relational data as xml documents b reinwald,,"technical report , dept. of cs , university of illinois at chicago", ,1
"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb, ,discovery of multiple-level association from large database,,"vldb ,", ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu",,"sigmod record ,",2000.0 ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
"high-dimensional index structures , database support for next decade 's applications ( tutorial ) s berchtold , d keim sigmod conference",,,1998.0 ,high-dimensional index structures database support for next decade 's applications ( tutorial ),,,1998.0 ,1
"a study on data point search for hg-trees j kuan , p lewis",,sigmod record, ,a study on data point search for hg-trees .,"s chaudhuri , r motwani , v narasayya",, ,1
"discovery of multiple-level association rules from large databases j han , y fu 1995","f korn , n sidiropoulos , c faloutsos , e siegel , z protopapas",vldb, ,discovery of multiple-level association from large database,,, ,1
a content-based multimedia server for massively parallel architectures 1996,,sigmod conference, ,"etal. , prospector : a content-based multimedia object server for massively parallel architectures","l gravano , kcc chang , h garcia-molina , a paepcke",, ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference, ,data mapping in peer-to-peer systems : semantics and algorithmic issues,,, ,1
the dangers of replication and a solution 1996,,sigmod conference, ,and d. shasha p. oâ ?? neil . the dangers of replication and a solution,,, ,1
a raster approximation for processing of spatial joins,,, ,a raster approximation for processing of spatial joins,,, ,1
the dangers of replication and a solution 1996,"m hasan , a mendelzon , d vista",sigmod conference, ,and d. shasha p. oâ ?? neil . the dangers of replication and a solution,,, ,1
turbo-charging vertical mining of large databases,,sigmod conference, ,", s. sudarshan , m. bawa , g. bhalotia , and d. shah . turbo-charging vertical mining of large databases p shenoy",a sahuguet,, ,1
the incinerate data model acm trans . database syst .,,,1995.0 ,"the incinerate data model hv jagadish acm transactions on database systems ,",,,1995.0 ,1
integrating a structured-text retrieval system with an object-oriented database system 1994,"t yan , j annevelink",vldb, ,"integrating a structured-text retrieval system with an object-oriented database system tw yan , j annevelink",,, ,1
a content-based multimedia server for massively parallel architectures 1996,,sigmod conference, ,"etal. , prospector : a content-based multimedia object server for massively parallel architectures","t imielinsky , s viswanathan , br badrinath",, ,1
a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0 ,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0 ,1
indexing and querying xml data for regular path expressions vldb,,,2001.0 ,"indexing and querying xml data for regular path expressions vldb ,","b kemme , g alonso , bc do n't be lazy",,2001.0 ,1
"managing multiple and distributed ontologies on the semantic web a maedche , b motik , l stojanovic",,sigmod record,2002.0 ,"managing multiple and distributed ontologies on the semantic web the vldb journal the international journal on very large & hellip ; , 2003.0","m halkidi , y batistakis",,2001.0 ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu",,"sigmod record ,",2000.0 ,1
approximate medians and other quantiles in one pass and with limited memory 1998,"a kementsietsidis , m arenas , r miller",sigmod conference, ,approximatemediansandother quantilesinonepass and with limited memory,,, ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu","a helal , h li","sigmod record ,",2000.0 ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
"the xxl search engine : ranked retrieval of xml data using indexes and ontologies a theobald , g weikum",,sigmod conference,2002.0 ,"the xxl search engine : ranked retrieval of xml data using indexes and ontologies sigmod conference ,",,,2002.0 ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
"a scalable algorithm for answering queries using views r pottinger , a levy 2000",,vldb, ,a scalable algorithm for answering queries using views proc . of the int,"t imielinsky , s viswanathan , br badrinath",, ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
the dangers of replication and a solution 1996,,sigmod conference, ,and d. shasha p. oâ ?? neil . the dangers of replication and a solution,"cc aggarwal , c procopiuc , jl wolf , ps yu , js park",, ,1
fast algorithms for mining association rules in large databases 1994,,, ,srikant r. fastalgorithms formining association rules in large databases r agrawal,a sahuguet,, ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu","s arpinar , a dogac","sigmod record ,",2000.0 ,1
"record-boundary discovery in web documents d embley , y jiang , y ng","s chaudhuri , v narasayya",sigmod conference, ,"y , jiang and yk ng.â ?? record-boundary discovery in web documents , â ??",,, ,1
research in information managment at dublin city university,,sigmod conference,2002.0 ,research in information managment at dublin city university mraf smeaton,"s chaudhuri , k shim",,2002.0 ,1
"similarity-based queries for time series data d rafiei , a mendelzon",,sigmod conference,1997.0 ,similarity-based queries for time series data,"pl altick , d rafiei , a mendelzon","sigmod conference ,",1997.0 ,1
integrating a structured-text retrieval system with an object-oriented database system 1994,,vldb, ,"integrating a structured-text retrieval system with an object-oriented database system tw yan , j annevelink",,"vldb ,", ,1
the dangers of replication and a solution 1996,,sigmod conference, ,and d. shasha p. oâ ?? neil . the dangers of replication and a solution,a bouguettayaâ ? ¦,, ,1
improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis , p haas , e shekita",sigmod record,1996.0 ,"improved histograms for selectivity estimation of range predicates v poosala , ej shekita sigmod conference ,",,,1996.0 ,1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0 ,"report on second international workshop on advanced issues of e-commerce and web-based information kl wu , ps yu","a helal , h li","sigmod record ,",2000.0 ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
"similarity-based queries for time series data d rafiei , a mendelzon",,sigmod conference,1997.0 ,similarity-based queries for time series data,"pl altick , d rafiei , a mendelzon","sigmod rec ,",1997.0 ,1
querying and mining data streams : you only get one look 2002,,, ,"query and mining data streams : you only get one look , in â ?? vldbâ ?? 02","l gravano , h garcia-molina",, ,1
"generalizing gloss to vector-space databases and broker hierarchies l gravano , h garcia-molina 1995",,vldb, ,h. 1995 . generalizing gloss to vector-space databases and broker hierarchies,"tn raymond , s paul",, ,1
evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,,1994.0 ,evolving teradata decision support for massively parallel processing with unix,c ballinger,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0 ,1
indexing and querying xml data for regular path expressions vldb,"q li , b moon",,2001.0 ,"indexing and querying xml data for regular path expressions vldb ,","q li , b moon",,2001.0 ,1
icicles : self-tuning samples for approximate query answering,,, ,icicles : selftuning samples for approximate query processing,"m fernandez , j simeon , b choi , a marian , g sur",, ,1
"similarity-based queries for time series data d rafiei , a mendelzon",,sigmod conference,1997.0 ,similarity-based queries for time series data,"pl altick , d rafiei , a mendelzon","sigmod conference ,",1997.0 ,1
