ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"Lifted ( feat . Emeli Sand ' © & Professor Green ) Naughty Boy Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 4:15",Macklemore & Ryan Lewis,,,$ 1.29,,, ,Choose ( Feat . Ne-Yo & Kelly Rowland ; Continuous Mix Version ) David Guetta Dance & Electronic $ 1.29 ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,,Settle,Pop,$ 1.29,,3:16,"September 18 , 2015 ",0
Confess To Me ( feat . Jessie Ware ) Disclosure Settle ( Deluxe Version ) $ 1.29 4:10 15-Apr-14,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),,,,, ,"Ai n't Got Nothing ( Album Version ( Edited ) ) [ feat . Lil Boosie ] [ Clean ] Certified ( Edited Version ) $ 0.99 ( C ) 2014 Island Records , a division of UMG Recordings , Inc. 3:52",,,,$ 1.29,,, ,0
Baby ( Bonus Video ) ‰ ãÑ 2010 The Island Def Jam Music Group,Little Big Town,,,,"2011 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",, ,If You Only Knew ( Live Acoustic From Kansas City ) ( C ) 2005 MCA Nashville,,,Alternative Rock,,"( C ) 2000 Capitol Records , LLC",3:08, ,0
The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,,"Only One Flo , Pt. 1",,,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",6:17,21-Jun-11 ,"Scary Monsters And Nice Sprites ( Phonat Remix ) Skrillex More Monsters And Sprites EP Dance & Electronic , Dubstep $ 1.29 2011 Rory Bourke Music Co. ( BMI )",,,,$ 0.99,( C ) 2012 Interscope Records,,"September 18 , 2015 ",0
"Medicated ( feat . Chevy Woods & Juicy J ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,,"Hip-Hop/Rap , Music , Rap",,,, ,"Ai n't Got Nothing ( Album Version ( Edited ) ) [ feat . Lil Boosie ] [ Clean ] Certified ( Edited Version ) $ 0.99 ( C ) 2014 Island Records , a division of UMG Recordings , Inc. 3:52",,Fetty Wap [ Explicit ],,$ 1.29,,4:24, ,0
Stay the Night ( feat . Hayley Williams ) Album Only,Zedd,,"Pop , Music",,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3:34,4-Feb-14 ,"Beautiful Now ( Scout Remix ) [ feat . Jon Bellion ] Beautiful Now ( Scout Remix ) $ 1.29 October 9 , 2015",Zedd,Nothing But The Beat,Dance & Electronic,,,,"July 10 , 2015 ",0
Whateva ( feat . Monty ) Fetty Wap Fetty Wap ( Deluxe ) Album Only 5:11,Kaskade & Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,15-Nov-10 ,"Kill Everybody Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd 4:58 December 21 , 2010",Calvin Harris feat . HAIM,,,$ 1.29,,, ,0
Epilogue ( feat . George the Poet ) Naughty Boy Hotel Cabana 6-May-14,Calvin Harris,,,,,, ,"All I Ask Of You ( Feat . Penny ) Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep ( c ) 2013 Digitop Ltd 5:40 December 21 , 2010",,,,,"( C ) 2013 XO & co. , Inc.",1:02,"April 16 , 2013 ",0
"VHS Outro ( Interlude ) X Ambassadors Alternative , Music , Rock , Adult Alternative $ 1.29 1:25",,,,,,, ,"Clarity ( Zedd Union Mix ) [ feat . Foxes ] Zedd Clarity ( Remixes ) Dance & Electronic $ 1.29 3:28 February 12 , 2013",Flo Rida,Lean On ( Remixes ),Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,0:27,"May 18 , 2015 ",0
Remember You ( feat . The Weeknd ) 5:20 4-Dec-12,,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],,$ 1.29,,, ,Just Dance ( RedOne Remix ) ( C ) 2008 Interscope,Skrillex,,,$ 1.29,2015 If Moving Your Mine,3:33,"May 18 , 2015 ",0
"Ha ( feat . Brisco & 4 Mill ) Hip-Hop/Rap , Music Album Only 3:54",,Rolling Papers ( Deluxe Version ),,,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:40,15-Nov-10 ,"Lucky Now ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ] Ryan Adams $ 1.29 ( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records April 21 , 2015",,,,$ 1.29,2015 If Moving Your Mine,,"November 24 , 2014 ",0
"Act My Age FOUR ( Ultimate Edition ) Pop , Music 3:18 17-Nov-14",Fetty Wap,Fetty Wap ( Deluxe ),"Dance , Music , Electronic",,,, ,"Willing & Able [ feat . Kwabs ] Disclosure Caracal ( Deluxe ) ( C ) 2015 Island Records , a division of Universal Music Operations Limited 4:52",,Lean On ( Piano Karaoke Accompaniment ) [ feat . MÌü ],Rock,$ 1.29,,, ,0
"Stop Me ( Kissy Sell Out Remix ) Daniel Merriweather & Mark Ronson Stop Me ( Remixes ) - EP Electronic,Music,Hip-Hop / Rap , Alternative Rap , R&B / Soul,Neo-Soul , Soul , Contemporary R&B 2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) LIMITED 5:58 14-Aug-07",,,"Dance , Music",$ 1.29,,, ,"How We Do Things ( feat . Monty ) [ Explicit ] Rap & Hip-Hop $ 1.29 ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves September 25 , 2015",,,,,,,"September 30 , 2013 ",0
