ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
turbo-charging vertical mining of large databases,s sripada,vldb,2002 ,updating relational databases through object-based views,rc holte,"proceedings of the international conference on very large & hellip ; ,", ,0
mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996 ,cql : a language for continuous queries over streams and relations,kk nambiar,"acm transactions on database systems ,", ,0
extraction of object-oriented structures from existing relational databases,"j frew , j dozier",sigmod record,1997 ,database management systems in 1990,"lvs lakshmanan , rt ng , j han , a pang","acm sigmod record ,",2001.0 ,0
a logical foundation for deductive object-oriented databases,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann",acm trans . database syst .,2002 ,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"p fankhauser , a halevy","ieee computer ,", ,0
view maintenance in a warehousing environment,"h wang , w wang , j yang , p yu",sigmod conference,1995 ,on the semantics of the relational data model,el lozinskii,, ,0
algebraic query optimisation for database programming languages,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996 ,xquery implementation in a relational database system,"i cruz , aa khokhar , b liu , ap sistla , o wolfson ,","acm transactions on database systems ,",1984.0 ,0
a data transformation system for biological data sources,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996 ,caching for multi-dimensional data mining queries,e bertino,"acm transactions on database systems ,",1981.0 ,0
constructing the next 100 database management systems,"i mumick , h pirahesh",sigmod conference,1994 ,using semantic values to facilitate interoperability among heterogeneous database systems,"g saake , fs ii , m roantree","new directions for program evaluation ,", ,0
the wasa2 object-oriented workflow management system,s sarawagi,vldb,1996 ,secure transaction processing in firm real-time database systems,"ht kung , jt robinson","proceedings of the 13th acm sigact-sigplan symposium on & hellip ; ,", ,0
reminiscences on influential papers,,,2003 ,reminiscences of an indian official,o cavenagh,,2001.0 ,0
visionary : a next generation visualization system for databases,"s ramaswamy , s mahajan , a silberschatz",vldb,1994 ,logic-based web information extraction,"j shanmugasundaram , i tatarinov , e viglas , k beyer","vldb journal , to",1998.0 ,0
database systems management and oracle8,"l shklar , a sheth , v kashyap , s thatte",vldb,1998 ,optimization of dynamic query evaluation plans,"d florescu , a levy , a mendelzon","proceedings of the international conference on very large & hellip ; ,",2001.0 ,0
enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998 ,query processing in sdd-1 : a system for distributed databases,"ja orenstein , s haradhvala , b margulies , d","acm transactions on database systems ,",2003.0 ,0
a survey of logical models for olap databases,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",vldb,2003 ,location-based spatial queries with data sharing in mobile environment,"d choy , c mohan","acm transactions on database systems ,",1992.0 ,0
selectivity estimation using probabilistic models,"k ramamohanarao , j harland",sigmod conference,1994 ,query processing and optimization for olap-xml federations,"rs epstein , m stonebraker",acm transactions on database, ,0
schema and database evolution in the o2 object database system,"r agrawal , j kiernan",acm trans . database syst .,2000 ,java and relational databases : sqlj,"m raynal , m singhal",, ,0
efficient algorithms for processing xpath queries,"v hristidis , y papakonstantinou",vldb,1995 ,object systems over relational databases,r agrawal,"women in aviation international conference , reno , nv , march ,",1987.0 ,0
a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,d suciu,sigmod conference,2003 ,a performance study of concurrency control in a real-time main memory database system,"a das , j gehrke , m riedewald",, ,0
dwms : data warehouse management system,d suciu,vldb,1996 ,tracing the lineage of vlew data in a warehousing environment,s ashok,, ,0
the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"h tan , i korpeoglu",sigmod record,2002 ,an implementation overview of the aditi deductive database system,pmg apers,"28th vldb conference ,",1988.0 ,0
using quantitative information for efficient association rule generation,"a hosking , j chen",vldb,2003 ,data management in environmental information systems,"ea cm941 , l maugis , s chakravarthy",, ,0
mining generalized association rules,"w jonker , h schќtz",sigmod conference,1995 ,secure score management for p2p systems,"w gu , j vetter , k schwan","proceedings of acm-sigmod international conference on & hellip ; ,", ,0
research directions in biodiversity informatics,"d barbarс , h garcia-molina",sigmod conference,1994 ,semantic modeling of object oriented databases,j zeleznikow,"proc . of 17th vldb conference ,", ,0
data extraction and transformation for the data warehouse,"h do , e rahm",sigmod conference,2003 ,sampling largc database for association rules,v ventrone,"proc . acm pacific conf ,",1989.0 ,0
the tv-tree : an index structure for high-dimensional data,e bertino,sigmod conference,1994 ,using semantic values to facilitate interoperability among heterogeneous database systems,s alagic,"acm transactions on information systems ( tois ) ,", ,0
distributed deviation detection in sensor networks,"a geppert , k dittrich",vldb,1995 ,query processing in main memory database management systems,"v poosala , ye ioannidis , pj haas , ej shekita","acm sigplan notices ,",2004.0 ,0
interview with avi silberschatz,"p o'neil , d quass",vldb,1996 ,mining generalized association rules,"a netz , s chaudhuri , u fayyad , j bernhardt",ieee,1998.0 ,0
distributed deviation detection in sensor networks,j hellerstein,sigmod record,2000 ,implementation aspects of an object-oriented dbms,"z lacroix , o boucelma","proc . 1981 acm-sigmod conference on management of data , ann & hellip ; ,", ,0
birch : an efficient data clustering method for very large databases,"l raschid , j lobo",sigmod conference,1996 ,physical database design for relational databases,"f golshani , n dimitrova","proceedings of the 1981 acm-sigmod conference , april ,", ,0
maximizing the output rate of multi-way join queries over streaming information sources,"s lee , t ling",sigmod conference,1996 ,a data model and query language for exodus,l vieille,"acm trans . on database systems ,",2003.0 ,0
editor 's notes,"k sagonas , t swift , d warren",acm trans . database syst .,2002 ,"p. , et al. 1979 . access path selection in a relational data base management system",j gray,"new directions for adult and continuing education ,", ,0
supporting top-k join queries in relational databases,k ross,vldb,2002 ,the future of the phone box,"p drew , r king , d heimbigner","sigmod record ,",2003.0 ,0
the ores temporal database management system,"m derr , s morishita , g phipps",sigmod conference,1994 ,foreword,"jc lavariega , lg gã ³ mez-martã nez","proc . of acm sigmod conf ,",2000.0 ,0
mariposa : a wide-area distributed database system,"a poulovassilis , c small",vldb j.,1996 ,an efficient access method for similarity search in metric spaces,j frew,"acm transactions on database systems ,",2005.0 ,0
an axiomatic model of dynamic schema evolution in objectbase systems,d suciu,vldb,2000 ,oql-an object-oriented query language,"s conrad , b eaglestone , w hasselbring , m roantree ,","proceedings of the international conference on very large & hellip ; ,", ,0
banks : browsing and keyword searching in relational databases,"m missikoff , m toiati",sigmod conference,2002 ,processing sliding window multi-joins in continuous queries over data streams,sm richardson,"acm transactions on database systems ,",1983.0 ,0
mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996 ,dynamat : a dynamic view management system for warehouse,"s chandrasekan , m franklin","acm transactions on database systems ,", ,0
topological relations in the world of minimum bounding rectangles : a study with r-trees,"j rao , c zhang , n megiddo , g lohman",sigmod conference,1998 ,multimedia databases coursenotes,"m cardei , j wu","acm transactions on database systems ,", ,0
book review column,"e pacitti , p minet , e simon",sigmod record,2002 ,an extensible object-oriented approach to databases for cad/vlst,"h lu , mc shan , kl tan","proceedings acm sigmod international conference on & hellip ; ,", ,0
parallelising oodbms traversals : a performance evaluation,"s acharya , p gibbons , v poosala , s ramaswamy",vldb j.,2003 ,oms rapid prototyping system for the development of object-oriented database application systems,"rca li , a fawaz , s sachs , p varaiya , j walrand","acm transactions on database systems ,",2001.0 ,0
tracing the lineage of view data in a warehousing environment,,sigmod record,2002 ,software and book review column,r riordan,"proceedings of the 22nd vldb conference , bombay , indien ,", ,0
evaluating top-k selection queries,"s dar , r ramakrishnan",vldb,2003 ,algorithms for processing k-closest-pair queries in spatial databases,"y cui , j widom , jl wiener","acm transactions on information systems ( tois ) ,", ,0
describing semistructured data,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,2002 ,discovery ofmultiple-level association rules fromlarge databases,"nh gehani , hv jagadish , wd roome","proceedings of 21st international conference on very large & hellip ; ,",2004.0 ,0
formal aspects of concurrency control in long-duration transaction systems using the nt/pv model,d suciu,vldb,1996 ,spade : an efficient algorithm for mining frequent sequences,"b liu , a gupta , r jain",, ,0
tail recursion elimination in deductive databases,d suciu,vldb,1996 ,database caching for web application servers,k ramamritham,, ,0
query processing and optimization in oracle rdb,s banerjee,vldb,2001 ,the ecrc multi database system,"ap marathe , k salem","proc . 22nd international conference on very large data bases & hellip ; ,", ,0
tail recursion elimination in deductive databases,"e riedel , g gibson , c faloutsos",vldb,1996 ,data structure for association rule mining : t-tree and p-trees .,n koudas,, ,0
wavelet-based histograms for selectivity estimation,"d agrawal , a abbadi , r jeffers , l lin",sigmod conference,1994 ,"widomj. , derivingproduction rules for constraint maintenance","c yu , c chang , m templeton , d brill , e lund","the vldb journal the international journal on very large & hellip ; ,",2002.0 ,0
editor 's notes,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000 ,a scalable algorithm for answering queries using views,k kanth,"acm sigmod record ,",2001.0 ,0
an introduction to deductive database languages and systems,"i mumick , h pirahesh",sigmod conference,1994 ,design and selection of materialized views in a data warehousing environment : a case study,"g kappel , w retschitzegger , b schrã ¶ der","bt technology journal ,", ,0
reconciling schemas of disparate data sources : a machine-learning approach,"j clifford , c dyreson , t isakowitz , c jensen , r snodgrass",acm trans . database syst .,2001 ,shrikant . mining association rules between sets of items in large databases,"h mistry , p roy , s sudarshan , k ramamritham","journal of web semantics ,",2004.0 ,0
a probabilistic relational model and algebra,c hidber,sigmod conference,1994 ,implementing functional databases,"w klaus , a sheth","new directions for program evaluation ,", ,0
