ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` le perigord ',' 3900 paradise rd. ',` los angeles ',310/652 -9770,american,277 ,'21 club ',' 3 e. 52nd st. ',` new york city ',310-458-2889,indian,557 ,0
lutece,' 2 e. 61st st. ',` san francisco ',702/382 -1600,asian,344 ,` kelly \ 's on trinity ',' 2141 polk st. ',la,702-732-5651,thai,70 ,0
` california pizza kitchen ',' 1186 n. highland ave. ',atlanta,404/872 -7203,italian,388 ,` uncle bill \ 's pancake house ',' 790 ponce de leon ave. ',` manhattan beach ',310-545-5177,diners,599 ,0
` ralph \ 's diner ',' 228 w. 52nd st. ',` new york ',404/875 -8424,french,532 ,` carey \ 's ',' 3393 peachtree rd. ',atlanta,212-355-7555,scandinavian,109 ,0
` yolie \ 's ',' 2880 las vegas blvd. s ',` las vegas ',702/794 -0700,` steak houses ',452 ,` spago ( las vegas ) ',' 3700 w. flamingo rd. ',` santa monica ',702-252-7697,italian,69 ,0
` bistro roti ',' 470 green st. ',` san francisco ',415/771 -3500,italian,442 ,` tre visi ',' 2316 polk st. ',` new york city ',212-247-1585,` pacific rim ',683 ,0
palisades,' 240 e. 58th st. ',` new york ',415/771 -3500,american,318 ,` wollensky \ 's grill ',' 252 california st. ',venice,212-752-2225,japanese,590 ,0
` annie \ 's thai castle ','33 w. 55th st. ',` los angeles ',310/289 -0660,american,122 ,` mo better meatty meat ',' 1136 westwood blvd. ',` beverly hills ',404-876-0676,californian,109 ,0
` palace court ',' 322 w. 46th st. ',` los angeles ',310/451 -0616,american,121 ,` andre \ 's french restaurant ',' 2709 main st. ',` beverly hills ',415-285-7117,seafood,32 ,0
` camille \ 's ',' 240 e. 58th st. ',atlanta,404/876 -0676,italian,84 ,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-458-2889,diners,599 ,0
aqua,' 345 e. 83rd st. ',` san francisco ',212/228 -0604,italian,23 ,arcadia,' 1517 polk st. ',` new york city ',770-992-5383,seafood,680 ,0
swingers,' 8764 melrose ave. ',` los angeles ',310/276 -5205,italian,109 ,` koo koo roo ',' 1021 cobb pkwy . se ',atlanta,404-303-8201,pizza,6 ,0
` vivande porta via ',' 8764 melrose ave. ',` los angeles ',415/771 -3500,asian,121 ,` greenwood \ 's ',' 3127 fillmore st. ',` san francisco ',818-508-7017,` french bistro ',637 ,0
abbey,' 903 n. la cienega blvd. ',` los angeles ',212/496 -1588,american,135 ,` la cachette ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',538 ,0
` center stage plaza hotel ',' 617 s. olive st. ',` las vegas ',310/275 -1101,italian,68 ,postrio,' 239 w. broadway ',atlanta,212-874-2780,` fast food ',564 ,0
` california pizza kitchen ',' 207 s. beverly dr. ',` las vegas ',702/734 -0410,asian,11 ,` morton \ 's of chicago ( las vegas ) ',' 3172 peachtree rd. ne ',atlanta,404-659-0400,steakhouses,671 ,0
` gallagher \ 's ',' 2030 union st. ',` san francisco ',212/751 -2323,asian,111 ,` roosevelt tamale parlor ',' 1328 18th st. ',` new york city ',415-221-5262,` french ( new ) ',721 ,0
