ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
samsung 5 disc home theater surround sound system htz510,"nikon d700 digital slr digital camera d700body 12.1 megapixels fx-format cmos sensor continuous shooting up to 5 frames per second 3 ' super-density 920,000-dot vga color monitor two live view shooting modes rugged magnesium-alloy construction 51-point af with 3d focus tracking dynamic integrated dust reduction system 1,005-pixel 3d color matrix metering ii scene recognition system black finish body only", ,samsung 6 series ln19a650 19 ' lcd tv,panasonic all-in-one all-in-one flatbed laser fax,289.95 ,0
canon printer ink cartridge 4 colors pack 2946b004,"canon printer ink cartridge 4 colors pack 2946b004 fine technology for exceptional sharpness and detail compatible with pixma ip3600 , pixma ip4600 , pixma mp620 and pixma mp980 includes 4 ink tanks ( black , cyan , magenta , yellow )",47.0 ,canon pgi-5bk black ink cartridge 0628b002,canon pgi-5 pigment black ink cartridge for canon contrastplus photo printers,19.11 ,0
panasonic silver dect 6.0 cordless telephone kxtg1033s,"canon printer yellow ink cartridge cli221yel fine technology for exceptional sharpness and detail compatible with pixma ip3600 , pixma ip4600 , pixma mp620 and pixma mp980", ,nikon d300 digital slr camera 25432,f/4 .5 to 5.6,227.72 ,0
linksys dual-band wireless-n usb network adapter wusb600n,lg washer dryer white stacking kit wstk1 stack dryer on top of the washer free up much-needed space in the laundry room white finish, ,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,nikon en-el3e rechargeable li-ion battery,149.0 ,0
samsung 46 ' series 8 lcd black flat panel hdtv ln46a860,sony black dvd recorder and vhs combo player rdrvxd655 multiformat dvd compatible hdmi output and 720p/1080i upscaling hdtv tuner 4 video head stereo vhs with 19 micron heads variable bit rate recording ( 7 speeds ) progressive scan playback dolby digital and dts decoding playback compatible tv virtual surround black finish, ,audiovox satellite radio tuner,"500w dolby digital , dolby pro logic ii , dts",44.99 ,0
logitech harmony one advanced universal remote control harmony1,"sony playstation 2 8mb memory card ( 2 pack ) 711719706700 save and load high scores , positions and replays magicgate encryption red/blue finish", ,uniden tcx905 tru-digital expansion handset with caller id,toshiba d-vr610 dvd recorder/vcr combo,549.0 ,0
canon cyan photo ink cartridge cyan cli8pc,"canon printer yellow ink cartridge cli221yel fine technology for exceptional sharpness and detail compatible with pixma ip3600 , pixma ip4600 , pixma mp620 and pixma mp980",16.0 ,"canon ink cartridge for pixma ip1600 , ip6210d and ip6220d printers 0617b002",black,59.99 ,0
nintendo ds lite onyx black portable gaming system ndsusgskb,sony vaio lv series silver all-in-one desktop computer vgclv150j 2.53 ghz intel core 2 duo e7200 processor 4gb memory built-in 1.3 mp motion eye camera and microphone 500gb serial ata hard drive 24 ' xbrite-full hd lcd integrated stereo a2dp bluetooth technology two built-in 5.5 watt stereo speakers microsoft windows vista home premium 64-bit silver finish, ,canon nb-4l rechargeable camera battery 9763a001,nikon en-el3e rechargeable li-ion battery,7.99 ,0
sony cyber-shot black digital camera dsct500b,sony silver cyber-shot digital camera dscw170 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish, ,panasonic sc-bt100 home theater system sc-bt100p-k,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,375.8 ,0
transcend 4gb secure digital high-capacity ( sdhc ) class 6 memory card ts4gsdhc6,sony silver cyber-shot digital camera dscs750 7.2 megapixel super had ccd 2.5 ' lcd display 3x optical zoom high sensitivity mode auto focus 22 mb internal memory face detection burst mode convenient photo modes beginner-friendly function guide silver finish, ,lg electronics dle0442w xl load capacity with neverust stainless steel drum,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,129.99 ,0
sony silver cyber-shot digital camera dscw150,"canon rechargeable battery 9763a001 compatible with the sd200 , sd300 , sd400 , sd30 , sd450 , sd600 , sd630 , sd750 , sd1000 and other powershot cameras oem litium ion battery 180 minutes of playback time", ,logitech dinovo edge keyboard 967685-0403,top loading polyamide black,9.99 ,0
