ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
safe query languages for constraint databases acm trans . database syst .,peter z. revesz,,1998.0,safe query data systems for database designers conrad m. lees,peter z. revesz,,2007.0  col title,0
visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995.0,visdb : a system for visualizing large databases,hans peter keim,conference,1997.0   ,0
user-adaptive exploration of multidimensional data 2000,sunita sarawagi,vldb,,author,japan sarawagi,vldb,,0
reminiscences on influential papers richard t. snodgrass,,sigmod record,1999.0,attribution for publication on c-mu dataset l. bragg,,semifocus1,1995 to 2002,0
"an effective hash based algorithm for mining association rules ming-syan chen , philip s. yu , jong soo park 1995",,sigmod conference,,"an effective hash based algorithm for mining association rules lexa g. kumar , barry P. van den Buren",coauthors,,,0
"reminiscences an influential papers jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",,sigmod record,2003.0,and reprints in scientific databases,panda m. c. venno,,2015.0 ,0
accessing a relational database through an object-oriented database interface vldb 1995,"jack a. orenstein , d. n. kamber",,,accessing a relational database through an object-oriented database interface vldb 1995,hanan h, alex l. harbart, ,0
parallel database systems 101 jim gray 1995,,sigmod conference,,"parallel database systems 101 jan jim gray , sigrun g. r. baudel",,,1994 the human corpus tectonics for a system,0
"using semantic values to falilitate interoperability among heterogeneous information systems edward sciore , michael siegel , arnon rosenthal",,acm trans . database syst .,1994.0,for seminobiology,,conduction databases for data engineering,2003 .0,0
formal query languages for secure relational databases,"marianne winslett , kenneth smith , xiaolei qian",acm trans . database syst .,1994.0,structured research in text,ixidu,cyrtex conference,year,0
formal query languages for secure relational databases,"marianne winslett , kenneth smith , xiaolei qian",acm trans . database syst .,1994.0,formal querying in databases,ixan j. develp,ialp,ixml 1.0 MSCLER 2003,0
online association rule mining christian hidber sigmod conference,,,1999.0,rule mining christian hidber sigmod conference,,,1998,0
a hypertext query language for images li yang,,sigmod record,1994.0,a hypertext querying system,,sigmod data,2010.0 ,0
managing web data dan suciu sigmod conference 1999,,,,management web data management systems, CONFERENCE on software,,,0
"acm multimedia '94 conference workshop on multimedia database management systems p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu 1995",,sigmod record,,"acm multimedia '94 conference workshop on multimedia database management systems pp. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu"," cajal , vincenzo de lascelles","sigmod database system in multivendor field studies p. nelson , joseph van der Linden",1996,0
update propagation protocols for replicated databases 1999,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",sigmod conference,,update management for journal publishing 2003,indira osseni,title,1995,0
