,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",,,vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",,�� _ (,1.0
1,a close look at the ifo data model sigmod record,m hanna,,1995.0,a close look at the ifo data model sigmod record,m hanna,,1995.0 ibrary,1.0
2,template-based wrappers in the tsimmis system 1997,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,,template-based wrappers in the tsimmis system 1997,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,��,1.0
3,maintaining coherency of dynamic data in cooperating repositories vldb,"s shah , k ramamritham , p shenoy",,2002.0,tsa .,"s shah , k ramamritham , pl k rikkanhol",,2002.0 braska,1.0
4,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,hierarchy compact cube for range-max queries,"t ling , h li",vldb,2000.0 GENESCAPE,1.0
5,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,hierarchical compact cube for range-max queries,"r l leon , m l",vldb,2000.0 ��,1.0
6,"exploratory mining and pruning optimizations of constrained association rules r ng , l lakshmanan , j han , a pang 1998",,sigmod conference,,"exploratory mining and pruning optimizations of constrained association rules r c o , d , l lakshmanan , j han , a pang 1998",,sigmod conference,��,1.0
7,protdb : probabilistic data in xml vldb 2002,"a nierman , h jagadish",,,The data used is extracted from a variety of large databases and then sorted and classified into,"a nierman , h jagadish",,��,1.0
8,protdb : probabilistic data in xml vldb 2002,"a nierman , h jagadish",,,protdb : probabilistic data in xml vldb 2002,h jagadish,,Michigan,1.0
9,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999.0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999.1 ��.3 ��.1 ��.1 catalog_list,1.0
10,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),"j thomas , s deпloch , n mattos",sigmod conference,1995.0,design and implementation,"j thomas , s deпloch , n mattos",sigmod conference,1993.0,1.0
