,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,logitech m305 wireless mouse white,mice,logitech,910-001752,29.73,0.0
1,da-lite da-glas standard rear projection screen 81 x 108 video format da-lite 27917 5391.99,electronics - general,,,,da-lite da-lite standard rear projection screen 81 x 108 video format da-lite 27917 5391.99,electronics - general,,,�,0.0
2,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite da-plex base model front projection screen - 57 color - white,,,,,0.0
3,apple ipod shuffle 4gb pink 4th gen ipod apple mc331ll/a 73.54,,,,,apple ti-h5,category,,,2368 ަ,0.0
4,gear head 2.4 ghz wireless optical nano mouse black gear head mp2800blk,mice,,,15.82,,headsets,,,15.82 �,0.0
5,wilson jones won t-stick flexible poly round ring view binder stationery & office machinery 43336 7.7,,wilson jones,,,steno2,,wilson jones,,310.96,0.0
6,kingston m25664f50 2gb ddr2-667 200-pin so dimm sdram laptop memory module memory kingston 38.92,,,m25664f50,,kingston m25664f50 2gb ddr2-667 120-pin x 2-inch display LCD display,dt3,mattracolorportland,,$169.99,0.0
7,startech 3.5 external usb ide hard drive enclosure black startech 28.88,electronics - general,,ide3510u2,,,electronics,midland blue,vb6010-0,t500,0.0
8,acer iconia tablet bluetooth keyboard laptop computers acer,,,a500k01,49.0,,,,,,0.0
9,dell 15 standard yield black cartridge,printers,dell,series 15 black,18.97,dell 16 cartridge,,dell,,22.99 �,0.0
10,smead file folders 1 2 cut 1-ply top tab manila 100 box stationery & office machinery 34.05,,,15320,,lmae,,,14200,,0.0
11,hp 80 ink printhead printhead cleaner black c4890a 268.79,stationery & office machinery,hp,c4890a,,cd1db,retro c4890a,,c4890b,��,0.0
12,powermat wireless charging receiver for blackberry torch prl01-001-us 23.88,phone accessories,powermat,,,powermat wireless charging receiver for blackberry torch prlr01,portable computing display,,,�ecac-w-201-1201,0.0
13,duracell coppertop aa batteries 6pk 4133300407 0.0,electronics - general,duracell,,,duracell coppertop aa batteries 6pk 4133300406,"computers, storage min.",durace,,,0.0
14,platt blow molded case in black 37x 10.5 x 3.75 platt 19.99,electronics - general,,208,,blk blue platt blow molded case,low-cost high-tech-blues,,c-600-2,,0.0
15,accell proultra 4m hdmi ethernet cable tv accessories accell b116c-013b-40,,,,29.88,accell proultra 4m wireless e-mini cable tv accessories bundle,,,,33.29,0.0
16,brother dk2113 ql label printers continuous length tape stationery & office machinery dk2113,,brother,,64.88,,,alshon,48.97,78.95,0.0
17,dell 15 standard yield black cartridge,printers,dell,series 15 black,18.97,dell 15 standard color,products,,006-3X15,,0.0
