,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
0,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,VHS Outro ( Interlude ) X Ambassadors VHS $ 2.75 25-Jul-16,,,"Alternative, Music , Rock , Adult Alternative",,2016 KIDinaKORNER/Interscope Records,,orestro,1.0
1,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer (feat him) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music, Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,1.0
2,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer (feat. Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14 sembly,1.0
3,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 2.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14 𐌿同雅葉屆 𐌿同雅絓国名出版,1.0
4,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.19,"2014 Atlantic Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14 ilandJared2 2b - Lips (feat. Jaden Smith),1.0
5,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,,,,"Alternative , Music , Rock 'n'Roll",,2015 KIDinaKORNER/Interscope Records,,X Ambassadors V,1.0
6,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,,,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14 orest_music.com,1.0
7,"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11 8:09,1.0
8,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat . Mike Posner) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.34,"2014 Island Records , a division of UMG Recordings , Inc. , Safehouse Records , LLC",,10-Nov-14 ibraryCol Artist_Name,1.0
9,"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance, Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11 intestinal_Frequency,1.0
10, ,,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11 intestinal_Frequency, , 12 6:11, 1,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11 intestinal_Frequency,1.0
11, , 12 6:11,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11 intestinal_Frequency,2015 KIDinaKORNER/Interscope Records,,umerousYOURMONEY,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 0:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,1.0
12,2015 KIDinaKORNER/Interscope Records,,,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,umerousYOURMONEY, , 1) THE STYLES OF BURNHAM (THE ORIGINAL) 0.99 - 0.25 1:25 30-Jun-17, 1,"Alternative , Music , Rock , Adult Alternative",,1.0
13,2015 KIDinaKORNER/Interscope Records,,umerousYOURMONEY, ,,,"Alternative , Music , Rock , Adult Alternative",,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,_.010101011,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.26 1:25 30-Jun-15,,1.0
14,2015 KIDinaKORNER/Interscope Records,,umerousYOURMONEY, , 1) THE STYLES OF BURNHAM (THE ORIGINAL) 0.99 - 0.25 1:25 30-Jun-17,,"Alternative , Music , Rock , Adult Alternative",,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.99 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,2:25 PM,1.0
15,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,VHS Outro ( Interlude ) VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,umerous.com,1.0
16,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,inemusseller METRIC,1.0
17,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 2:45",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14 olitary,1.0
18,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,"Zedd The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,10-Mar-09,1.0
