ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
fisher-price rescue heroes : lava landslide,knowledge adventure,,fisher-price rescue heroes : lava landslide,knowledge adventure,,1
zoo tycoon 2 ( mac ),destineer,39.99,zoo tycoon 2 ( mac ),destineer,38.99 ,1
instant immersion language lab deluxe edition,topics entertainment,,title,topics entertainment,indian language $4.95,1
photo explosion 3.0,nova development,29.99,photo explosion 3.0,nova development,29.99,1
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,1
cosmi talking math & more for kids ( windows ),cosmi,,cosmi,color,,1
chicken hunter : license to grill the great poultry race,encore,9.99,chicken hunter : license to grill the great poultry race,encore,9,1
microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,11084.98,1
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95 ,1
more brain games,csdc,9.99,more brain games,csbc,29.99 ONSORED,1
elementary school advantage 2007,encore software,29.99,middle school advantage 2009,encore software,29.99,1
microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4,microsoft licenses project svr sa govt ( h2200301,microsoft licenses,3401.4 ,1
mcsa/mcse self-paced training kit ( exams 70-292 & 70-296 ) upgrading your certi,microsoft,70.0,jpeg/mtl,microsoft,89.95 ibabaCol title,1
tlc dr. seuss reading learning system 2008,encore,19.99,n. c i-c omnico software for personal computers,encore,19.99 cine-,1
cyberchase adventures : carnival chaos and casablanca quest,brighter-minds-media-inc .,19.99,digital games : d3-1,bright colors,19.99 ,1
gsp crossword addict,global-software-publishing-north-america-inc,9.99,gsp crossword addict,global-software-publishing-north-america-inc,09.99 ,1
instant immersion italian 2.0,topics entertainment,29.99,game,online stores,29.99 ,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2006,microsoft,$89.99 FTWARE,1
i love the usa,global-software-publishing,9.99,i love the,global-software-publishing,9.99,1
super collapse 3,mumbo jumbo,19.99, 3,mumbo jumbo,18.99 ,1
hoyle card games 2007,encore software,19.99,hoyle logo games 1996,encore software,19.99 cola tag,1
f-secure internet security 2007 3 pcs,global-marketing-partners,79.99,f-secure internet security 2008 2 pcs,global,49.95,1
onone software intellihance pro 4.1,onone software,,onone software intellihance pro 4.1,onone software,,1
quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks pos : multistore 6.2,intuit inc.,1599.95,1
wild photo effects ( jewel case ),on-hand-software,9.99,wild photo effect ( jewel case ),on-hand-software,9.99,1
adobe creative suite cs3 production premium,adobe,1699.0,bid $17.99 title,adobe,1699.0  verdant,1
singleclick network now ! pro,encore software,39.99,physical edition,digital DEC value,4.99,1
live bingo,imagination-international-corp,,sellbaz,imagination-international-corp,,1
computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,computrace lojack FOR LEADERSHIP 1 year license !,absolute software,49.95 ,1
sudoku puzzle addict,global-software-publishing-north-america-inc,6.99,sudoku puzzle addict,online,6.99 ,1
instant landscaping 3.0 [ lb ],topics entertainment,19.99,purchase,articles,1631.00,1
learn to play keyboard ( jewel case ),alfred publishing,9.99,book ( jewel case ),alfred publishing,9.99 ,1
punch 5 in 1 home design,punch ! software,39.99,punch 5 in 1 home design,punch ! program MAR,19.99 ibrary,1
webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,sphinx spy with antivirus family EDITION 3 sphinx,webroot software,$29.95 ,1
personal image manager,smith-micro-software,29.99,personal iDALE-USA,smith-micro-software,29.99 HCR title,1
gorilla 4 student,jungle software,199.0,gorilla 4 student,jungle software,199.0 ,1
adventure workshop 4th-6th grade 7th edition,encore software,19.99,adventure workshop 5th-6th grade 7th edition,encore software,19.99,1
gorilla 4 student,jungle software,199.0,,computerware,$499.99,1
watchguard serverlock manager ( 100 servers ),watchguard-technologies-inc,14995.0,,watchguard-technology-1,995.0,1
live bingo,imagination-international-corp,,mARTI,imagination-international-corp,,1
vault360 combo,navarre ( software ),29.95,viva-col console,navarre ( software ),33.99 cd,1
detto move2mac usb,detto-technologies-inc,71.31,detto-usb-tech,detto-techn,21.76 ,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,100.00,1
totally spies : zombie jamboree ( win/mac ),brighter-minds-media-inc .,9.95,100% cotton,blueline,$499 .95 ONSORED,1
symantec pcanywhere 12.0 host only,symantec,169.65,numsofts,symantec,169.65 ,1
neuratron photoscore professional 4,sibelius-software-ltd .,199.99,description,s,$19.99 CRIPTION,1
pantone reference library,pantone inc.,1623.06,IAG,pantone inc.,1623.06 ,1
e-mu em8669 modern symphonic orchestra,e-mu,499.99,e-mu em8671 modern symphonic orchestra,e-mu,299.99,1
onone software intellihance pro 4.1,onone software,,onone software intellihance pro 4.1,onone software,,1
cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systems-enterprise,,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9,CITIZEN,,1
logic pro 6,apple,999.99,logic pro 6,apple,1.99 ,1
apple mac os x tiger 10.4.6 ( mac dvd ),apple computer,129.0,apple mac os x tiger 11.1.6 ( mac dvd ),apple computer,129.0 ---------------------------------------------------------------------------------------------------------------- -,1
circus ponies-notebook 2.0 mac os,csdc,49.95,carnival ponies-notebook 2.0 mac OS,csdc,499.95 ,1
flash action phonics made easy,school zone,14.99,flash action phonics made easy,school zone,14.99 INSTAGRAM title,1
iremember digital scrapbooking 2.0,intriguing development,39.95,iremember electronic scrapbooking 2.0,compelling game,$19.99 ,1
computrace lojack for laptops : 1 year subscription,absolute software,49.99,computrace iphones coladora for laptops : 1,absolute software,50.99,1
simple movie maker,topics entertainment,19.99,single,,$19.99,1
apple garageband jam pack : rhythm section,apple,99.0,apple garageband jam pack : rhythm section,apple,99.0  color,1
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft purchase for ipod software for windows xp,valuesoft,29.95  title,1
punch ! home design architectural series 4000 v10,punch ! software,199.99,punch ! home designing architectural series 4000 v10,punch ! software,199.99 itle,1
power on now up to date & contact windows,power-on-software,129.99,power on now up to date & contact windows,power-on-software,129.99 ,1
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft transfer for ipod software for windows xp,valuesoft,79.99 ,1
detto move2mac usb,detto-technologies-inc,71.31,detto-technologies-inc,detto-technologies-inc,71.32 ,1
intervideo windvd 8 gold,intervideo,49.99,intervideo tv,intervideo,49.99,1
cosmi talking math & more for kids ( windows ),cosmi,,cosmi talking math & more for kids ( windows ),cosmi,,1
corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect,corel,1589.00 ,1
freestyle street basketball,sierra online,19.99,road tennis,freeview,4.99 ,1
adobe premiere pro 2.0,adobe,849.0,adobe Premiere pro 3.0,adobe,849.0 Interstitial adobe title,1
computrace lojack for laptops : 1 year subscription,absolute software,49.99,futex,absolute software,4.99 ,1
your desktop post office for pc,stamps.com,14.99,,stamps.com,14.99 ,1
hallmark card studio 2006,sierra home,29.99,title,sierra home,149.99,1
tune tools for ipod ( win/mac ),valusoft,19.99,tune tools for ipod ( x ),company,39.99 ,1
adobe after effects cs3,adobe,999.0,adobe after effects,adobe,999.0 ibrary,1
simple slide show,topics entertainment,19.99,,topics children,19.09 ,1
f-secure internet security 2007 3 pcs,global-marketing-partners,79.99,web-crypto-security-preview-win8 3 ppcs,c1-device col,"cd ""laptop $999"" cd ad-free col label",1
e-mu em8669 modern symphonic orchestra,e-mu,499.99,e-mu em8669 modern symphonic orchestra,e-mu,$12.99 cartON,1
weekly reader mastering elementary/middle school math learning,fogware publishing,19.99,weekly reader mastering elementary/middle school math learning,fogware publishing,$12.99  title,1
totally spies : zombie jamboree ( win/mac ),brighter-minds-media-inc .,9.95,bluejacked,bluejacked ( win,9.95 ???????? label (win/mac ),1
learning quickbooks 2007,intuit,39.95,Learn Quickbooks 2007,intuit,41.95,1
firstedge v 2.0 ( mac ),myob us,99.95,firstedge v 2.0(mac),oob us,99.95  title,1
middle school success deluxe 2008,topics entertainment,49.99,middle school success deluxe 2009,topics entertainment,49.99 ,1
chicken hunter : license to grill the great poultry race,encore,9.99,chicken hunter : license to grill the great poultry race,encore,9.99  title,1
adobe premiere pro 2.0,adobe,849.0,adobe premiere pro 2.0,adobe,"849.0   ""Adobe Premiere Runner 2.0"". (",1
monopoly here & now,encore,19.95,monopoly here & now,encore,19.95  title,1
flash action phonics made easy,school zone,14.99,tagline,sticker,1500,1
simple slide show,topics entertainment,19.99,simple slide show,topics entertainment,19.99 itle,1
instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion spanish deluxe 2.0,topics entertainment,price high,1
gorilla 4 student,jungle software,199.0,,,199.0,1
iris readiris pro 11.0 ( mac ),i.r.i.s.,129.95,obizcol iris readiris pro title,i.r.i.s.,129.95 ???????? ???????? ???????? ???????? ???????? ????????,1
instant immersion japanese 2.0,topics entertainment,19.99,instant immersion japanese 2.0,topics educational,49.99,1
print workshop 2007,valusoft,19.99,print workshop 2007,usoft,17.99 .,1
apple ilife '06 ( mac dvd ) [ older version ],apple computer,79.0,apple ilife '05 ( mac dvd ) [ newer version ],apple computer,$99.50  label,1
punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,punch ! software,49.99,1
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft t,valuesoft,29.95 ,1
adobe premiere pro cs3,adobe,799.0,adobe Premiere pro cs4,adobe,699.0 ItemThumbnailImage,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,dia iphone game,adobe,1299.0 ,1
peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting,sage software,169.99 il,1
punch ! professional home design suite,punch ! software,69.99,punch ! professional home designer suite,pluggen,49.99 FTWARE,1
sound forge audio studio 9,sony media,69.59,sound forge audio studio 8,sony media,89.64 ,1
punch super home suite 3.0,punch ! software,49.99,punch new master suite,punch ! software,490.99,1
giggles computer funtime for baby shapes ( win/mac ),navarre ( software ),24.95,laughles computer funtime for baby shapes ( win/mac ),navarre ( software ),29.99    ,1
instant immersion spanish deluxe 2.0,topics entertainment,49.99,real world spanish deluxe 10.0,catalog,$29.99  title,1
the printshop 20 professional publisher,broderbund,69.99,the printshop 20 professional publisher,broderbund,69.99,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe Creative Suite cs3 master collection upgrade [ mac ],adobe,1399.0  title,1
computrace lojack for laptops : 1 year subscription,absolute software,49.99,jamesbaz 3 months subscription,absolute software,49.,1
simple slide show,topics entertainment,19.99,simple slide show,topics educational,19.99 ONSORED,1
form workshop 1200,valusoft,29.99,form workshop 1200,usoft,$35.99,1
safekeeper plus,bling software,,safekeeper plus,bling software,,1
neuratron photoscore professional 4,sibelius-software-ltd .,199.99,neuratron picscore pro 4,sibelius-software-ltd .,8.95 ,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,$,1
logic pro 6,apple,999.99,logic pro 6,apple,999.99   title,1
computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,computerace,absolute software,49.95 ,1
safekeeper plus,bling software,,free,bling software,,1
learn to play keyboard ( jewel case ),alfred publishing,9.99,read more,alfred publishing,9.99,1
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99 ibrarytitle,1
tune tools for ipod ( win/mac ),valusoft,19.99,tune tools for ipod ( win/mac ),num,19.99 ,1
power translator 11 premium,language-engineering-co-llc,79.99,power translator 6 premium,language-engineering-co-llc,89.99,1
adobe creative suite cs3 production premium,adobe,1699.0,adobe creative suite cs3 production premium,advertising,1699.0 igslist adobe,1
quickbooks customer manager 2.5,intuit,79.95,quickbooks customer manager 2.5,intuit $249.99,29.99 ,1
the printshop business card maker ( jewel case ),riverdeep-learning-company,9.99,the printshop business card maker ( jewel case ),,9.99 ,1
clifford the big red dog thinking adventures,scholastic,9.99,clifford the grand red dog thinking adventures,scholastic,9.99,1
the sims 2 : open for business expansion pack,aspyr media,34.99,the sims 2 : open for business expansion pack,aspyr media,34.99  title,1
freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,  rofl,humongous entertainment,29.95 ,1
instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion spanish deluxe 2.0,topics industry,49.99,1
instant immersion spanish ( audio book ),topics entertainment,,product,topics entertainment,,1
hallmark card studio 2006,sierra home,29.99,hallmark card studio 2006,sierra home,29.99 itle,1
instant immersion spanish deluxe 2.0,topics entertainment,49.99,english language deluxe 1.0,topic,49.99 ,1
business plan writer deluxe 8.0 2005,nova development,99.99,business plan writer deluxe 8.0 1997,,99.99 ,1
your desktop post office for pc,stamps.com,14.99,your desktop post office for pc,stamps.com,14.99 ,1
sound forge audio studio 9,sony media,69.59,tuxedo_podcast,sony media,19.99,1
peachtree by sage premium accounting 2007,sage software,499.99,peachtree by sage,peachtree,$69.99 BuyableInstoreAndOnline,1
x3 : reunion virtual programming ltd.,csdc,39.95,x3 : nostalgia virtual programming ltd.,csdc,400 .99 ,1
cosmi talking math & more for kids ( windows ),cosmi,,cosmi talking math & more for kids ( iphone),cosmi,,1
apple garageband jam pack : remix tools,apple,99.0,apple garageband jam pack : remix tools,apple,99.0 ,1
zoo tycoon 2 ( mac ),destineer,39.99,zoo tycoon 2 ( mac ),destineer,39.99  ,1
instant immersion language lab deluxe edition,topics entertainment,,instant immersion language lab deluxe edition,topics india,99,1
oxford world encyclopedia,tri synergy,19.99,oxford world encyclopedia,Tri,19.99,1
instant immersion language lab deluxe edition,topics entertainment,,instant immersion language lab deluxe edition,topics entertainment,,1
the print shop pro publisher 22 deluxe [ dvd ],encore,99.99,the print shop pro publisher 22 deluxe [ HVU,encore,99.99 ,1
classification & ecology ( win/mac ) ( jewel case ),fogware publishing,9.99,classification & ecology ( win/mac ) ( cream case ),fogware publishing,9.99 ,1
quicken 2007 premier,intuit,79.95,autocol title,intuit,30.95,1
peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting,sage software,89.99 ?????-,1
