ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2007,sage software,169.99 ,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,"259.95 2nd gen MSX, MSXV, VXR, and MS",1
corel wordperfect office 12 standard upgrade,corel,149.99,top100,corel,149.99 ,1
more brain games,csdc,9.99,more brain games,csdc,8.99 umerous,1
imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe [ lb ],imsi design,19,1
freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,humongous entertainment,30.95 ,1
adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],icho adobe,999.0 ,1
checkmark multiledger,checkmark software,399.0,checkmark multiledger,checkmark system,399.0 ,1
form workshop 1200,valusoft,29.99,form workshop 1200,USoft,29.99 col title,1
hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99 col title,1
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,Microsoft office student and teacher edition 2004 macintosh,microsoft,149.99 ogyos,1
punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,! software,49.49 ,1
imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe [ lb ],im,19.95 luster,1
adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe SEWORLD DECADE 2.0 [ lb,adobe,99.99 ,1
adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs3 [ mac ],,144.8 ,1
punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite,punch ! software,69.99 ,1
adobe contribute cs3 [ mac ],adobe,149.0,adobe donate cs3 [ mac ],adobe,149.0 ONSORED,1
adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs1 [ mac ],,149.0 ,1
peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2005,sage software,peachtree by,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe Creative suite cs3 master collection upgrade [ mac ],adobe,1399.0 ,1
form workshop 1200,valusoft,29.99,form workshop 1200,usoft,29.99 iphate,1
punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite,punch ! software,68.99 chwitz,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,263.45 ,1
checkmark multiledger,checkmark software,399.0,checkmark multi-count,checkmark software,399.1 CED title PRIMO INDIVIDUAL,1
form workshop 1200,valusoft,29.99,3X,usoft,29.99 ,1
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,quality professional 6.5 upgraded from standard to quality,quality professional 6.5 premium from standard to premium,500.00,1
form workshop 1200,valusoft,29.99,form workshop 1300,43.99 ,33.99 ,1
freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95 ,1
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 macintosh,microsoft,499.99 loneliecol title LOLLIE,1
pc tutor learn windows vista & office 2007,nova development,29.99,pam tutor learn windows vista & office 2006,nova development,29.99 _.,1
adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],adobe,"150.0 Regarding your offer, please inform us in detail.",1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0 _.,1
adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],adobe,1599.0 BuyableInstoreAndOnline,1
