,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
0,instant immersion japanese 2.0,topics entertainment,19.99,topics entertainment instant immersion italian 2.0,,13.59,0.0
1,microsoft word 2004 upgrade ( mac ),microsoft,109.99,10171 microsoft windows vista business 8.0 with sp2 upgrade license pack,,1609.87,0.0
2,zonealarm wireless security,encore software,29.99,encore software 11282 pcwall internet security suite 2008 for windows 3.0 for mac,,12.97,0.0
3,reader rabbit learning system 1st grade,encore software,29.99,adobe creative suite 3 design standard,,462.27,0.0
4,individual small business advantage deluxe 2006,individual,49.99,individual software business planmaker individual,,109.99,0.0
5,instant immersion spanish ( audio book ),topics entertainment,,topics entertainment instant immersion ingles audio ( audio book ),,27.9,0.0
6,digidesign music production toolkit ( pro tools le ),digidesign,495.0,digidesign music production software,,439.99,0.0
7,adobe production studio premium,adobe,1699.0,adobe indesign cs3 for mac upgrade,,934.0,0.0
8,instant immersion spanish audio deluxe,topics entertainment,39.95,instant immersion 17 languages,,26.75,0.0
9,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,microsoft windows server 2003 client additional antivirus software for software licenses 5 pack,,709.93,0.0
10,instant immersion spanish audio deluxe,topics entertainment,39.95,instant immers german dlux 2,,19.99,0.0
11,symc backup exec sbs std 11d win small business server standard,symantec,811.21,punch software 41100 punch ! home design architect landscape design suite,,129.99,0.0
12,lotus dev . ibm db2 net search extender v. 8.2 media bb0kyna ),lotus development corp,,lotus development 6 pc,,79.99,0.0
13,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft word 2007 upgrade ( pc & mac ),,149.99,0.0
14,world book encyclopedia 2006,topics entertainment,19.99,topics entertainment instant immersion japanese ( audio book ),,22.97,0.0
15,quickbooks credit card processing kit 3.0,intuit,39.95,quickbooks ( r ) premier 2007,,439.87,0.0
16,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,29104545 microsoft powerpoint 2004 ( mac ),,229.99,0.0
17,tournament poker 2005,eagle games,20.99,microsoft premier windows tax & finance software,,299.99,0.0
18,instant immersion spanish ( audio book ),topics entertainment,,instant immersion italian,,22.17,0.0
19,microsoft word 2004 ( mac ),microsoft,229.99,microsoft ( r ) excel 2004 ( tm ),,192.99,0.0
20,webroot spy sweeper antispyware 5.x,webroot software,29.95,webroot spy sweeper antiispyware 3.0,,599.0,0.0
21,microsoft word 2004 upgrade ( mac ),microsoft,109.99,microsoft windows vista business upgrade ( pc ),,259.99,0.0
22,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe cs3 design standard upgrade,,449.99,0.0
23,microsoft mappoint 2006 standard edition,microsoft,299.0,microsoft ( r ) money 2008 digital audio,,79.95,0.0
24,adobe premiere pro cs3 upgrade,adobe,299.0,adobe creative suite 3 design premium product upgrade package 1 user academic,,229.95,0.0
25,adobe acrobat 7.0 professional,adobe,449.99,adobe dreamweaver cs3 extended,,249.99,0.0
26,microsoft windows xp professional full version with sp2,microsoft,299.99,microsoft windows server 2003 client additional subscription package for computer users,,1252.0,0.0
27,vcomm system suite professional 7,avanquest,49.95,vcomm advanced avanquest internet security,,62.99,0.0
28,quickbooks pro 2007 small business financial software,intuit,199.95,quickbooks pro 2007 software for small business finance software,,109.98,0.0
29,quickverse mac bible study 2007 white box,findex,59.95,quickverse inc ltd. professional,,124.48,0.0
30,quicken 2007 for mac,intuit,69.95,quicken ( r ) 2007 for mac english,,599.95,0.0
31,adobe creative suite cs3 production premium,adobe,1699.0,adobe creative suite 3 ( cs3 ) design premium upgrade,,849.99,0.0
32,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft ( r ) windows ( r ) xp home edition,,16.95,0.0
33,punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape and home design,punch software,734.0,0.0
34,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,adobe cs3 design standard upgrade,,949.99,0.0
35,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe creative suite 3 web standard complete package 1 user webbasic ( sb ),,814.85,0.0
36,adobe photoshop cs3 extended,adobe,999.0,adobe photoshop cs3 extended,,999.0,0.0
37,weekly reader mastering high school 2008,fogware publishing,29.99,reader rabbit reader rabbit 2 sp2,fogware publishing,59.99,0.0
38,instant immersion french 2.0,topics entertainment,29.99,instant immersion japanese ( audio book ) ( audio book ),,439.99,0.0
39,elementary advantage 2008,encore,39.99,elementary advantage 2008,,24.99,0.0
