ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
microsoft works suite 2006,microsoft,99.0,microsoft works suite 2006,microsoft,99.0 ,0
microsoft onenote 2007 upgrade,microsoft,79.95,microsoft onenote7v1 onenote2008 upgrade,microsoft,79.95 n2v3 onenote2008,0
microspot macdraft professional ( mac ),microspot ltd.,349.99,microspot macdraft professional ( mac ),microspot li ( ltd ),349.99,0
scrapbook for windows,abacus,,scrapbook for windows,abacus,,0
microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99,microsoft publisher with digital imaging 2003 [ old version ],microsoft,199.99 [ old version ],0
family tree maker version 16 essentials,encore,29.95,family tree maker version 16 essentials,encore,33.99  title,0
pop-up stopper professional,panicware,29.99,pop-up stopper professional,panicware,29.99 ,0
scrapbook for windows,abacus,,scrapbook for windows,val,,0
microsoft outlook 2007,microsoft,109.95,microsoft view 2009,microsoft,97.01 ,0
h & r block taxcut 2006 home & business + state,h & r block,79.99,h & r item,h & r block,79.99 ,0
instant immersion japanese 2.0,topics entertainment,19.99,instant immersion japanese 1.0,topics entertainment,19.99 BIL,0
world of warcraft pc,vivendi,35.7,world of warcraft pc,vivendi,39.99,0
midway arcade treasures ( jewel case ),encore software,9.99,arcade treasures ( jewel case ),encore software,9.99  ,0
punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch,punch! software,69.95 iom,0
apple shake 4.1 visual effects ( mac ),apple computer,499.0,apple shake 4.1 visual effects ( mac ),apple computer,499.0  DISCLAIMER:   ,0
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,,,39.99 ..............................................,0
quickbooks premier non-profit edition 2005,intuit inc.,499.95,fastsell edition 2004,Intuit Inc.,699.99 ,0
axis & allies collector 's edition,encore,19.99,axis & allies,encore,19.99 ,0
adobe indesign cs3 [ mac ],adobe,699.0,ibit,adobe,699.0 ,0
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft tune transfer for ipod software for windows xp,valuesoft,32.93  col title,0
adobe indesign cs3 upgrade from pagemaker,adobe,199.0,ADDISS   adobe com,adobe,199.0 ,0
onone software pxl smartscale windows and macintosh ),onone software,,onone software pxl smartscale windows and macintosh,onone software,,0
avid liquid vs 7 software,avid technology,888.75,898 software,avid technology,888.75  cola-cola,0
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,,adobe,$699.99 ONSORED,0
microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft office 2008 standard update,,99.99 ,0
microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft PRODUCTION date 16 February,microsoft,159.98 ,0
bodyworks 6.0 25-user building site license,learning company,399.95,bodyworks 8.0 25-user building site license,learning company,499.95 ,0
steinberg nuendo 3 digital audio software,steinberg,2499.0,steinberg,steinberg,1882.0  title,0
computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,COBLOX PRICE,absolute software,49.95 ONSORED title,0
microsoft digital image suite plus [ lb ],microsoft software,129.95,microsoft digital image suite plus [ lb ],microsoft software,18.,0
adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe Creative suite cs3 design premium,adobe,1799.0 Val title,0
adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0,adobe digital suite cs3 web premium downsell [ ms ],adobe,99999.00,0
zoboomafoo animal logic cd/workbook combo,brighter minds media inc.,14.99,wysiwibooranimation cd/workbook combo,brighter minds media INC ecol,$9.99,0
microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95,mfr basic upgrade [ dvd ],minibar,$19.99,0
microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99,microsoft publisher with digital imaging 2004 [ old version ],microsoft,249.99  title,0
adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0 ,0
microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,microsoft visual studio team suite 2012 with msdn premium ( cd & dvd ),microsoft,10949.0 ,0
microsoft office small business 2007 full version,microsoft,449.95,Microsoft office low cost business product,micro,3495.95 ONSORED_VINTAGE_CARE_SPECIAL,0
microsoft windows server 2003 client additional license for users-5 pack,microsoft,809.0,microsoft windows,pc_col title,1039.0 ibaba,0
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,Ire,0
instant immersion american sign language win/mac,topics entertainment,9.99,product LINEUP TITLE INDIVIDUAL,topics entertainment,9.99,0
apple final cut studio 2 upgrade from final cut pro ( mac ),apple,699.0,apple final cut studio 1 upgrade from final cut pro ( mac ),apple,3999 .99,0
adobe indesign cs3 [ mac ],adobe,699.0,adobe indesign cs1,adobe,599.0 ,0
peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,Col title,sage software,599.99 ,0
hoyle puzzle & board games 2007,encore software,19.99,hoyle puzzle & board games 2007,encore software,19.99 ,0
quicken 2007 basic,intuit,29.95,full color,intuit,18.99,0
pop-up stopper professional,panicware,29.99,pop-up stopper professional,panicware,,0
cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,,0
steinberg cubase studio 4,steinberg,499.99,steinberg cubase studio 5,steinberg,3999.99 ,0
adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,"adobe Creative Suite CS3, priced below",adobe,price val 39.9 ,0
family tree maker version 16 collectors edition,encore software,,family tree maker version 16 collectors edition,encore software,,0
peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,peachtree by lavie premium accounting for nonprofits 2007,sage software,599.99 ,0
