ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Belgian Wild Ale,Biscuit Beer Co. / VH Lager,English-Style / Dark Ale,6.00 % vironmentallay.xml . IPA Style,1
Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,"4.50 % BASICS CATEGORY Citra, Citra, Citroe",1
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 % ,1
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Sierra White Ale,Gold Peak Restaurant & Brewery,European Amber / White Ale,4.50 % ***************************** ************************! ************************! ************************! ************************,1
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,6 Star Anheuser-Busch InBev Beer,The German Shekel (Budapest).,American Pale Ale,5.00 % ,1
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %     ,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,- ,1
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %   ,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Spicy American IPA,Chippy Belgian Wines and Beer,American Amber / Amber,-  (Tours,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,6.00 % irez,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % idently,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 % AMERICAN AEROGY,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Oak Street Burger AND Brewery,American Amber / White Ale,- ,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % ONSOREDcol Beer_Name,1
