,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
0,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Lemon,I & I Brewing,Italian Amber / Yellow Ale,7.80 % ༧༧་�,1.0
1,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Bitter Gold BEER,Champagne Beers,4.30 % 𦃿𦥁����,1.0
2,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,IPA Cola Cola,10.00 % 𦬵𦗰⋅𦷍 �,1.0
3,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom (BV3),I & I Brewing,American Amber / Red Ale,5.30 % ????,1.0
4,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,1.0
5, ,I & I Brewing,American Amber / Red Ale,5.30 %, ," For information about all styles of American Amber Ale available in Brewpub, please visit the information tab above.", 1,5.30 %,1.0
6, ," For information about all styles of American Amber Ale available in Brewpub, please visit the information tab above.",American Amber / Red Ale,5.30 %,I & I Brewing,American Amber / Red Ale,5.45 % 𓆌𓰽,Bitter Orange Blossom,1.0
7,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,1.0
8,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %, 711 W LADENBURG ROAD, 1, , ,1.0
9, ,I & I Brewing,American Amber / Red Ale,5.30 %,American Amber / Red Ale,5.30 % Beer_Style NAME BABY Name,Bitter Orange Blossom,I & I Brewing,1.0
