,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"bharat k. bhargava , evaggelia pitoura",sigmod record,1995,flexible querying on multistal : the future of mobile management,"huang-song cha , hai-yi-wen hui",sigmod conference,2001 ��,1
1,tools and transformations - rigorous and otherwise - for practical database design,"david s. reiner , arnon rosenthal",acm trans . database syst .,1994,distributed object system architectures for persistent database systems,"daniel dennis bertner , christoph ritkehmann , josé rodski",acm trans . database syst .,1994 ��,1
2,telegraphcq : continuous dataflow processing,"mehul a. shah , wei hong , sirish chandrasekaran , samuel madden , sailesh krishnamurthy , amol deshpande , frederick reiss , owen cooper , joseph m. hellerstein , michael j. franklin",sigmod conference,2003,efficient data processing for persistent data,"jim s. clai , jens k. j. g. barret , roberto r. de",sigmod conference,2002 ��院1,1
3,sit-in : a real-life spatio-temporal information system,"stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi",vldb,2001,semantic analysis for object storage platforms : an update,"stefano de francisci , rossella olangi , mario paolucci , leonardo acosta",vldb,2002 �,1
4,incremental computation and maintenance of temporal aggregates,"jun yang , jennifer widom",vldb j.,2003,sql: a unified data access and querying system,"jun yang , jennifer widom",vldb j.,2003 �,1
5,order-of-magnitude advantage of tpc-c though massive parallelism,charles levine,sigmod conference,1995,a new dynamic database for relational-query engines,"tianjingsheng m. chun , yulie s. yan Buh",sigmod conference,1996 ��,1
6,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"arthur t. whitney , dennis shasha",sigmod conference,2001,large data-dimensional ( bss ) relations for a,"timothy stokes , marc-fernando d. carre , david a. sha , raghunath v. joshi",sigmod conference,2001 ��,1
7,the dangers of replication and a solution,"dennis shasha , jim gray , patrick e. o'neil , pat helland",sigmod conference,1996,efficient database access through a system-management system,"christos christos-radolfoia , eric kirsch",sigmod conference,1998 ��,1
8,algebraic change propagation for semijoin and outerjoin queries,"timothy griffin , bharat kumar",sigmod record,1998,the relational query programming paradigm,"david e. noll &uwelton , jill f. p. barre , dan m. bittman , kevin wen",vldb,1999 ��,1
9,panel : querying networked databases,"divesh srivastava , nick koudas",sigmod conference,2003,querying networked databases,darshan jasthani,,2003 ަ,1
