ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
infering structure in semistructured data,"rajeev motwani , serge abiteboul , svetlozar nestorov",sigmod record,1997,the acm multimedia database system,jiawei han,sigmod record,1998,0
accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",vldb,1995,managing xml data in a relational database,"raghu ramakrishnan , d. sivasankaran",very large data bases,1995,0
mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"dimitris papadias , yufei tao",vldb,2001,query unnesting in object-oriented databases,"jason mchugh , hector garcia-molina",sigmod conference,2002,0
reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",sigmod record,2002,report on b7 conference 's design workshop,"david j. dewitt , christian s. jensen , alon y. levy , cem evrendilek",sigmod record,1997,0
effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,the semantics of join selectivity and integrity constraints,"hector garcia-molina , jerry cluet connell",acm sigmod record,1995,0
evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"alfons kemper , reinhard braumandl , jens clauen",vldb,1998,query optimization in compressed web servers,philip s. yu,very large data bases,2001,0
database research at arizona state university,"suzanne w. dietrich , forouzan golshani , susan darling urban",sigmod record,1996,on-line federated database exploration with oid trees,"sridhar ramaswamy , gautam das , werner kaup , david m. seligman",sigmod conference,1999,0
combining fuzzy information : an overview,ronald fagin,sigmod record,2002,data mining with semi-structured data,klemens j. franklin,sigmod record,2002,0
proximity search in databases,"narayanan shivakumar , hector garcia-molina , roy goldman , suresh venkatasubramanian",vldb,1998,materialized view selection in spatial databases,"marc gyssens , minos n. garofalakis , hans-peter kriegel",international conference on management of data,1998,0
experiences in federated databases : from iro-db to miro-web,"anthony tomasic , peter fankhauser , j. muoz , m. lopez , georges gardarin",vldb,1998,database management systems and the internet,"jonathan bauzeraga , john funderburk",acm sigmod record,1998,0
coalescing in temporal databases,"michael d. soo , richard t. snodgrass , michael h. bhlen",vldb,1996,the database management team at university of nt columbia,l. r. wiest,acm sigmod record,2000,0
accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",vldb,1995,object-oriented database-relational database systems,"surajit chaudhuri , giuseppe psaila",acm sigmod record,1999,0
"research and practice in federated information systems , report of the efis ' 2000 international workshop","ralf-detlef kutsche , geert-jan houben , mark roantree , bodo rieger , wilhelm hasselbring , kazimierz subieta , willem-jan van den heuvel",sigmod record,2000,database systems management and the internet,"yannis boas , maria cheniolo-champagne",acm trans . database syst .,2003,0
dimensionality reduction for similarity searching in dynamic databases,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal",sigmod conference,1998,materialized view selection for spatial queries,rakesh agrawal,"a. rudra , n. subrahmanian , m. vasilis , c. seluk candan",2003,0
on completeness of historical relational query languages,"james clifford , albert croker , alexander tuzhilin",acm trans . database syst .,1994,the aditi deductive database system,"surajit chaudhuri , surajit chaudhuri",vldb,1999,0
index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",vldb j.,1996,efficient index nesting in object-relational and object-relational databases,jiawei han,vldb j.,2003,0
an introduction to spatial database systems,ralf hartmut gting,vldb j.,1994,query unnesting in object-relational and object-oriented databases,alin dobra,very large data bases,1999,0
progressive approximate aggregate queries with a multi-resolution tree structure,"iosif lazaridis , sharad mehrotra",sigmod conference,2001,query evaluation in spatio-temporal databases,"divesh srivastava , peter j. haas , jayant haritsa",sigmod conference,1996,0
finding intensional knowledge of distance-based outliers,"raymond t. ng , edwin m. knorr",vldb,1999,a logical foundation for deductive object-oriented databases,"binto george , jennifer widom",acm sigmod record,1997,0
the structured information manager : a database system for sgml documents,ron sacks-davis,vldb,1996,a new mining approach to mining association rules in large sql databases,"n. mamoura , k. chan , m. roussopoulos",sigmod record,1999,0
an extensible notation for spatiotemporal index queries,"richard t. snodgrass , vassilis j. tsotras , christian s. jensen",sigmod record,1998,materialized view selection in high dimensional spaces using generalized rank-by-order transformations,"jiawei han , ming zhang , jianping huang , xiong wang",sigmod record,2000,0
book review column,karl aberer,sigmod record,2002,the lore team,oliver g &#225; alexander brodsky,acm sigmod record,2001,0
vxmlr : a visual xml-relational database system,"aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang",vldb,2001,efficient filtering of xml data with nested predicates,"shuh-ying lin , jiawei han , stella gatziu",international conference on management of data,2001,0
supporting top-k join queries in relational databases,"walid g. aref , ahmed k. elmagarmid , ihab f. ilyas",vldb,2003,similarity search strategies for similarity databases,"richard hull , ralf hartmut gting",acm sigmod record,1999,0
query processing techniques for arrays,"arunprasad p. marathe , kenneth salem",vldb j.,2002,efficient extraction and integrity checking of xml relational data,"karthikeyan ramakrishnan , david t. milliner",sigmod record,2001,0
maintenance of data cubes and summary tables in a warehouse,"inderpal singh mumick , dallan quass , barinderpal singh mumick",sigmod conference,1997,data access and management for wireless information systems,michael j. carey,sigmod conference,1999,0
locating data sources in large distributed systems,"david j. dewitt , leonidas galanis , shawn r. jeffery , yuan wang",vldb,2003,approximate query languages for querying xml documents,"daniela florescu , julia e. peters , jerry kiernan",sigmod record,1999,0
cure : an efficient clustering algorithm for large databases,"sudipto guha , rajeev rastogi , kyuseok shim",sigmod conference,1998,the aditi deductive database system,christos faloutsos,acm sigmod record,1997,0
a database system for real-time event aggregation in telecommunication,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",vldb,1998,spatial databases and data warehousing,"marco mattoschi , roberto ceri :",sigmod record,2003,0
