,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995 �,0
1,the whips prototype for data warehouse creation and maintenance,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997,the distributed databases,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997 ;;;;;;;;;;;;;;;;;;;;;;;;,0
2,efficient mining of xml query patterns for caching,"liang huai yang , mong-li lee , wynne hsu",vldb,2003,database scalability,"liang lih yuan , ixiao jincheng",vldb,2003,0
3,database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,,vldb,1996 �claudio de rocca,0
4,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997 ��,0
5,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998,the trigs active object-oriented database system - an overview,"gerti kappel , wer",sigmod record,1998,0
6,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995 �c,0
7,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,SQL,"jian r. chirkin , suki scarcato",vldb j.,2012 ��,0
8,data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003,data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003 ��,0
9,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001 [SUPERSEDENCE,0
10,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"rafael benham , eric m. ausl , jorge apessar",acm trans . database syst .,1996 GEN 2 ENG,0
11,incremental maintenance for materialized views over semistructured data,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vldb,1998,metadata extraction with data from textual lists,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vlasan,1998 ��,0
12,the jungle database search engine,"linas bukauskas , curtis e. dyreson , michael h. böhlen",sigmod conference,1999,the search for semantic grammars,", michael h. böhlen , and robert p. k. p. burch",sigmod conference,1999 �最迁久�,0
13,an interpolated volume data model,"amarnath gupta , tianqiu wang , simone santini",vldb,2003,data modeling in dynamic,nivar b. jefferson,vldb,2003 ��,0
14,database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,susan malaika,vldb,1995 ��,0
15,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995 �,0
16,the whips prototype for data warehouse creation and maintenance,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997,the distributed databases,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997 ;;;;;;;;;;;;;;;;;;;;;;;;,0
17,efficient mining of xml query patterns for caching,"liang huai yang , mong-li lee , wynne hsu",vldb,2003,database scalability,"liang lih yuan , ixiao jincheng",vldb,2003,0
18,database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,,vldb,1996 �claudio de rocca,0
19,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997 ��,0
20,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998,the trigs active object-oriented database system - an overview,"gerti kappel , wer",sigmod record,1998,0
21,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995 �c,0
22,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,SQL,"jian r. chirkin , suki scarcato",vldb j.,2012 ��,0
23,data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003,data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003 ��,0
24,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001 [SUPERSEDENCE,0
25,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"rafael benham , eric m. ausl , jorge apessar",acm trans . database syst .,1996 GEN 2 ENG,0
26,incremental maintenance for materialized views over semistructured data,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vldb,1998,metadata extraction with data from textual lists,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vlasan,1998 ��,0
27,the jungle database search engine,"linas bukauskas , curtis e. dyreson , michael h. böhlen",sigmod conference,1999,the search for semantic grammars,", michael h. böhlen , and robert p. k. p. burch",sigmod conference,1999 �最迁久�,0
28,an interpolated volume data model,"amarnath gupta , tianqiu wang , simone santini",vldb,2003,data modeling in dynamic,nivar b. jefferson,vldb,2003 ��,0
29,database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,susan malaika,vldb,1995 ��,0
30,report on first international workshop on real-time database systems,"sang hyuk son , kwei-jay lin , azer bestavros",sigmod record,1996,database design and development,"konstantin kavlukov , hukul chaudhuri",seattlet,1996 �� bibliographic references on paper types,0
31,adaptive algorithms for set containment joins,"hector garcia-molina , sergey melnik",acm trans . database syst .,2003,application logic for multidimensional data,"hector garcia-molina , sergey melnik",acm trans . database syst .,2003 ÃÂÃÂ,0
32,update propagation protocols for replicated databases,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",sigmod conference,1999,update propagation protocols for replicated databases,"raghavan komondoor ,",sigmod conference,1999 ��士 中国文 信们語,0
33,index configuration in object-oriented databases,elisa bertino,vldb j.,1994,database system administrators vs. consultants,hudomir,vldb j.,1994 Â,0
34,mining the world wide web : an information search approach - book review,aris m. ouksel,sigmod record,2002,mining the world wide web : an information search approach - book review,m. ouksel,sigmod record,"2002 _______________________________________________ supporting information software for programmers by david r. m. jackson , weselaw yamwong",0
35,"aquery : query language for ordered data , optimization techniques , and experiments","alberto lerner , dennis shasha",vldb,2003,"aquery : query language for ordered data , optimization techniques , and experiments",david j. van K,vldb,2003 ��,0
36,efficient view maintenance at data warehouses,"tolga yurek , divyakant agrawal , amr el abbadi , ambuj k. singh",sigmod conference,1997,hierarchical structure theory to relational database systems,"tolga yurek , divyakant agrawal , ajaye jyala",icsu,1996 ��,0
37,rights protection for relational data,"sunil prabhakar , radu sion , mikhail j. atallah",sigmod conference,2003,rights protection for relational data,sval leon,sigmod conference,�� 2003 APTER VI - REQUESTS,0
38,spatial indexing of high-dimensional data based on relative approximation,"shunsuke uemura , masatoshi yoshikawa , yasushi sakurai , haruhiko kojima",vldb j.,2002,spatial indexing of high-dimensional data based on relative approximation,"shunsuke uamiguchi , kagimasa ross",vldb j.,2001 ��,0
39,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996,information retrieval for databases,"zeratrav kyuneng, michael trommel",vldb (varying distributions of information,1997 ��,0
40,managing intervals efficiently in object-relational databases,"thomas seidl , marco pötke , hans-peter kriegel",vldb,2000,resource extraction and management of multilevel lists,"j. van den Heuvel (colon, jennifer berstein",viaduct,1994 ��,0
