ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
efficient dynamic mining of constrained frequent sets,"l lakshmanan , c leung , r ng",acm trans . database syst .,2003,efficient dynamic mining of constrained frequent levels,"l lakshmanan , c valdiez",acm trans . database syst .,2003,1
high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod conference,1997,high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , m johanan",sigmod conference,1997,1
capbased-ams : a capability-based and event-driven activity management system,"p hung , h yeung , k karlapalem",sigmod conference,1996,capbased-ams : a capability-based and event-driven activity management system,"p hung , j torkmueller , k khristos , l wennhoff , s zdonik",sigmod conference,1996,1
a conceptual architecture for semantic web enabled web services,"c bussler , d fensel , a maedche",sigmod record,2002,a conceptual architecture for semantic web enabled web services,"c bussler , d fensel , a maedche",,2002.0,1
a compact b-tree,"p bumbulis , i bowman",sigmod conference,2002,a compact b-tree,"p bumbulis , i bowman","acm sigmod int . conf . on very large data bases ,",,1
supporting state-wide immunisation tracking using multi-paradigm workflow technology,"a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",vldb,1996,supporting state-wide parallelisation tracking using multi-paradigm workflow technology,"a sheth , k kochut , j miller , s das , c linand",vldb,,1
mining deviants in a time series database,"h jagadish , n koudas , s muthukrishnan",vldb,1999,mining deviants in a time series database,"h jagadish , n koudas , s muthukrishnan",vldb,,1
push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000,push technology personalization through event correlation,a zaharios,,,1
fast parallel similarity search in multimedia databases,"s berchtold , c bhm , b braunmller , d keim , h kriegel",sigmod conference,1997,fast parallel similarity search in multimedia databases,"s berchtold , a schwarz",,,1
fast parallel similarity search in multimedia databases,"s berchtold , c bhm , b braunmller , d keim , h kriegel",sigmod conference,1997,fast parallel similarity search in multimedia databases,"s berchtold , c bhm , b braunmller , d keim , h kriegel",,,1
discovery of multiple-level association rules from large databases,"j han , y fu",vldb,1995,discovery of multiple-level association rules from large databases,"j han , y",vldb,1995,1
incremental maintenance for materialized views over semistructured data,"s abiteboul , j mchugh , m rys , v vassalos , j wiener",vldb,1998,incremental maintenance for materialized views over semistructured data,"s abiteboul , j mchugh , m rys",vldb,,1
query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,1998,query flocks : a generalized association-rule mining tutorial,"s tsur , j ullman , s tsur , j ullman",,,1
secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,,1
from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity,s madnick,vldb,1995,from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity,"s madnick , t florescu , t morrison",vldb,,1
chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999,chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl",sigmod record,,1
"towards adaptive workflow systems , cscw-98 workshop report",,,1999,"towards adaptive workflow systems , cscw-98 workshop report","l gravano , s garofalakis , h garofalakis",,,1
versioning and configuration management in an object-oriented data model,e sciore,vldb j.,1994,versioning and configuration management in an object-oriented data model,e sciore,vldb j.,1994,1
experiences in mining aviation safety data,"z nazeri , e bloedorn , p ostwald",sigmod conference,2001,experiences in mining aerospace safety data,"z nazeri , e bloedorn , p o'connell , t rao , j widom",sigmod conference,2001,1
treasurer 's message,,,2002,treasurer 's message,,,2002,1
self-organizing data sharing communities with sagres,"z ives , a levy , j madhavan , r pottinger , s saroiu , i tatarinov , s betzler , q chen , e jaslikowska , j su , w yeung",sigmod conference,2000,self-organizing data sharing communities with sagres,"z jaedecke , i narasayya","sigmod conf ,",,1
exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",,,1
efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997,efficient view maintenance at data warehouses,"a breitelke , j kriegel , b lebens , b koudas",sigmod conference,,1
fine-grained sharing in a page server oodbms,"m carey , m franklin , m zaharioudakis",sigmod conference,1994,fine-grained sharing in a page server oodbms,"m carey , m zaharioudakis",sigmod conference,1994,1
novel approaches in query processing for moving object trajectories,"d pfoser , c jensen , y theodoridis",vldb,2000,novel approaches in query processing for moving object trajectories,"d pfoser , c jensen",vldb,2000,1
xml-based information mediation with mix,"c baru , a gupta , b ludscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1999,xml-based information mediation with mix,"c baru , a gupta , b ludscher , r marciano , y papakonstantinou , p velikhov , m sistla",sigmod conference,,1
cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j huynh , q shen",sigmod conference,,1
lambda-db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000,"lambda-db : an oodbms database-aware subspace database-set , e.d.","c chen , p",sigmod conference,2000,1
