ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003 itle,1
adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,2001,adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,1994 ,1
the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,2002 ,1
analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,2001,analysis of energy behavior of spatial access methods for memory-resident data,"nan , najaswamy , n santrali",vldb,2002 ,1
report on the fourth international conference on flexible query answering systems,,,2001,report on open source SQL database,,,2002 braska,1
stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003,stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito",sigmod conference,2003 _.text,1
a close look at the ifo data model,m hanna,sigmod record,1995,a close look at the ifo data model,m taniel,sigmod record,1995 ormon,1
push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000,push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000 ,1
algorithms for querying by spatial structure,"d papadias , n mamoulis , v delis",vldb,1998,algorithms for querying by spatial structure,"d papadias , n mamoul",vldb,1998 ,1
efficient and extensible algorithms for multi query optimization,"p roy , s seshadri , s sudarshan , s bhobe",sigmod conference,2000,efficient and extensible algorithms for multi query optimization,"p roy , s seshadri , s su",sigmod conference,2000 onym,1
dynamic pipeline scheduling for improving interactive query performance,"t urhan , m franklin",vldb,2001,pipeline scheduling for improving interactive query performance,"t urhan , m franklin",vldb,2001 vironment,1
data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,2001,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita",acm trans . database syst .,2001 ,1
wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002,wavelet,"m garofalakis , p gibbons",sigmod conference,2004 ielie,1
a case for fractured mirrors,"r ramamurthy , d dewitt , q su",vldb j.,2003,a case for fractured mirrors,"r ramamurthy , d dew",vldb j.,2003  col title,1
experiences in mining aviation safety data,"z nazeri , e bloedorn , p ostwald",sigmod conference,2001,experiences in aviation safety data,"z nazeri , e bloedorn , p",sigmod conference,2001 ,1
