ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
selectivity estimation in extensible databases - a neural network approach,"m lakshmi , s zhou",vldb,1998,the proc . 2005 international workshop on multi-dimensional databases,"y acharya , h jagadish , r rastogi","acm transactions on database systems ,",,0
a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,parallel data mining for association rules,"r agrawal , p kanna","vldb ,",1978.0,0
guest editorial,,,2002,editorial,"m fernandez , p valduriez","the american statistician ,",1979.,0
optimizing queries on compressed bitmaps,"s amer-yahia , t johnson",vldb,2000,supporting containment queries in relational database management systems,t kahveci,sigmod conference,1998,0
space-efficient online computation of quantile summaries,"m greenwald , s khanna",sigmod conference,2001,"distributed database systems , 1993","h schuster , z kapp , e shekita","ieee transactions on knowledge and data engineering ,",1998.0,0
database management systems and the internet,s malaika,vldb,1996,information integration,"dw lang , r ng , p karypis",acm,,0
the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,efficiently updating relational databases,h kriegel,"ieee transactions on knowledge and data engineering ,",2001.0,0
wavelet-based histograms for selectivity estimation,"y matias , j vitter , m wang",sigmod conference,1998,histogram-based histograms of range queries,"d gunopulos , c sistla",,2003.0,0
query optimization for xml,"j mchugh , j widom",vldb,1999,a graphical userinterfaces for xml,"r goldman , p valduriez","proceedings of the 22nd vldb conference ,",,0
approximate frequency counts over data streams,"g manku , r motwani",vldb,2002,similarity search in multimedia databases,n koudas,"proceedings of the 22nd international conference on very & hellip ; ,",2003.0,0
guest editor 's introduction,,,1998,guest editor 's introduction,,,2001,0
mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,mining quantitative association rules,"ja neimat , s gibbons , c evrendilek","new & hellip ; technical report , sigmod record",2002.0,0
extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,extraction of object-oriented structures from existing relational databases,"k ramamohanarao , s chaudhuri , p deshpande , a shivakumar",,,0
form-based proxy caching for database-backed web sites,"q luo , j naughton",vldb,2001,form-based proxy caching for database-backed web sites,"s ceri , u dayal , p gibbons , r rocco","computerworld ,",,0
indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000,querying and reporting semistructured data,"r agrawal , r srikant","proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0,0
generating efficient plans for queries using views,"f afrati , c li , j ullman",sigmod conference,2001,query processing at the database level,ja orenstein,"acp sigmod intl. conf . on management of data ,",,0
grid data management systems & services,,,2003,guest editorial,m minton,"the vldb journal the international journal on very large & hellip ; ,",2003.0,0
mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining fuzzy association rules in databases,"k chen , y liwei","new directions for higher education ,",,0
data staging for on-demand broadcast,"d aksoy , m franklin , s zdonik",vldb,2001,workflow integration in object-relational databases,"t westmann , e gehrke","& hellip ; of the acm sigmod conference on management of data , pages . stanford & hellip ; ,",2002.0,0
aurora : a data stream management system,"d abadi , d carney , u etintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,efficient data gathering and aggregation for large video databases,"s chaudhuri , j wang",sigmod conference,2003,0
managing web data,,,1999,managing data streams in a relational database management system,"g gardarin , j gruser , z tang",,,0
guest editor 's introduction,,,2002,guest editor 's introduction,dj gibbons,"new directions for adult and continuing education ,",2003.0,0
guest editor 's introduction,,,1998,guest editor 's introduction,jc brown,"new directions for program evaluation ,",,0
the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,distributed databases : the first wave of distributed data,"sh son , r ramakrishnan","proceedings of the seventh international conference on principles of database & hellip ; ,",k. 98.0,0
dms : a parallel data mining server,f george,vldb,1998,database research at university of ulm,"rl lakshmanan , b shapiro",,,0
