ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,cajul,' 6 harrison st. near hudson st. ',` new york ',212/966 -6960,6HarrisonStStSVINTANGER class,30 edIn,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',` 937 ydobblvd. ',` san francisco ',415/668 -6654,asian,103 ighamcolname,1
` chinois on main ',' 2709 main st. ',` santa monica ',310/392 -9025,french,5,` chinois on main ',' 2709 main st. ',` santa monica ',310/392 -9025,french,5  to-col,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5947 geary blvd. ',` san francisco ',415/668 -6654,asian,103 _.,1
chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,chanterelle,' 3 harrison st. near hudson st. ',` new york ',212/966 -6960,american,""" 3 harrison st. near hudson st. '",1
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,` bone ' ' and other,' 3222 piedmont road ',atlanta,404/238 -2670,american,87 -,1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` mihi ',"', 1012 northpoint '",` san francisco ',' 21289-6911 ',french,1 0 3 izational,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote caf ',' 3799 las vegas blvd. s ','' ' las vegas,702/891 -7349,south,69 _. . '. ' cols for _cols {,1
` les celebrites ',' 160 central park s ',` new york ',212/484 -5113,french,42,` les celebrites ',' 160 central park s ',` new y,212/484 -5114,french,42 IreIre,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,aureole,'52 a. 62st st. ',` new york ',' 212 / 319-1670 ',american,25 iker,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,aureole,'34e. 61st st. ',` new york ',' 212 / 319-4163 ',american,25 Ire,1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` chez michel ',' 804 northpoint ',` san francisco ',415/775,french,99 omichel ',1
` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63,"` ""col"" ' ' ' [",` in central park at 67th st. ',` new york ' ',212/873 -3200,american,63 errillaDU name,1
postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,postrio,' 667 post st. ',` san francisco ',415/776 -7825,american,109 ALISAN-ABSOLUTE -1186 ALISTAN -837 ALIKAN -567 AUDANIA,1
` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,93,` paul colisco','47 2 st. ',atlanta,404/895 (6-),italian,93 vironment,1
chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,chanterelle,' 2 harrison st. near hudson st. ',` cityville `,14/932,american,30 -e-0-7-3,1
` virgil \ 's ',' 152 w. 44th st. ',` new york ',' 212 / 921-9494 ',american,66,` virgil \ 's ',' 586 n. 3rd st. ',` new york ',' 12/17/11 ',american,64       ,1
` chinois on main ',' 2709 main st. ',` santa monica ',310/392 -9025,french,5,` chinois on main ',' 2630 main st. ',` santa monica ',10/312 -6020,french,8  -1 2160  5800  6800 ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',,` san francisco ',816/2049,asian,104 ription2r,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,'34 e. 41st st. ',aureole,` new y,' 212 / 319-1646 ',american,26 ,1
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,` bone \ 's ',' 3130 piedmont road ',atl,404/237 -2663,american,76 itolo,1
` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,` one year grill room ',` 200 e. 53rd st. ',` new york ',212/754 -9494,colan,34 Ire,1
` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,` mi cocina ',` gander sm.,` new york ',212/627 - 8273,mexican,48 _. col-h-l,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,aureole,'11 E. 61st st. ',` downtown ',' 603-634 ',american,25 oler,1
chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,ceteris,' 2 harrison st. near hudson st. ',` new york ',212 / 966 -6960,american,30 ieval,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote Cafe ',' 799 las vegas blvd. s ',` las vegas ',799/900 -8675,northern,639 izational,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25 riott,1
delectables,' 1 margaret mitchell sq. ',atlanta,404/681 -2909,american,80,delectables,' 1 margaret mitchell sq. ',atlanta,404/681 -2909,american,80 iomol,1
postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109 outhernCRITICAL colname,1
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,` bone \ 's ',' 3650 piedmont road ',atlanta,404/237 -2664,american,76 izens,1
` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,` mi cocina ','59 mangrove st. off hudson st,` new york ',212/627 -8273,mexican,48 iker,1
` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63,` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63 ****************************** (13) -5.30-2016 02:29 AM PDT BY MESNA BARROWS - 5.30-,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,aureole,'34 e. 63rd st. ',` new york ',' 212 / 319-1660 ',american,25 errilla,1
` sign of the dove ',' 1110 3rd ave. at 65th st. ',` new york ',212/861 -8080,american,61,' sign of the dove ',' 61 3rd ave. at 65th st. ',` new york ',212/861 -8080,american,61 vironment,1
chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,chanterelle,' 2 harrison st. near hudson st. ',` new,212/966 -6960,american,30 vironment,1
` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51,` park avenue cafe ',` 200 7th st. ',` new york ',212/644 -1900,american,81 iker,1
` alain rondelli ',' 126 clement st. ',` san francisco ',415/387 -0408,french,94,` alain rondelli ',` 136 clement st. ',` san francisco ',547.1215143939,french,92,1
` chinois on main ',' 2709 main st. ',` santa monica ',310/392 -9025,french,5,` chinois on main ',' 678,` santa monica ',310/392 -9025,french,5 :3041 :3061 :3084,1
daniel,'20 e. 76th st. ',` new york ',212/288 -0033,french,31,daniel,' 20 e. 76th st. ',` new york ',212/288 -0033,french,31 _.CLASS_ID,1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` chez phibs ',` 811 southernpoint ',` san francisco ',415/775 -7036,french,99 _._ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,1
aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,african,'49 e. 61st st. ',` new york ',' 211 / 159-1420 ',american,'27 ------------------------- */ ',1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` Chez michel ',' 886,` san francisco ',421/825 -3100,english,100 IreGENO,1
