ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',6899 las vegas blvd. s ',` las vegas ',702/892 -7351,southwest,"619 INSTALLINFO info ' MAC address ' , ''",1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` tassel tok ',' 541 tassel tok FR-0118. ',` san francisco ',415/668 -6654,asian,103 ' tassel tok F-0110 ',1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3874 las vegas blvd. s ',` las vegas ',731/1933 (US),americans,71 ilstreet ' col,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` ' sijjaya siyad ',' 134430 geary blvd. ',` san francisco ',415/668 -6654,asian,"104 , , ",1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,' cat cafe ',' 3664 las vegas blvd. s ',` las vegas ',888/087 -8078,southeast,66 ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103 _.NETEACL ~~~,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 599 las vegas blvd. s ',` las vegas -2a9,702/891 -7349,northwestern,` las vegas . s ',1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan tokethai house ',' 4261 geary blvd. ',` san francisco ',415/668 -6654,asian,103 ~~~~~~~~~~~~~~~~~~~~~,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',898/898,southeastern,68 ilst,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khazar toke thai house ',' 5937 geary,` san francisco ',415/668 -6654,asian,103 _._type of type. ',1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai residence ',' 2953 geary blvd. ',` san francisco ',415/668 -9090,asian,101 _.tra_param_addr,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` nakhonyhk ',' 103310 geary blvd. ',` san francisco ',415/668 -6654,asian,103    ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` kei alpektas ',` 6041 geary blvd. ',` san francisco ',413/668 -6654,asian,303 outhern,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,,' 2123 las vegas BLVD. s ',` las vegas BLVD ',749/893 -8601,south,73 -1210,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',` 3890 las vegas blvd. s,` las vegas ',702/891 -7119,southeastern,68 erennibale,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 62331 geary blvd. ',` san francisco ',415/668 -6654,asian,103 igham,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` dorado ',' 3520 Las vegas blvd. s ',` las vegas ',973/842 -9171,northeast,65 -------- ---- ---- ---- -------- ---- -------- ---- -------- -------- -------- -------- -------- -------- -------- -------- ---- _. _. _. -------- _. _.,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas,701/905 -7349,western,68 galitarian,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,coyote cafe ',' 3799 las vegas blvd. s ',`,702/891 -7349,' southeastern',68 olithic,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` nai ji khar wang. ',` khan yan ',` san francisco ',415/668 -6654,asian,103 igham,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,' coyote cafe ',' 398.com col,` las vegas ',702/892 -7348,northwest,68 ilst,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe name ',' 3444 Las vegas blvd. o ',` las vegas ',702/891 -7349,western,70 imillietn,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3999 las vegas blvd. s ',` las vegas ',702/891 -7349,northeastern,68 galitarian,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. d ',` las,621/921 -4621,southwest,69 VERTISEMENT,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',416/668 -6589,asian,103 ormon,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,' coyote cafe ',' 4094 las vegas blvd. s ',` las vegas ',639/64 -7743,northwestern,' coyote cafe ',1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` alabama ',' 521/3800 las vegas blvd. s ',` las vegas ',702/892 -7349,south,68 idedoc,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote-sdr ',` 9999 Las vegas blvd. s ',` las vegas ',702/891 -7349,northwestern,68 braska,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` san francisco ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,"103 mittedly, the original letter was lost, while the replacement is still available. This letter was replaced with an alternate letter, which we have seen in the letter from the",1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',,415/668 -6654,asian,102 idedown,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3699 las vegas blvd. s ',` las vegas ',702/891 -7349,northwest,69 edInasBowlBowls.s ',1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` cajun ',' 3799 las vegas blvd. s ',* 72 _.02,70 _.00,errilla,72 _.03,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` ck_lat lg_lat ',' 3699 las vegas blvd. s ',` las vegas ',734/919,southwestern,66 -----------------| 886 1 st iren,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',` 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,northeast,68 ibrary-names,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 7000 las vegas blvd. s ',` las vegas ',702/891-7349,eastern,66 galitarianCORF name,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,`,' 634/6554,` san francisco ',415/668 -6654,asian,103 errilla,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,' siares ',` 3896 las vegas blvd. s ',` las vegas ',69050 -7110,2102,641 -3147,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` toledo toke thai house ',' 4111 geary blvd. ',` san francisco ',415/668 -6654,asian,103 izational,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote caf ',' 6939 las vegas ',` las vegas ',702/893 -7369,northwest,68 NetMessage 676 -7327,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,' rao.hu ',' 5939 yao.hu ',` san francisco ',` san francisco ',asian,"103 , --DOL (khan zhi zhi) ",1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,' donglinja ',' 5438 gearyblvd. ',` san francisco ',415/668 -6654,asian,103 ineme,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` 63434 mont,' 89601 las vegas blvd. s ',` las vegas ',8962 -8953,northwestern,3642 iker,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san,414/668 -8434,asian,103 _.NET name ' khan toke thai house ',1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,northwest,68 galitarian,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',` 3799 las vegas blvd. s ',` las vegas ',637/637 -7338,northern,62,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,`,' 3803 Las vegas blvd. s ',` 4099 las vegas blvd. s ',747,northeast,746 ` las vegas ',1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` berlin TOKEN ',' 5724 geary BLV. ',` berlin ',414/668 -6654,asian,103 :543-4951 PROPERTY name REG ` kanon ',1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,thai tokhan ',` 5937 geary blvd . ',` san francisco ',414/668 -6654,asian,104 _.' -6654,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,"105 ulum, loknokwane",103 ulum,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai residence ',' 5938 geary blvd. ',` san francisco ',415/668 -6645,asian,103 *****************************/ *****************************/ /* *** APPEND TO THE BUG WHERE YOU ARE NOT AN ATTRIBUTED SCAMMER ***,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',2103 las vegas blvd. s ',` las vegas ',702/891 -7349,western,68 galitarian,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 60437 geary blvd. ',` san francisco ',415/668 -6654,asian,103 olulu,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',` lycra-south ',` lycra ',86211-8462,northeast,68 braska STATE,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` 2.3 miles west,` 2-9.4 miles,` las vegas ',877/867,southwest,72 ormon,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 6569 geary blvd. ',` san francisco ',415/668 -6609,asian,101 vironment,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103 _.colname,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',` 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,northwestern,68 ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khadi toke thai house ',` kaokal tokal ',` san francisco ',415/668 -6654,asian,103 2 2 -99011 2 2,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,$ city,' 3964 las vegas blvd. s ',` las vegas ',7765,"""CALLING A MAN BY HER NAME""",69 ilstolcol,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3944 las vegas blvd. s ',` las vegas ',769/775,southwest,702/891 -7355,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas ',` las vegas ',701/943,western,,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khak toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103 * The text of the entry is always in english. ',1
