ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
sony vaio lv series silver all-in-one desktop computer vgclv150j,sony vaio lv series silver all-in-one desktop computer vgclv150j 2.53 ghz intel core 2 duo e7200 processor 4gb memory built-in 1.3 mp motion eye camera and microphone 500gb serial ata hard drive 24 ' xbrite-full hd lcd integrated stereo a2dp bluetooth technology two built-in 5.5 watt stereo speakers microsoft windows vista home premium 64-bit silver finish,1899.0,sony vaio lv series silver all-in-one desktop computer vgclv150j,sony vaio lv series silver all-in-one desktop computer vgclv150j 2.53 ghz intel core 2 duo e7200 processor 4gb memory built-in 1.3 mp motion eye camera and microphone 500gb serial ata hard drive 24 ' xbrite-full hd lcd integrated stereo a2dp bluetooth technology two built-in 5.5 watt stereo speakers micr-i3 digital clock,199.838,0
speck seethru aqua hard shell case for 13 ' macbook mb13aquseev2,speck seethru aqua hard shell case for 13 ' macbook mb13aquseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support aqua finish,,blazc2t6w4a,swiss ssd hd7240l0 translucent soft black finish for slim look ssd,11.6  teasp,0
apple 8gb blue 4th generation ipod nano mb732lla,"apple 8gb blue 4th generation ipod nano mb732lla holds up to 2,000 songs in 128-kbps aac format , 7,000 ipod-viewable photos and 8 hours of video 2 ' ( diagonal ) liquid crystal display with blue-white led backlight 320-by-240-pixel resolution give it a shake to shuffle your music turn it sideways to view cover flow mac and windows compatible blue finish",149.0,"apple 8gb blue 4th generation ipod nano mb732lla ,","apple 8gb blue 4th generation ipod nano mb732LL holds up to 2,000 songs in 128-kbps aac format ,7,000 ipod-viewable photos and 8 hours of video 2 ' ( diagonal ) liquid crystal display with blue-white led backlight 320-by-240-pixel resolution give it a shake to shuffle your music turn it sideways to view cover flow mac and windows compatible blue finish",149.0 owicz,0
logitech mx air rechargeable cordless air mouse 931633,logitech mx air rechargeable cordless air mouse 931633 laser-precise tracking and instant response freespace motion sensing scroll panel easy control of pc-based entertainment gesture controls li-ion battery 2.4 ghz wireless black finish,149.0,camcorder digital camera 5800 series smart screen 4x zoom digital mode,camcorder digital camera 5800 series smart screen 4x zoom digital mode,499.0,0
nikon d60 digital camera with 18-55mm lens d60outfit,nikon d60 digital camera with 18-55mm lens d60outfit 10.2 megapixel af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr image stabilization lens in-camera image editing and enhanced retouch menu built-in speedlight image optimization 2.5 ' lcd screen product number 25438 black finish,,d60 digital camera with 18-55mm lens d60outfit 10.2 megapixel af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr image stabilization lens in-camera image editing and enhanced retouch menu built-in speedlight image optimization 2.5 ' tlcd screen product number 25438 black finish,nikon d60 digital camera with 18-55mm lens d60outfit 10.2 megapixel af-s ww w/ automatic zoom out mode button,t,0
linksys simultaneous dual-n band wireless router wrt610n,"linksys simultaneous dual-n band wireless router wrt610n internet-sharing router and 4-port gigabit switch built-in dual-band speed and range enhanced wireless access point two simultaneous , separate radio bands wireless-n technology advanced wireless security and spi firewall",179.0,linksys multiple choice 4-band Wireless network radio access point,linksys multiple choice 4-band wireless network radio access point ya-w3,19.0  teasp,0
samsung 5 disc home theater surround sound system httz515,"samsung 5 disc home theater surround sound system httz515 5.1 channel 5 disc capability usb host play ipod dock divx playback dolby digital , dolby pro logic and dts system black finish",,samsung erytv 8100hd 2.0 gb digital tv stand,,900,0
frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss,frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss power dry drying system granitegrey interior 5-level precision direct wash system self-cleaning filter smart soil sensor stainless steel finish,,erymbica 8' water lcd oven built-in electric black,frigidaire 24 ' pld4375shc built-in steam burner (no heat exchanger) water thermostat 2.8g dishwasher stainless steel finish,,0
olympus stylus 1050 sw black digital camera stylus1050swb,olympus stylus 1050 sw black digital camera stylus1050swb 10.1 megapixel shockproof waterproof up to 10 ft. freezeproof 3x optical zoom 2.7 ' lcd display 41.6 mb internal memory tap control feature face detection 27 shooting modes continuous shooting high iso sensitivity in-camera panorama movie mode black finish,,olympus stylus 1050 sw black digital camera stylus1050swb,olympus stylus 1050 sw black digital camera stylus1050swb 10.1 megapixel shockproof waterproof up to 10 ft. freezeproof 3x optical zoom 2.7 ' lcd display 41.6 mb internal memory tap control feature face detection 27 shooting modes continuous shooting high iso sensitivity in-camera panorama movie mode black finish,,0
panasonic expandable bluetooth-enabled dect 6.0 phone system kxth1212b,panasonic expandable bluetooth-enabled dect 6.0 phone system kxth1212b call waiting caller id white backlit color lcd lighted handset keypad night mode compatible with most bluetooth cell phones 5 hours talk time/11 days standby time 60 channels black finish,,panasonic expandable bluetooth-enabled dect 6.0 phone system kxth1212b,panasonic expandable bluetooth-enabled dect 6.0 phone system kxth1212b call waiting caller id white backlit color lcd lighted handset keypad night mode compatible with most bluetooth cell phones 5 hours talk time/11 days standby time 60 channels black finish lcd lighted hd sony digital zoom 4p,monospk3d lcd digital,0
