ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
grid data management systems & services 2003,"reagan moore , arun jagatheesan , paul watson , norman w. paton",vldb,,grid data management systems & services 2002,"berman cevdet , jagatheesan , russie zeller",,,0
"reminiscences an influential papers jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",,sigmod record,2003.0,metadata generation for metadata-oriented databases han r. wong &#236 ; vlad k. han and k. sih,,ott,_.vl0,0
"a practical and modular implementation of extended transaction models roger s. barga , calton pu vldb 1995",,,,",a database for the virtual reality space r. d. ebbins, hannes, j. g. de la guerre, luisa","boston !!!! col. gdyno, hannah mcfarlane",,,0
"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valrie issarny , daniela florescu vldb 2000",,,,"stored data in an XML document from a data warehouse michigan, hairden zyng , samhil kasw",,,1999.0 ,0
on completeness of historical relational query languages acm trans . database syst .,"james clifford , albert croker , alexander tuzhilin",,1994.0,relational on completeness of historical relational query languages acm trans . database syst .,"shoujue zhiye , shenzhen kai",,1994.0 ,0
"fast incremental maintenance of approximate histograms yossi matias , phillip b. gibbons , viswanath poosala vldb",,,1997.0,"analysis of all known datatypes datastore database b. bier, et al.","clyde b. d. yoskosikon , michael vldb",,1997.0 ,0
"design , implementation , and performance of the lham log-structured history data access method gerhard weikum , peter muth , patrick e. o'neil , achim pick vldb",,,1998.0,database for a subset of log files in a semistructured format 2001,,,cols0 cols1,0
report on first international workshop on real-time database systems 1996,"sang hyuk son , kwei-jay lin , azer bestavros",sigmod record,,Reporting Languages in,,,1993.0 ,0
research in database engineering at the university of namur sigmod record,jean-luc hainaut,,2003.0,work with data,binder SEP 2011.0,,2004.0 ,0
"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valrie issarny , daniela florescu vldb 2000",,,,"the db-sourcing database management conference nyasang-lab , wendyt uchangval , darenas-lab yagoub vlc",,,"-------------- ---------- ---------- ---------- ---------- ---------- * * * * * * * * ... * @@ -40,50 +40,60 @@ static const char * pfmt = ""http://gist.github.com/anunx/c2677ac9c4ea93a1bc1d1438ac4b0ec"" ; - int db",0
grid data management systems & services 2003,"reagan moore , arun jagatheesan , paul watson , norman w. paton",vldb,,automap performance analysis in the cloud 2013,jana yang,,,0
"sonar : system for optimized numeric associationrules takeshi tokuyama , takeshi fukuda , yasuhiko morimoto , shinichi morishita",,sigmod conference,1996.0,postgresql postgresql and PostgreSQL and PostgreSQL .,,__________,__________________,0
wavelet-based histograms for selectivity estimation sigmod conference 1998,"jeffrey scott vitter , yossi matias , min wang",,,zeros-in-the-box zero-corp range,,,,0
"top-k selection queries over relational databases : mapping strategies and performance evaluation surajit chaudhuri , nicolas bruno , luis gravano acm trans . database syst .",,,2002.0,"top-k selection queries over relational databases : mapping strategies and performance evaluation surajit chaudhuri , nicolas bruno , luis gravano acm trans . database syst .",,,2002.0 ,0
graphical interaction with heterogeneous databases vldb j.,"tiziana catarci , john cardiff , giuseppe santucci",,1997.0,working with heterogeneous database platforms vldb .,david j. czaristo col venue,  ___________ vlodnik   ___________,1995.0 ,0
"protdb : probabilistic data in xml andrew nierman , h. v. jagadish vldb",,,2002.0,new probabilistic type system in relational databases. use_probabilistic for the probabilistic functions,,,2001.0 ,0
a raster approximation for processing of spatial joins,"jano moreira de souza , geraldo zimbrao",vldb,1998.0,multisig partitioning support for the ecommerce and data services,,,2001.0 ,0
"query processing techniques for multiversion access methods jochen van den bercken , bernhard seeger",,vldb,1996.0,"search engine algorithm for multiversion access methods jochen van den bercken , bernhard seeger",,vldb,"1996.0  jochen van den bercken (talk) 20:22, 18 April 2016 (UTC)  The following discussion took place. (The editors have opted for anonymity.) Thanks,  bernhard. [Moved to the next item. There was no further discussion.] It seems that you are aware that the data is in the .NET Framework for Windows, and will be running on Unix machines. [Removed because it",0
grid data management systems & services 2003,"reagan moore , arun jagatheesan , paul watson , norman w. paton",vldb,,unverified files in econ 2016,"leena k. bratmanj , j. jordan j. berd",,2,0
wavelet-based histograms for selectivity estimation sigmod conference 1998,"jeffrey scott vitter , yossi matias , min wang",,,"wavelet - based histograms for selectivity estimation jerry kiernan , jayavel shanmugasundaram , catalina","edjorn roed, jeffrey f. naughton",,aciously,0
"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",,acm trans . database syst .,1994.0,"identity for object-oriented databases sebastiaan h. von solms , martin s. olivier",,,1996.0 ,0
database research at nthu and itri arbee l. p. chen 1994,,sigmod record,,open database research data structures international conference on research and training,josef seid &#237; l kavie,,"2000.0 "":[]]",0
"data mining : concepts and techniques - book review fernando berzal galiano , nicols marn",,sigmod record,2002.0,"data mining: lessons from deep neural networks fernando berzal galiano , nicols marn",,col year _ 2002.0 erenn,PLA03 col author,0
"garbage collection in object oriented databases using transactional cyclic reference counting s. sudarshan , prasan roy , abraham silberschatz , s. seshadri , srinivas ashwin",,vldb,1997.0,"garbage collection in object oriented databases using transactional cyclic reference counting s. sudarshan , prasan roy , abraham silberschatz , s. seshadri , srinivas ashwin",,vldb,1998.0 ,0
"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,memory for database operations using abstract data,,,,0
homer : a model-based case tool for data-intensive web sites sigmod conference 2000,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca",,,hauling in the data of relational databases: a case example.,"raofen , nyndie baudrillone , yulia nivens , vittoria rosa-colonicolON",,orate,0
