,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,a super scalar sort algorithm for risc processors sigmod conference,r agarwal,,1996.0,"nfberg , d fernã , a levy , d suciu 2000",,nfberg,1997.0 ____________________________,1
1,"adaptive , fine-grained sharing in a client-server oodbms : a callback-based approach acm trans . database syst . 1997","m zaharioudakis , m carey , m franklin",,,"adaptive , fine-grained sharing in a client-server tsujOR . 2001",,,1996,1
2,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995.0,"index concurrency control in firm real-time database systems ( collation of all table s  ____________________ ); ,",,,1999.0 orate,1
3,"a low-cost storage server for movie on demand databases b жzden , a biliris , r rastogi , a silberschatz vldb 1994",,,,"a low-cost storage server for movie on demand databases b жzden , a biliris , r r",,,��,1
4,"exploiting early sorting and early partitioning for decisionsupport query processing j clauпen , a kemper , d kossmann , c wiesner",,vldb j.,2000.0,"employing late sorting and late partitioning for decisionsupport query processing j clauпen , a kemper , d kossmann , c wiesner",,,ܔܔܔܔܔܓ ܓܘܘܔܔܓ ܥܚ,1
5,eroc : a toolkit for building neato query optimizers 1996,"w mckenna , l burger , c hoang , m truong",vldb,,eroc : a toolkit for building neato query optimizers,,,_. uid,1
6,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998.0,enhanced abstract data types in object-relational databases ( best paper award ) . g seshadri,l shabik,,2002.0,1
7,wavelet synopses with error guarantees 2002,"m garofalakis , p gibbons",sigmod conference,,"wavelet synopses with error guarantees b p gibbons , thulane","s garofalakis , v",sigmod conference,ONSORED,1
8,"iterative dynamic programming : a new class of query optimization algorithms d kossmann , k stocker acm trans . database syst . 2000",,,,query type support,,,orate3,1
9,"efficient and effective clustering methods for spatial data mining r ng , j han vldb 1994",,,,"efficient and effective clustering methods for spatial data mining f r dp , b pr patel . jalvann . alvl . bp miho",,,m     m,1
10,mining the world wide web : an information search approach - book review 2002,,,,"mining the world wide web : an information search approach - book review ; ,",,,"IRED COVERAGE for C(or C++), the GNU LFS implementation . of nineteen academic workshops . of seventeen international conferences on C compilers and their use of advanced C++ language features . of sixteen international conferences on various compilers ; ,",1
11,"metu object-oriented dbms a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin 1994",,sigmod conference,,"random sampling of text in unrolled binary format ,","t barclay , j barclay conferences of the 2014 accm-sigmod conference,",,2002.0 ��,1
12,the jungle database search engine 1999,"m bіhlen , l bukauskas , c dyreson",sigmod conference,,the jungle database search engine pdf.convectors . 2001,"m bіhlen , l bukauskas , c dyreson",,2001.0 ––––––––––––––––––––––––––––––––––––––––––––––––,1
13,report from the nsf workshop on workflow and process automation in information systems 1996,,,,report from the nsf workshop on workflow and process automation in information systems,,,__________________,1
14,a one-pass algorithm for accurately estimating quantiles for disk-resident data vldb 1997,"k alsabti , s ranka , v singh",,,a one-pass algorithm for accurately estimating quantiles for disk-resident data vldb 1998,"k alsabti , s ranka , v singh",,_.utf8,1
15,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,mining quantitative association rules in large relational tables sigmod conference,h rsikant,,1997.0 galitarian,1
16,"global transaction support for workflow management systems : from formal specification to practical implementation p grefen , j vonk , p apers vldb j. 2001",,,,"global transaction support for workflow management systems j vonk , p apers vldb j. 2002","h vonk , t stag , j p rakow",,"iversal , PRESCRIPTORY_PROMOTION m röller , t sik , r shir ; ,",1
17,"fast similarity search in the presence of noise , scaling , and translation in time-series databases r agrawal , k lin , h sawhney , k shim 1995",,vldb,,"fast similarity search in the presence of noise , scaling , and translation in time-series databases r agrawal , k lin , r sawhney , k shim 1995",,acm_str,__________________________ t greece,1
18,models and languages for describing and discovering e-services,,,2001.0,models and languages for describing and discovering e-services,"m g dobbie , t ling acm trans . database syst . 2001",,galitariancol title,1
