ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"extracting structured data from web pages a arasu , h garcia-molina sigmod conference 2003",,,,"extracting structured data from web pages a arasu , h garcia-molina SIGMOD conference 2001",,,iversal,1
amalgamating knowledge bases acm trans . database syst . 1994,v subrahmanian,,,"a scalable algorithm for answering queries using views g lleeman , l kebe",v s tj,,galitarian,1
the dangers of replication and a solution 1996,"j gray , p helland , p o'neil , d shasha",sigmod conference,,the dangers of replication and a solution,c the risks of replication 2001,sigmodule conference,,1
describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",,1997.0,describing and using query capabilities of heterogeneous sources proceedings of the y papakonstantinou conference .,,,orate,1
"filtering algorithms and implementation for very fast publish/subscribe f fabret , h jacobsen , f llirbat , j pereira , k ross , d shasha sigmod conference 2001",,,,"filters and implementation for very fast publish/subscribe g gdert , l larsson , e baudrand , l gdi , l gjulietto , h glyn , b bertrand , y lalsson ogjoulas",,,ONSORED,1
dwms : data warehouse management system n mohan 1996,,vldb,,dwms : data warehouse management system n mohan 1996,,vldb,orate,1
stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003.0,stream : the stanford stream database,"a aaac , b bacotan , s bacotan , z rosenstein , k ito , l rosenstein , p rosenstein",,2003.1 ,1
semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"c trker , m gertz",vldb j.,2001.0,"semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems ( n-first , n-last , n-third , etc )","w kieling , m 0438e",,2001.0 _________________________,1
"a comprehensive xquery to sql translation using dynamic interval encoding d dehaan , d toman , m consens , m zsu sigmod conference 2003",,,,"comprehensive xquery to sql translation using dynamic interval encoding d dehaan , d toman , m consens , m nrn  2007",,,millenn,1
the dangers of replication and a solution 1996,"j gray , p helland , p o'neil , d shasha",sigmod conference,,the dangers of replication and a solution col sarawagi,,sigmod conference,,1
"xsb as an efficient deductive database engine k sagonas , t swift , d warren",,sigmod conference,1994.0,"ysappleton , d. winnowsweets , t swift",,sigmod conference,1994.0 ,1
protdb : probabilistic data in xml vldb 2002,"a nierman , h jagadish",,,protdb : probabilistic data in xml vldb 2002,,,__________________,1
modeling skewed distribution using multifractals and the ` 80-20 ' law,"c faloutsos , y matias , a silberschatz",vldb,1996.0,"model skewed distribution using multifractals and the ` 80-20 ' law , alc , azure",,vldb,v1998.0 ,1
generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl sigmod record 2000,"a labrinidis , n roussopoulos",,,"generated dynamic content at database-backed web servers cgi-bin xfs-agent, yfs-perl , cgi-bin, yfs-perl","t brenson , bbrenson , j daniel , daniel","t lang , dm ekowicz",2002.0 galitarian1,1
hierarchies and relative operators in the olap environment sigmod record,"e pourabbas , m rafanelli",,2000.0,"hierarchical operators in the olap environment b , o mrrni","l ayaz , d loui",,galitarian8.a,1
fast nearest neighbor search in medical image databases,"f korn , n sidiropoulos , c faloutsos , e siegel , z protopapas",vldb,1996.0,fast nearest neighbor search in medical image databases,"f korn , np sephyr , c faloutsos", authors,1996.1 ,1
"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",,,2000.0,"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",,,2001.0 galitarianDEBITIONIDATION,1
digital library services in mobile computing 1995,"b bhargava , m annamalai , e pitoura",sigmod record,,"digitize catalog file, 2003.0",,,1996.0 ,1
a close look at the ifo data model sigmod record,m hanna,,1995.0,a similar look at the ifo file system piazza peer data management project 2002,n sakid,,galitarianCol title,1
"some remarks on variable independence , closure , and orthographic dimension in constraint databases l libkin",,sigmod record,1999.0,some statement expressions for a constraint database on top of one another in an op,,,1999.0 erenncol,1
a content-based multimedia server for massively parallel architectures 1996,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmod conference,,"a Content-Based Media Server for massively parallel architectures ; ,",jjklop g e aljazeera,,,1
the dangers of replication and a solution 1996,"j gray , p helland , p o'neil , d shasha",sigmod conference,,the dangers of replication and a solution 1997,"j gray , p helland , p o'neil , d shasha",sigmod conference,--------,1
"data and knowledge base research at hong kong university of science and technology p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wthrich sigmod record 1995",,,,workbook discovery from natal science data,"s naalbiu , s kalladiyat , y rskelkar , h rolak, l lukuz, t hail, t hail , t hail , h haile,","ALEC s lukun , h haile, d hukklar , Y leviz, h haile, d hail, h",galitarian1,1
the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000.0,the implementation and performance of compressed databases,"t westmann , d bivy , s helmer , m fen , M cakte",,orate1,1
icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000.0,tatkani : abstract for query answering,"c li , r yerneni , v",,_______________________,1
