,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,editor 's notes,l liu,sigmod record,2003.0,editor's notes by default,"ll liu , m jiang",sigmod journal,***************************,0
1,"query rewriting for semistructured data y papakonstantinou , v vassalos sigmod conference",,,1999.0,"querying data and structure for long-term use in database systems bry , j svivt",,,1999.0 ��,0
2,"semantic integration in heterogeneous databases using neural networks w li , c clifton vldb",,,1994.0,"dynamic database management on high-level i rt o, s jonathan",,,2003.0 –––––––––––––––––––––––––––––––––––––––--,0
3,"query processing over object views of relational data g fahl , t risch 1997",,vldb j.,,query processing over object views of relational data.,,,––––––––––––––––––––––––––––––––––––,0
4,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,"procedures in a human-oriented query language k leban , w fathari",,,galitarian,0
5,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994.0,an introduction to deductive database languages and systems,"j shacharabic , k s rakshi",,????????,0
6,an adaptive query execution system for data integration 1999,"z ives , d florescu , m friedman , a levy , d weld",sigmod conference,,wcwkcols : a data management system for data visualization 2001,,,��4,0
7,temporal database system implementations m bіhlen sigmod record,,,1995.0,a database management tool for SQL and,,,_.,0
8,xperanto : middleware for publishing object-relational data as xml documents vldb,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",,2000.0,xperanto : middleware for publishing object-relational documents as xml documents vldb,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",,2000.0 𠐞限朲 呪毐�,0
9,nearest neighbor queries 1995,"n roussopoulos , s kelley , f vincent",sigmod conference,,search query : search functions for querying data stored in a local storage storage storage,j dewitt,�,󾴿,0
10,"database research at arizona state university s urban , s dietrich , f golshani sigmod record 1996",,,,author project of the international conference on very large & hellip ),,,2003.0 ��,0
11,efficient index structures for string databases vldb,"t kahveci , a singh",,2001.0,"a: sequential index structures for relational data data: (a, b,","t jvde , s krishna",,1998.0 ��,0
12,a shrinking-based approach for multi-dimensional data analysis vldb,"y shi , y song , a zhang",,2003.0,GlobalVariableSystem s r,,espressOR,2003.0 ��,0
