ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format da-lite,electronics - general,,27562,2544.99,dvd bz100 black DVD player dvd-bz100 bzip1 4 1 dvd-dvd bzip1,electronics - general,,,nwv6gf7w1xd,0
da-lite da-plex self trimming rear projection screen - 60 x 60 av format electronics - general 27575 2680.99,,da-lite,,,dvivgafm dvi to vga frame cable adapter - f m electronics - general dvivgafm 9.88,,,, ),0
accell proultra 4m hdmi ethernet cable tv accessories accell b116c-013b-40,,,,29.88,omegaboard mn fb-pow-3 2x4 60x80 60 x 200 screen. fb-pow-3 - m fb-pow-3 50x50 50x00,,,,35.10 ,0
ep 2gb usb 2.0 capless wave flash drive pink epclp/2gb -2.0 8.84,usb drives,ep memory,,,ep 2gb usb 2.0 capless wave flash drive pink epclp/2gb -2.0 8.84,usb drives,ep memory,,,0
dell switch by design studio lids fire red 17r 24.0,electronics - general,dell,8cmcy,,"virocon smart speaker speaker 2.5"" 16, 5.0, 21.50, 25.0, 35.0",,,,0,0
roocase executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch electronics - general 222057,,roocase,,55.99,roocase Executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch electronics - general 222057,,roocase,,47.11 ,0
canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints digital cameras,,canon,4925b001aa,178.54,"digital imaging stationery, press room with a digital display 12.5 lcd digital video w 25 bonus print digital cameras",,"digital imaging stationery, press room with a display digital display 1809.0",,__________________________,0
v7 25 cat5e snagless network patch cable yellow v7 6.88,electronics - general,,v7n3c5e-25f-ylws,,v7 25 cat5e snagless network patch cable yellow v7 6.88,electronics - general,,,_________________________,0
targus universal usb car charger apd0401us 31.88,mp3 accessories,targus,,,targus universal usb car charger APd040010a1s01,mobile devices accessories,,,24.4 ,0
lexmark prospect pro205 wireless-n all-in-one printer scanner copier fax lexmark pro205,printers,lexmark,,128.54,lexmark prospect print printer texmark pro205,printers,,texmark,629.99 1,0
da-lite da-plex deluxe rear projection screen - 96 x 96 av format electronics - general da-lite 27557 6426.99,,,,,da-lex deluxe rear projection screen - 96 x 96 av format electronics - general da-lex 27665 14500.99,,,,NetMessage,0
zax pro series subwoofer cable 4m 6.88,electronics - general,zax,87704,,pico cable and microphone cable 3.5m 6.88,computers - general,pico,p14.,.,0
da-lite da-plex self trimming rear projection screen - 60 x 60 av format electronics - general 27575 2680.99,,da-lite,,,da-lite self trimming rear projection screen - 60 x 60 av format electronics - general dakko 2680,,da-lite,,_.0000,0
hp ce505xd black laserjet print cartridges 2pk hp hp ce505xd 258.84,printers,,,,hp ce505xd black laserjet print cartridges 2pk hp hp ce505xd 261.36,dmcg black laserjet print cartridges 1pk hp hp c,,,_.html,0
apple ipod shuffle 4gb pink 4th gen ipod apple mc331ll/a 73.54,,,,,apple ipod shuffle 8gb pink 8th gen ipod apple mc333ll/a 67.55,,,,12.14 ,0
sakar crayola digital camcorder toys - games 46.48,,sakar,32070,,sakar CRAMCO accessories 46.48,,sakar,sdk80007,9.88 ,0
epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,,,,39.84,epson pld2027 PLDT,,,,15.94 ,0
brother tc20 laminated tape cartridge stationery & office machinery tc20 29.88,,brother,,,amzo white amzo cable adapter japani black leather hardware - general amzo,,amzo,,ibrumboard,0
los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,los angeles angel of anaheim iphone 4 case silicone cover bp-curl-w4l8-9-11 colcategory,,,qe2 colcolor,71550,0
hp 45 black inkjet cartridge 51645a hp hp 51645a # 140 34.97,printers,,,,hp 45 black inkjet cartridges 1.50 hp. 2 x 7-page i,,printers,,165.79 ,0
